"","mz","rt","96H-R-1","96H-R-2","96H-R-3"
"group","mz","rt","1","1","1"
"M542.7446T593.1","542.744573332641","593.127","33347491.7128314","58123467.9530846","73091714.4169754"
"M540.7468T593.1","540.746796775747","593.127","23072714.7614189","39890132.7282811","50224942.649712"
"M503.1758T296.6","503.175849195742","296.629","31893625.7637152","22580621.6709219","23324849.0463108"
"M544.7424T593.1","544.742408060103","593.127","21599914.7607806","37376352.6571628","47185961.8409799"
"M505.1704T291.4","505.170430857215","291.402","21651940.1296938","30342719.7807757","30089673.1321645"
"M952.8497T387","952.849675123072","387.042","19248142.5771369","27568698.533601","19267378.4808944"
"M912.8549T393.3","912.85490942311","393.291","12524241.7582029","18902865.5826961","12012836.6007059"
"M950.8517T387","950.851672882608","387.042","12836633.6802159","18546586.7239795","12900313.572051"
"M954.8477T387","954.847744046619","387.042","12740797.7220358","18332880.7314255","12693512.0818725"
"M910.857T393.3","910.856972162255","393.291","8520468.63127629","12825756.1559006","8123493.07842185"
"M914.8529T393.3","914.852879259039","393.291","8186810.31058956","12433236.3938963","7750640.61378264"
"M197.8074T860","197.807356177878","859.953","6590484.53365763","16668620.2936211","12020521.1822312"
"M953.8529T387","953.852922881455","387.042","6299000.75349263","9085086.30261097","6259274.75661606"
"M364.948T559.7","364.948004113234","559.718","8142734.73228773","8799852.89534869","9720722.84951289"
"M538.7489T593.1","538.748945728132","593.127","6062805.77197522","10364868.9283203","13247495.9141484"
"M362.9511T559.7","362.951109149789","559.718","6370735.4718115","6914300.34646621","7648057.11446453"
"M543.748T593.1","543.747965852133","593.113","5508322.14391018","9438834.14026893","11793029.4752344"
"M195.8103T859","195.810292054241","859.012999999998","802817.381312517","25235639.3012433","15382740.3483572"
"M546.7402T593.1","546.740163703289","593.127","5278980.36328733","8997174.74606693","11346833.3736947"
"M617.3834T674.1","617.383449868626","674.096500000002","341786.372709215","9988977.23939383","4616973.68398379"
"M913.8582T393.3","913.858222253354","393.291","3831668.50836814","5849154.42188567","3686740.13826171"
"M951.8552T387","951.855157288981","387.042","4246268.06165625","5999827.11071955","4252289.69678235"
"M461.1654T271.8","461.165416430421","271.83","8005912.72788671","7711181.33753771","16014820.9143344"
"M955.851T387","955.850961063613","387.042","4120403.58556406","5907617.58552123","4092932.59013018"
