"","database_identifier","chemical_formula","smiles","inchi","metabolite_identification","mass_to_charge","fragmentation","modifications","charge","retention_time","taxid","species","database","database_version","reliability","uri","search_engine","search_engine_score","smallmolecule_abundance_sub","smallmolecule_abundance_stdev_sub","smallmolecule_abundance_std_error_sub"
"1","CHEBI:76751","C34H67NO4","CCCCCCCCCCCCCCC(O)C(=O)N[C@@H](CO)[C@H](O)C=CCCCCCCCCCCCCC","InChI=1S/C34H67NO4/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-32(37)31(30-36)35-34(39)33(38)29-27-25-23-21-18-16-14-12-10-8-6-4-2/h26,28,31-33,36-38H,3-25,27,29-30H2,1-2H3,(H,35,39)/b28-26+/t31-,32+,33?/m0/s1","Cer(d18:1/16:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CHEBI:86513","C35H69NO3","CCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)C=CCCCCCCCCCCCCC","InChI=1S/C35H69NO3/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-35(39)36-33(32-37)34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h28,30,33-34,37-38H,3-27,29,31-32H2,1-2H3,(H,36,39)/b30-28+/t33-,34+/m0/s1","Cer(d18:1/17:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CHEBI:72962","C38H75NO3","CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)C=CCCCCCCCCCCCCC","InChI=1S/C38H75NO3/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-38(42)39-36(35-40)37(41)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h31,33,36-37,40-41H,3-30,32,34-35H2,1-2H3,(H,39,42)/b33-31+/t36-,37+/m0/s1","Cer(d18:1/20:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CHEBI:86514","C44H75NO3","CCCCCCCCCCCCCC=C[C@@H](O)[C@H](CO)NC([*])=O",NA,"Cer(d18:1/22:6)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CHEBI:84304","C41H72O2","CCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@H](CC[C@H]4[C@@H]3CC=C2C1)[C@H](C)CCCC(C)C","InChI=1S/C41H72O2/c1-7-8-9-10-11-12-13-14-15-16-17-21-39(42)43-34-26-28-40(5)33(30-34)22-23-35-37-25-24-36(32(4)20-18-19-31(2)3)41(37,6)29-27-38(35)40/h22,31-32,34-38H,7-21,23-30H2,1-6H3/t32-,34+,35+,36-,37+,38+,40+,41-/m1/s1","ChoE(14:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CHEBI:3663","C43H76O2","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCCCC)[C@H](C)CCCC(C)C","InChI=1S/C43H76O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-23-41(44)45-36-28-30-42(5)35(32-36)24-25-37-39-27-26-38(34(4)22-20-21-33(2)3)43(39,6)31-29-40(37)42/h24,33-34,36-40H,7-23,25-32H2,1-6H3/t34-,36+,37+,38-,39+,40+,42+,43-/m1/s1","ChoE(16:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CHEBI:137552","C43H74O2","C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)OC(=O)*)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C",NA,"ChoE(16:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CHEBI:132001","C45H78O2","C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)OC(=O)*)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C",NA,"ChoE(18:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CHEBI:132002","C45H76O2","C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)OC(=O)*)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C",NA,"ChoE(18:2)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CHEBI:132004","C45H74O2","C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)OC(=O)*)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C",NA,"ChoE(18:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","CHEBI:138331","C47H78O2","C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)OC(=O)*)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C",NA,"ChoE(20:3)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CHEBI:132006","C47H76O2","C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)OC(=O)*)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C",NA,"ChoE(20:4)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CHEBI:132007","C47H74O2","C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)OC(=O)*)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C",NA,"ChoE(20:5)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CHEBI:138333","C36H60O5","C(O*)C(O*)CO*",NA,"DG(33:5)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CHEBI:138335","C43H86O5","C(O*)C(O*)CO*",NA,"DG(40:1)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CHEBI:64483","C8H20NO6P","C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O",NA,"LysoPC(14:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CHEBI:64563","C24H50NO7P","C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O",NA,"LysoPC(16:0)",NA,NA,NA,NA,NA,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA
