"","database_identifier","chemical_formula","smiles","inchi","metabolite_identification","mass_to_charge","fragmentation","modifications","charge","retention_time","taxid","species","database","database_version","reliability","uri","search_engine","search_engine_score","smallmolecule_abundance_sub","smallmolecule_abundance_stdev_sub","smallmolecule_abundance_std_error_sub"
"1","unknown",NA,NA,NA,"Unknown 1",NA,NA,NA,NA,301.129,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","unknown",NA,NA,NA,"Unknown 2",NA,NA,NA,NA,304.379,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CHEBI:139058","C13H28","C(CCCC(CC)C)(CCCC)C","InChI=1S/C13H28/c1-5-7-9-13(4)11-8-10-12(3)6-2/h12-13H,5-11H2,1-4H3","Undecane, 3,7-dimethyl-",NA,NA,NA,NA,306.529,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","unknown",NA,NA,NA,"Unknown 3",NA,NA,NA,NA,308.629,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CHEBI:88816","C11H24","CCCCCCC(C)CCC","InChI=1S/C11H24/c1-4-6-7-8-10-11(3)9-5-2/h11H,4-10H2,1-3H3","Decane, 4-methyl-",NA,NA,NA,NA,320.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CHEBI:16109","C3H8O2","OCCCO","InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2","3,7-Dioxa-2,8-disilanonane, 2,2,8,8-tetramethyl-",NA,NA,NA,NA,322.029,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CHEBI:139060","C9H15NS","S1C(CCCN(C)C)=CC=C1","InChI=1S/C9H15NS/c1-10(2)7-3-5-9-6-4-8-11-9/h4,6,8H,3,5,7H2,1-2H3","2-Thiophenepropanamine, N,N-dimethyl-",NA,NA,NA,NA,334.279,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CHEBI:88616",NA,NA,NA,"7-Tetradecene, (E)-",NA,NA,NA,NA,342.979,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CHEBI:46342","C11H24","CCCCCCCCCCC","InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3","Undecane",NA,NA,NA,NA,349.129,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CHEBI:78320","C3H6O3","CC(O)C(O)=O","InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester",NA,NA,NA,NA,351.679,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","CHEBI:84250","C12H26","CCCCCCCC(C)CCC","InChI=1S/C12H26/c1-4-6-7-8-9-11-12(3)10-5-2/h12H,4-11H2,1-3H3","Undecane, 4-methyl-",NA,NA,NA,NA,360.479,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","unknown",NA,NA,NA,"Unknown 4",NA,NA,NA,NA,365.929,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CHEBI:16449","C3H7NO2","CC(N)C(O)=O","InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)","Alanine_1097_2TMS",NA,NA,NA,NA,374.129,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CHEBI:87440","C5H5NO","Oc1cccnc1","InChI=1S/C5H5NO/c7-5-2-1-3-6-4-5/h1-4,7H","Pyridine, 3-trimethylsiloxy-",NA,NA,NA,NA,386.879,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","unknown",NA,NA,NA,"Unknown 5",NA,NA,NA,NA,400.179,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","unknown",NA,NA,NA,"Unknown 6",NA,NA,NA,NA,400.629,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CHEBI:15428","C2H5NO2","NCC(O)=O","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)","Glycine_1152_2TMS",NA,NA,NA,NA,401.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CHEBI:27266","C5H11NO2","CC(C)C(N)C(O)=O","InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)","Valine_1183_1TMS",NA,NA,NA,NA,409.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","unknown",NA,NA,NA,"Unknown 7",NA,NA,NA,NA,410.029,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CHEBI:35998","C13H28","CCCCCCCCCCCCC","InChI=1S/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2,1-2H3","Tridecane",NA,NA,NA,NA,426.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","unknown",NA,NA,NA,"Unknown 8",NA,NA,NA,NA,436.029,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","unknown",NA,NA,NA,"Unknown 9",NA,NA,NA,NA,436.329,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CHEBI:27266","C5H11NO2","CC(C)C(N)C(O)=O","InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)","Valine_1245_2TMS",NA,NA,NA,NA,440.629,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","unknown",NA,NA,NA,"Unknown 10",NA,NA,NA,NA,441.029,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","unknown",NA,NA,NA,"Unknown 11",NA,NA,NA,NA,444.729,"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562","Escherichia coli",NA,NA,NA,NA,NA,NA,NA,NA,NA
