"","mz","rt","4","31","35","7","22","39","38","54","58","18","25","59","2","21","34","30","53","55","40","42","48","12","41","50","20","37","56","16","26","47","28","32","51","3","9","23","11","24","36","19","52","57","10","14","44","13","17","45","QC1_1","QC1_2","QC1_3","QC10_1","QC10_2","QC10_3","QC11","QC12","QC13","QC14","QC15","QC16","QC2_1","QC2_2","QC2_3","QC3","QC4","QC5","QC6","QC7","QC8","QC9_1","QC9_2","15","27","43","6","29","33","1","5","8","46","49"
"1","mz","rt","EGFP_IPTG","EGFP_IPTG","EGFP_IPTG","EGFP_IPTG+PPDA","EGFP_IPTG+PPDA","EGFP_IPTG+PPDA","EGFP_No inducer","EGFP_No inducer","EGFP_No inducer","EGFP_PPDA","EGFP_PPDA","EGFP_PPDA","iL3EGFP_IPTG","iL3EGFP_IPTG","iL3EGFP_IPTG","iL3EGFP_IPTG+PPDA","iL3EGFP_IPTG+PPDA","iL3EGFP_IPTG+PPDA","iL3EGFP_No inducer","iL3EGFP_No inducer","iL3EGFP_No inducer","iL3EGFP_PPDA","iL3EGFP_PPDA","iL3EGFP_PPDA","iL3PET_IPTG","iL3PET_IPTG","iL3PET_IPTG","iL3PET_IPTG+PPDA","iL3PET_IPTG+PPDA","iL3PET_IPTG+PPDA","iL3PET_No inducer","iL3PET_No inducer","iL3PET_No inducer","iL3PET_PPDA","iL3PET_PPDA","iL3PET_PPDA","PET_IPTG","PET_IPTG","PET_IPTG","PET_IPTG+PPDA","PET_IPTG+PPDA","PET_IPTG+PPDA","PET_No inducer","PET_No inducer","PET_No inducer","PET_PPDA","PET_PPDA","PET_PPDA","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","QC_QC","Wild_IPTG","Wild_IPTG","Wild_IPTG","Wild_IPTG+PPDA","Wild_IPTG+PPDA","Wild_IPTG+PPDA","Wild_No inducer","Wild_No inducer","Wild_No inducer","Wild_PPDA","Wild_PPDA"
"Unknown 1",NA,"18067.74",NA,NA,NA,NA,"240123",NA,"202878","195151","292344","375408","388022","328169",NA,"432401",NA,NA,"4896966","188591",NA,NA,"98700",NA,"26901","187209","158937",NA,"182440",NA,"452303","106898","565279",NA,"478672","46543",NA,"204144",NA,"330496",NA,"402157","418573","452229",NA,"347002","46238",NA,"963347","38715","1009768","516574","498282",NA,"223484","86687","198290","447874","358494","716476","884130","2278398","1043639","793509","734387","338313","819984","614360","1035072","1393045","2252679","118955","421166","107011","157468","28586",NA,"106561",NA,NA,NA,NA,NA,"37489"
"Unknown 2",NA,"18262.74","820677",NA,"894348","1744868","2175870","1305755","1757405","1625842","1648771","1965471","3074252","3332474","1594295","3793992",NA,NA,"10532491","2909911","1969155","3949603","5900634","2376670","2241463","7021791","2322777","1208797","2175398","1860506","3581852","2067009","5195569","1266392","6208408","1487035","1831775","4022618","611048","1590762","1291845","1578629","1264365","2884368","2247471","4760531","2256687","1659262","4996432","2833376","1897090","2064334","2607477","1926869","2251369","3943644","3835412","4743485","4077607","6069506","5142840","5505209","2456874","3070197","3440987","3888356","4247437","5340459","4533583","4627729","5545505","2544631","2220021","2877358","6775918","5603906","2024078","3886105","2068944","2606181","1816088","2714995","4192713","6650072"
"Undecane, 3,7-dimethyl-",NA,"18391.74","2827745","2835026","2820985","2596817","2808738","3283180","3239073","2560098","2745594","3083542","3153640","3218771","2913257","3292923","3302823","2699839","3333453","3028918","3261896","3592120","3338624","2958071","3204290","3643504","3071693","2957854","3141501","2952660","3096378","3112535","2829397","2484852","3518056","2804601","3046339","2656359","2848412","3085088","2995271","2896097","2866726","3541089","3221836","4353113","3205419","3129708","3382354","2965944","3293986","3140433","3070338","2846927","3204711","3182192","3280709","3220772","3366333","3389971","3291603","3329979","2875991","2894106","2899366","3551251","3109959","3594857","2803909","3216037","2696020","3107701","3467548","4175131","2737627","3579474","2834433","2989855","2799930","2724552","2877189","3112906","3185571","3271125"
"Unknown 3",NA,"18517.74","933882",NA,"1123696","903070","1082029","1173559","1531851","1156013","1332048","1356173","1351944","1523904","881572","1134228",NA,NA,"1267169","1198753",NA,"1422480","1513754","1170797","1296796","1314906","1221386","1382881","1279017","1241160","1373336","1327579","1475470",NA,"1474897","1209396","1171263","1258933","1195456","1166478","1371903","1299323","1267782","1805503","1125142","1300036","1325316","1239143","1424597","1362520","957780","1001982","990263","1153579","1254024","1329512","1221266","1286531","1485241","1449988","1395570","1466216","928751","977816","984077","1314198","1216355","1282697","1161229","1354997","1279697","1153567","1382692","1155576","1232260","1561943","1083841","1217132","1184866","1060632",NA,"1155138","1157992","1412649"
"Decane, 4-methyl-",NA,"19219.74","331302","348421","340799","312209","331627","379603","360192","341389","369328","364444","378674","364398","405324","374613","400602","358716","375500","375656","377783","409008","377717","388410","381412","422773","343641","361899","367459","341048","366569","362543","335648","337525","350193","357214","370438","328303","347559","368094","374472","350912","383574","379682","366743","408704","366617","368062","404732","368918","295000","327699","300604","394173","375251","378496","402468","411799","418571","379844","406792","399686","353337","391255","368696","407641","363745","404118","344318","393384","350621","420421","438302","402390","346599","379975","354470","356312","372378","335308","353200","347166","369027","421252"
"3,7-Dioxa-2,8-disilanonane, 2,2,8,8-tetramethyl-",NA,"19321.74","1043977","1063251","1040493","1014228","1083028","1153289","1041084","1120006","1077985","1190733","1152941","1110327","1131629","1116486","1084407","1020651","1186434","1054003","1033557","1136955","1233790","1037779","1082943","1151304","1125573","1125125","1084830","1156879","1193285","1109875","1139370","1046958","1043002","1103562","1121597","1019851","1043633","1168237","1091331","1067207","1067119","1115088","1137848","1221162","1021836","1044431","1213655","1056404","850414","931618","929486","1074299","1097167","1039826","1093499","1161440","1113399","1129237","1112084","1194136","1015670","1093707","1087533","1217851","1116123","1175329","1114084","1218818","1138000","1102322","1116141","1159567","1140827","1121425","1062867","1077697","1084202","1035635","1046330","1068447","1068452","1146938"
"2-Thiophenepropanamine, N,N-dimethyl-",NA,"20056.74","1618815","1301545","1395857","1299757","1678967","1297328","2782409","3198445","2863591","2174241","1851043","2083748",NA,"1532692","1356910","1308671","1387749","1576049","2246498","2241514","2012784",NA,"1424017","1679160","1806834","1997844","1680986","1662242","2286185","1727953","3133840",NA,"2174094","1431410","1365931","1793175","2719709","1948204","2584212","2504800","2450558","2707536","1823054","2075068","1811922",NA,"2002262","2118113","588951","897132","1205840","1844539","1975303","1932243","1978056","1988055","2120199","2128697","2184473","2146924","1424067","1509748","1571453","2028435","2105577","2282318","2030259","2337807","2164986","1740973","1962745","1751012","2736748","2046096","1866745","2522656","1862283","2084326",NA,"2121576","1720402","2073153"
"7-Tetradecene, (E)-",NA,"20578.74","352379","332569","408145","339800","408588","429909","466150","414399","466461","360644","390607","474848","173005","435624","461404","409276","440412","486558","405668","457315","490830","191720","448670","562697","405992","406550","402185","367936","420073","371007","354613","189050","201677","408384","410471","433400","391538","427836","403550","366849","460630","449405","430216","458405","435341","445287","425368","380161","341732","372844","397322","340078","403160","393198","481126","444654","489581","412259","501978","436161","412773","408408","444622","535175","428224","507438","466168","502138","445612","433247","450239","472512","375229","413409","400465","373631","441473","390517","344831","431119","492724","502974"
"Undecane",NA,"20947.74","1828659","1816935","1828057","1882210","1819572","2053753","1936820","1788396","2043191","1743382","1863639","1903243","1849182","1922077","2076785","1926479","2212210","2019308","1899565","2085995","2060000","1917012","2041865","2219766","1911067","1967787","2080817","1750787","1950394","1939026","1876540","1727088","2234906","1760824","1834581","1646734","1801407","1800263","2163069","1811781","2076524","2156758","2014855","2029426","1996889","1935897","1850796","1953759","1680829","1655932","1729028","2047013","1905516","1928100","2015726","1976912","2148083","2051056","2189338","2137012","1693655","1896157","1947610","2098844","1769954","1939865","1745206","2014692","1893365","1854430","2068283","1934021","1816540","2029690","2463602","1720113","1904299","1755024","1734725","1837075","1972354","2041309"
"Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester",NA,"21100.74","729158","3034227","635947","5513145","770503","786978","2684647","1005667","1239467","1164404","858326","1447024","625695","774990","645385","608624","1204652","561591","761939","911557","955701","1398844","822784","1015805","642964","826329","854025","790655","4601168","726121","818233","844133","36864003","884623","764121","663801","825649","868233","7302979","782728","813680","941944","944925","744779","780180","1052734","1360037","902165","653015","739260","725878","740467","726688","747176","839253","807551","954047","833504","1123075","930499","669263","729216","805509","1001439","815846","999842","771125","1072268","932038","636911","775109","1155612","6476862","681396","19698663","701344","796682","701501","998486","1032696","768120","859205"
"Undecane, 4-methyl-",NA,"21628.74","236731","239639","235020","243834","244540","261684","245475","252210","270340","245349","262237","267618","238225","234849","263979","237862","303190","278442","253918","301227","263833","265651","267014","304471","246145","256676","281788","242032","260976","270362","254892","249675","287732","254904","227548","232844","252308","268653","268961","231886","297405","279737","264563","276358","266723","262296","259503","244260","224368","248344","252607","276649","289094","254067","283132","271022","291162","290057","309412","296844","242279","252629","277704","263683","259951","294959","251498","269582","267413","310488","288274","263093","270745","278981","261181","264557","301896","216020","231967","252680","262239","281200"
"Unknown 4",NA,"21955.74","250516","242909","274383","249566","269031","248856","282450","285416","305540","286617","249008","299428","219314","269322","252615","250701","281350","274383","262191",NA,"297928","236111","264373","308432","291071","250304","282112","269370","314005","270888","316914","251332","290537","242824","233075","275449","221396","253635","282630","272383","276159","303052","289905","307181","251659","288693","278215","318204","266122","247455","276247","236469","272609","252299","267053","274494","283402","272925","344263","302604","232019","251765","259569","315492","248470","310185","238241","311928","293802","236134","240860","293772","298996","296620","217765","236373","265899","263132","236960","253256","271070","274712"
"Alanine_1097_2TMS",NA,"22447.74","9031672","7655694","8019098","6833161","8017904","6659376","8678423","13393471","10909573","7834114","5856587","8982620","2740684","3804379","3509885","7128828","8022601","7191243","1592652","1534274","1111262","1763308","1542728","1170503","7007919","9020577","6219892","8837659","9215155","9210479","3253266","2569008","1812137","2447934","1638363","2033624","14955207","11066418","13328049","14398324","14168340","13852419","794133","865776","1367793","2140792","1099538","1002753","3394569","4182226","3892890","4616202","4725043","4731800","4599320","4629005","4185814","5248172","5376339","5369882","3685917","3917271","3579115","4570840","4175174","4620276","3992599","5425359","4865562","3653298","3802892","464120","725062","629270","669364","1579190","940737","398205","467346","454033","502459","491072"
"Pyridine, 3-trimethylsiloxy-",NA,"23212.74","464996","542172","447415","461442","485029","438612","695357","712130","732249","572162","518129","676005","415431","521541","392658","419924","445039","506593","571974","576960","503318","486972","444405","520655","513084","720805","674185","503625","580530","556366","676926","494410","616637","540375","510442","557933","586876","514470","631669","650891","693629","786762","525870","590415","539739","552801","593334","560354","536618","521338","569785","500905","466511","491427","576153","532573","643710","528834","552874","622553","501465","546525","577379","618710","575974","586414","528046","621246","593303","511722","524666","492722","560795","532113","530997","459255","463161","494605","445363","577839","465138","489346"
"Unknown 5",NA,"24010.74","5008183","496368","6831000","7184656","9411850","689208","7607953","9289706","8804819","669815","8266050","10505236","4664935","7742088","6190581","614398","16882243","8833898","6209007","6267868","9121686","5365047","6579034","9346215","9008771","6467108","7908734","806103","958040","10245435","10173715","5713789","7682269","4281796","5242014","7706259","7238768","7774037","885257","9908819","8858029","9273538","5499872","6356954","553271","5537703","6523543","6923756","4028518","4141929","5897070","606471","7059945","8531440","7857617","10983346","743356","11981049","11314800","9396638","4941049","6020114","6678741","6905928","6931537","8902883","9109253","921888","9485561","7457633","6233175","4916510","9180196","8039965","4767473","5945082","6530401","3911713","4510044","5681600","6295056","8411882"
"Unknown 6",NA,"24037.74","482517","6037859","652875","654990","870151","7570991","713710","848803","818913","7451936","750309","914323","403521","748594","542340","6103967","1431308","816230","532617","534694","760800","476070","575259","822877","852733","585976","690309","8647148","10023495","891885","896597","507683","644243","375223","491810","667184","719372","761034","9031155","929613","912923","872587","432783","508426","6225311","467858","595128","556762","365931","388616","543974","6571999","712086","753202","729095","979547","8021204","1049336","907220","833559","506509","537649","570398","657737","599833","771535","840796","10363904","823474","658372","543729","415783","761441","671595","442195","517934","575736","343261","387771","527367","559234",NA
"Glycine_1152_2TMS",NA,"24079.74","268542","297453","357250","368533","504351","355399","460245","569143","541939","402409","400476","599402",NA,"265247","209872","315899","867125","436353","169812","187741","234507","169708","180771","265823","489366","376538","409051","523638","619133","598499","313311","184761","262983","145858","177595","240173","542045","533424","659655","782475","681333","685153","103529","124534","136966","112894","144009","143935","171857","174810","252404","282138","299631","359669","330374","461957","339555","494227",NA,"381393","219150","252182","279377","304785","293121","369673","386402","441258","402298","312974","256080","79441","152515",NA,NA,"110271","118688","59751","71293","100010",NA,"128222"
"Valine_1183_1TMS",NA,"24559.74","23521281","19338348","19476178","18180630","20418200","17702742","30716035","34130081","30285885","27668620","24063576","26448297","17382650","20489256","18777998","19658807","22185508","22557290","25492022","25206360","24841219","25043024","21006837","22703251","24002189","26635665","22247178","22663786","22542120","24241600","27820195","22805494","27292620","24487758","22302721","24453650","27413713","24692819","25131428","29569268","30973612","27074535","19783206","23210316","19455628","22432384","23245514","23502279","22093511","23729779","25375060","22677930","23906958","23217813","22785102","23803287","23858752","23714321","25599616","25769050","23480917","24415431","24236551","24423276","23653526","24887058","24081540","26599829","24260643","23648081","23930898","21363725","27928081","19876214","20225376","22190000","20080061","18842657","19452527","21665760","18070702","18858552"
"Unknown 7",NA,"24601.74","147641","112267","124355",NA,"108838","104301","168548","228261","185822","150430","160477","161541","94376","101297","88073","82859","107605","96535","152968","137502","135289","138185","132167","141114","139624","141815","118699","106711","128388","153471","168021","152564","155924","153158","141097","175137","144753","116231","151728","129548","126733","142008","103008","114029","90478","104587","114251","101995","107685","107837","115999","126536","136016","137561","111958","134936","127620","134975","119472","141917","119688","125606","131166","110913","129489","109556","135467","125132","135866","110424","108309","106447","136304","96821","94012","92101","92557","146246","117592","139019","74868","84896"
"Tridecane",NA,"25579.74","12506967","11837260","11656101","12166788","12035634","11969803","10796251","12350718","12277900","12826235","12631821","12016026","11725607","12486061","11907009","12414398","13137544","11637737","11819081","11314696","11546902","11825626","11548158","12092358","12376687","12626779","12395752","12372791","13015835","12176038","12517519","11301972","11742187","12435427","12523572","12877400","12592666","12723481","11635954","12392934","10958219","11877538","13007964","12890599","12296864","12277327","12458177","12008781","12454993","12003937","12084352","11565132","11448524","11480966","11400214","11571061","11874587","11878468","12320501","12244673","12321020","12528263","12375031","12039923","12314917","12166703","12290738","12525637","12469971","11834335","11910720","12967085","12609689","11552916","11567312","11564400","12044771","12008179","11971829","11938577","11426633","11814136"
"Unknown 8",NA,"26161.74","13194150","6187266","7183455","10067739","8612569","6196085","7192424","45709","7393155","7949609","9132704","7634747","15801251","8084402","5321369","39740","7882195","5078782","5901758","6963806","6990943","12411622","5554247","8489781","10020334","5388496","6566510","10837208","8013212","5453694","9962890","8025337","7043669","13082449","9059010","13010956","13238249","7846244","13496968","7919058","7326619","46688","10412404","9423200","5334022","13995478","10321820","5289090","6377566","6216548","7223831","7314820","6921196","8309046","6564658","9489889","6852739","9629024","8566148","8408411","8173532","7794717","8500391","7346093","7900638","8157346","9748530","8078491","8982527","6540919","5988500","13448094","8747022","5689447","12107837","6300510","5576352","14990149","10710122","11486565","5939345","6736388"
"Unknown 9",NA,"26179.74",NA,NA,NA,NA,NA,NA,"48247","6093791",NA,NA,"57587","42815",NA,"62469",NA,"5837693",NA,NA,NA,NA,"55125",NA,"34137","59141",NA,"29591",NA,NA,NA,NA,NA,"93684",NA,"104310",NA,NA,NA,NA,NA,NA,"49964","6521836","61972","91023",NA,"120315","67950",NA,"36098",NA,NA,"54061","33775",NA,NA,NA,NA,NA,NA,"46938",NA,"60854","50345","53028","42655",NA,"47178",NA,NA,"44648",NA,NA,NA,NA,NA,NA,NA,NA,NA,"114322","32701","49486"
"Valine_1245_2TMS",NA,"26437.74","17743808","13693772","15442627","12432346","15619192","11936680","21325392","30477480","25732392","18710811","16757792","19000928","13784903","16324717","14757195","269775","15835646","16377246","21661973","19645343","15754206","22221293","17389343","285482","19035181","17670033","17413922","17658395","19737550","16606509","17149874","22147868","17084998","18904273","14147576","17842198","26217839","21244943","333538","24458974","23388934","23922235","15491917","14644398","12476151","16757957","13115621","14556903","15297627","17515504","15954111","17743090","16259770","18342677","17085300","18452373","17974487","19813869","18229781","18348977","14939611","14881526","15251610","19093505","17112521","20307608","17573278","19254635","18332815","15528223","15629082","13146465","21684178","12246593","17402538","19218254","14240985","260373","14209485","15213438","13078469","12389436"
"Unknown 10",NA,"26461.74","281376","238391","251381","203614","251523","216337","343130",NA,"404093","300279","273268","312347","231131","275704","250491","16763598","274327","283537","346457","322019","260112","343897","298832","16962398","311446","302232","284108","278013","318979","277139","279365","352693","285411","304933","232778","296192","392767","338265","21807519","377925","356047","373214","264126","259646","217823","274876","231012","247121","250844","284078","264622","287303","270969","300249","289182","302940","292327","314805","304235","310058","248675","254219","237893","313798","274784","327483","285002","318908","282335","264537","266369","234384","351632","215775","275749","305388","243467","16594744","230902","246240","242245","223044"
"Unknown 11",NA,"26683.74","250981","216320","216746","203406","211967","228954","224690","205009","246058","294404","219111","202346","226280","224725","238643","234749","241188","207755","231783","221564","262126","233293","252158","229321","259026","228185","227083","242147","214297","237029","226040","229331","195418","234220","234999","195913","251801","217242","254465","246420","206270","245861","240361","261749","220136","270921","225498","206420","231584","211276","212500","225598","227935","193438","216205","205799","234348","194499","249516","225071","262477","251371","253568","228069","224519","225297","208523","245876","219776","228808","217565","256846","218134","222755","229647","188113","215694","219999","212877","250145","242441","230435"
"Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-N-[2-[(trimethylsilyl)oxy]ethyl]-",NA,"26749.74","452367","263991","312380","283448","249882","186452","412694","527102","406354","439359","354191","286488","313759","259411","260818","323246","184055","236234","342566","295469","254967","507838","286050","225735","360004","405398","326459","288442","320798","215931","360377","399737","274397","636820","432473","309217","401021","293126","275134","377976","275186","298905","274489","283834","177485","354629","253292","213709","592363","582112","552404","349062","310681","250705","271722","238127","301325","241973","253341","260194","465598","457953","432680","500640","355616","370900","311928","357534","283584","303611","302805","281211","293106","196171","373918","262166","248616","398145","407078","366985","195935","165225"
"Leucine_1252_1TMS",NA,"26911.74","18905336","15235387","15486709","18154141","24410063","15846429","30249368","35332815","31518444","24493510","21557609","30048654","13083163","20607449","13674671","15305446","23189212","21061498","19190811","23704512","26743582","17451931","17480186","22619366","25743972","21261997","22405339","24990614","27340847","26153475","27227050","16931279","27632116","16061799","14588549","21784986","24998266","26441299","29136098","35198277","33295664","29606676","15489326","19510394","14866106","17302445","20845951","19250404","22046466","20795727","23802708","22244353","21684496","23949874","26229004","28335762","26106866","29204308","28872992","28198810","22049294","26512629","24502227","29039920","27981566","29552282","28533416","27416066","29282748","24354169","21162999","15279735","33010625","19231960","16556852","20361742","17470901","14101170","17623368","19191990","15300888","19168561"
"Trimethylsilyl ether of glycerol",NA,"27262.74","47898885","57559871","50663212","42257286","34290621","34170967","55077793","56226258","58234810","69276658","63198001","58791077","44486933","40515610","45377636","47910712","63316896","51049601","55918937","52114485","41920821","56974293","72595866","57465167","33143754","36255085","35501104","27409886","24788599","28567845","65099247","65885885","70967229","100279075","82483475","75259643","10942936","17800310","9969314","22484802","20891079","14536760","48379174","50935829","46691383","34691925","42553585","51684063","56384878","53471764","52290874","49436315","50327981","50179729","49889243","51691750","51212787","52423446","53079802","53786179","50132208","50644055","49896097","54245965","51985468","55475575","51799113","56175842","53315166","50212712","51460949","66074662","64448017","56448779","57907652","56401955","57881400","52973216","56881351","57128222","53074633","48827784"
"Unknown 12",NA,"27355.74",NA,"136701",NA,NA,NA,NA,"110888","134115",NA,NA,NA,"167641",NA,NA,NA,NA,NA,NA,NA,NA,NA,"154240","152986",NA,NA,NA,NA,NA,NA,NA,"155910","172038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106187",NA,"110907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"137747",NA,"117812",NA,NA,NA,NA,NA,NA,"150151","200066",NA,"147323",NA,NA,NA,NA,"172375",NA,NA
"Nonadecane",NA,"27469.74","2060820","2082222","1984863","1988619","2065890","2062733","2064697","2154446","2249945","2206751","2253255","2184805","2047994","2239635","2142178","2114109","2416626","2192084","2229487","2226050","2170460","2168367","2323626","2344657","2159771","2143686","2131231","2027635","2136718","1964944","2258534","2058683","2147297","2300574","2273298","2170237","1928943","2127894","2046219","2162576","2131438","2127360","2342614","2416643","2138423","2184147","2339354","2078972","2482317","2332577","2337999","2094603","2193683","2247279","2271032","2251192","2289103","2277754","2344315","2294812","2092323","2125083","2126305","2346834","2174631","2393295","2138738","2465239","2214967","2328889","2373180","2323334","2420804","2200652","2115136","2049356","2167133","2040709","2023427","2173123","2173727","2238057"
"Heptadecane",NA,"27706.74","107127","108783","107488","106356","117041","112270","107132","119492","111783","105506","128773","106344","106910","128775","116934","116550","112063","108191","132729","121940","110815","111936","125840","128701","106905","110538","111791","105185","108508","109699","111618","106512","109847","112098","126735","112860","111524","110419","115020","108549","113110","115915","123678","133873","117163","127224","129863","108864","107075","110858","109252","101536","120414","108930","122775","113512","122553","125992","120876","120667","108379","111472","121915","119048","115339","122553","111966","123630","112551","117839","118173","120936","132671","122201","121823","106184","116482","100902","107061","111560","125919","109502"
"Isoleucine_1285_1TMS",NA,"27850.74","3666463","5028580","5106614","7107438","69509","4208782","8916517","10713618","73906","9056393","8147544","10767808","4659405","9192568","4009349","3882243","12693098","8388635","5515934","6560959","9528765","5374598","5408302","10833768","10304535","7564178","8229925","8971418","10488597","10494955","12190594","4499019","9527416","5359723","4220419","8402504","5393535","64689","9050198","13730798","11202272","9693029","4660591","7004393","3867271","6256932","7174829","5603311","7466494","7126993","10737970","6833629","7849144","10654230","9990981","13618731","9398957","13422367","12521799","10756536","8003033","10428989","11822701","11668189","10930440","13559901","12387149","11792315","12447844","9432706","6789646","4239454","15236907","7848034","4823932","5789075","6049007","53586","6024709","7125413","4147753","8804305"
"Unknown 13",NA,"27868.74","44383","51367",NA,"62838","9154784","56563",NA,NA,"11070581","65361","64404","70410","50955","69207",NA,"51312","81788","63581","58048","62503","60863","51580",NA,"71197",NA,NA,"65233","62006","77069","70270","73697","46501",NA,"55034","59692","64471","57036","8181374","65211","83943",NA,NA,"58651","62822","44538","64462","65607","53784","63200",NA,"69763","64149","62721","75245",NA,"79566","76114","88545",NA,NA,NA,NA,"73568","77731","71359","77218","74505","81305","73761",NA,NA,"53318","97494","57607","64865","59543","58663","4076087","54443","67985","51640",NA
"Unknown 14",NA,"28075.74",NA,"119885","145950","135939","175410","131902","695188","207039","182392","185762","168500","225358","133099","194777","133876","129801","203970","187991","167340","178289","190602","150959","149287","187528","149084","162051","166192","206251","209961","179134","214572","129643","153498","143830",NA,"152723","184489","201908","209949","254024","206406","199028","164318","163419","127785","165389","197192","135965","174554","145418","220445","149703","157139","201809","188151","235937","165856","220341","223102","210479","155524","193542","205672","200137","183354","245339","205620","191893","177314","182978","148586","142353","276471","143398","147071","144997","147233","150453","137958","172585","128412","174135"
"Unknown 15",NA,"28099.74","863680","526263","514318","556731","679565","496984","179594","1251441","910700","755759","569613","934250","589856","507754","437989","483110","894233","563340","672175","683123","635185","705231","539231","620847","791506","633237","551306","698513","579008","677485","880313","585399","469999","748723","510633","585528","941178","719213","806994","1279505","929685","697347","634935","531416","410818","730405","707619","497623","500261","484977","912045","577897","517700","792790","586636","1056157","517422","895443","903536","594580","622145","637152","882819","901495","547413","976269","812083","794213","599624","569996","456681","498459","1271901","510290","595957","643203","575240","659961","579289","602473","438533","534069"
"Leucine_1306_2TMS",NA,"28252.74","65521881","47463708","48482843","37044820","40297035","39183378","66435322","77335907","67684095","60686021","48477901","49795498","43099657","38645743","47363958","49809401","31240594","41249461","64281707","58241584","44816723","68177848","49523360","39567426","45691785","58360617","43880487","49835078","45395993","42870942","48044448","64469176","49138123","66717845","53701412","46667882","79464050","58492371","61962602","65633919","66324061","63141775","50862305","50605787","45065165","58124349","45584490","50988089","48912822","52434749","47367629","53335586","51214902","44571598","44611968","42818702","46776941","43562924","43634342","45977966","46381569","41780838","41943728","49342529","44041315","47974414","41854377","48098527","41080971","46602181","51178830","53561036","54289812","37905267","57992750","54628564","49031225","55124884","49256817","50707154","42744986","33102473"
"Unknown 16",NA,"28420.74","41851","40751","48805","36402","44182","38898","52672","64520","63903","68521","40743","51708","36346","41795","46494","40605","29911","42353","63452","52863","61577","70738","53521","67205","41930","52559","51203","47232","48068","36415","44367","59586","56812","59965","53686","54461","53588","41535","20967","55088","52995","63728","59279","62546","63971","61770","50638","62588","58614","41604","60723","55157","47504","48098","52960","54738","47956","53814","49013","53634","41009","36576","55510","54761","47750","48483","48202","53602","47556","47026","52478","55882","68624","45877","58909","51853","48528","64206","58182","67105","47109","44086"
"Phosphoric acid, bis(trimethylsilyl)monomethyl ester",NA,"28855.74","3693826","4347924","4031685","3948933","4041153","3686318","7593456","6027513","7550345","5473573","6198891","4552251","4142187","4672193","4285321","4960957","4266593","4889943","5991617","6271196","5460173","8071939","6455186","6263274","6469339","7662671","6902908","3802423","4917322","3335356","12333694","10831717","7008231","10702541","7709851","9508683","6055210","5719637","4993171","5595011","5812245","5775010","7549050","8594268","7911886","9244326","7711035","8103828","8425778","6327277","6611329","6729745","7164645","7039701","6832520","6946614","6818262","7216833","7079680","7017642","6352246","6514583","6865728","7370464","6827229","7594518","7148115","7830346","7143417","6829007","6874195","8664641","9226411","8626373","8850201","9834144","9768453","6921155","8232221","8454973","7787750","7456875"
