"","database_identifier","chemical_formula","smiles","inchi","metabolite_identification","mass_to_charge","fragmentation","modifications","charge","retention_time","taxid","species","database","database_version","reliability","uri","search_engine","search_engine_score","smallmolecule_abundance_sub","smallmolecule_abundance_stdev_sub","smallmolecule_abundance_std_error_sub"
"1","CHEBI:67255","C6H12O4","COCCOC(C)C(O)=O","InChI=1S/C6H12O4/c1-5(6(7)8)10-4-3-9-2/h5H,3-4H2,1-2H3,(H,7,8)","(2-methoxyethoxy)propanoic acid isomer",147.065655,NA,"[(M-H)]-",1,4.75,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"2","CHEBI:68433","C11H20N2O5","CC(C)C[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","InChI=1S/C11H20N2O5/c1-6(2)5-8(11(17)18)13-9(14)4-3-7(12)10(15)16/h6-8H,3-5,12H2,1-2H3,(H,13,14)(H,15,16)(H,17,18)/t7-,8-/m0/s1","gamma-Glu-Leu",259.128923,NA,"[(M-H)]-",1,5.25,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"3","CHEBI:68434","C11H20N2O5","CC[C@H](C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","InChI=1S/C11H20N2O5/c1-3-6(2)9(11(17)18)13-8(14)5-4-7(12)10(15)16/h6-7,9H,3-5,12H2,1-2H3,(H,13,14)(H,15,16)(H,17,18)/t6-,7-,9-/m0/s1","gamma-Glu-Ile",259.128923,NA,"[(M-H)]-",1,5.25,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"4","CHEBI:68447","C7H8N4O3","Cn1c2[nH]c(=O)[nH]c2c(=O)n(C)c1=O","InChI=1S/C7H8N4O3/c1-10-4-3(8-6(13)9-4)5(12)11(2)7(10)14/h1-2H3,(H2,8,9,13)","1,3-Dimethyluric acid",195.050844,NA,"[(M-H)]-",1,4.67,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"5","CHEBI:68449","C7H8N4O3","Cn1c2c([nH]c1=O)[nH]c(=O)n(C)c2=O","InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)","1,7-Dimethyluric acid",195.050844,NA,"[(M-H)]-",1,4.96,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"6","CHEBI:68441","C6H6N4O3","Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O","InChI=1S/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)","1-Methyluric acid",181.035456,NA,"[(M-H)]-",1,4.07,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"7","CHEBI:68444","C6H6N4O2","Cn1c(=O)[nH]c2nc[nH]c2c1=O","InChI=1S/C6H6N4O2/c1-10-5(11)3-4(8-2-7-3)9-6(10)12/h2H,1H3,(H,7,8)(H,9,12)","1-Methylxanthine",165.040382,NA,"[(M-H)]-",1,4.23,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"8","CHEBI:68459","C7H12O4","CC(C)(CCC(O)=O)C(O)=O","InChI=1S/C7H12O4/c1-7(2,6(10)11)4-3-5(8)9/h3-4H2,1-2H3,(H,8,9)(H,10,11)","2,2-Dimethylglutaric acid",159.065452,NA,"[(M-H)]-",1,6.04,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"9","CHEBI:84085","C11H13NO3","CC(=O)Nc1cc(C)ccc1OC(C)=O","InChI=1S/C11H13NO3/c1-7-4-5-11(15-9(3)14)10(6-7)12-8(2)13/h4-6H,1-3H3,(H,12,13)","2-acetamido-4-methylphenyl acetate",206.08069,NA,"[(M-H)]-",1,6.75,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,4,NA,NA,NA,NA,NA,NA
"10","CHEBI:37024","C6H11NO4","NC(CCCC(O)=O)C(O)=O","InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)","2-Aminoadipic acid",160.060993,NA,"[(M-H)]-",1,1.05,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"11","CHEBI:16464","C7H8O2","OCc1ccccc1O","InChI=1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9/h1-4,8-9H,5H2","2-Hydroxybenzyl alcohol",123.045226,NA,"[(M-H)]-",1,5.58,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"12","CHEBI:35128","C7H12O5","C(C(=O)O)[C@](C(=O)O)(O)C(C)C","InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)/t7-/m0/s1","2-Isopropylmalic acid",175.060135,NA,"[(M-H)]-",1,5.52,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
"13","CHEBI:68455","C10H11NO3","Cc1ccccc1C(=O)NCC(O)=O","InChI=1S/C10H11NO3/c1-7-4-2-3-5-8(7)10(14)11-6-9(12)13/h2-5H,6H2,1H3,(H,11,14)(H,12,13)","2-Methylhippuric acid",192.066148,NA,"[(M-H)]-",1,6.13,"EFO:http://purl.obolibrary.org/obo/NCBITaxon_9606","Homo sapiens",NA,NA,5,NA,NA,NA,NA,NA,NA
