"","mz","rt","intensity","metabolite_name","HMDB","Adduct"
"1",259.0722,1.28,62.27799291,"1,2,3,4-Tetrahydro-b-carboline-1,3-dicarboxylic acid","HMDB32102","[M-H]-"
"2",313.2383,10.16,747.9870859,"12.13-diHOME","HMDB04705","[M-H]-"
"3",337.3109,16.99,88.54485091,"13-docosenoate","HMDB02068","[M-H]-"
"4",271.2281,13.93,6837.851941,"2-hydroxyhexadecanoate","HMDB62548","[M-H]-"
"5",243.1961,12.52,177.5982418,"2-hydroxymyristic acid","HMDB02261","[M-H]-"
"6",119.0489,2.55,419.5276825,"4-hydroxystyrene","HMDB04072","[M-H]-"
"7",405.2644,8.6,68.95376545,"7-ketodeoxycholate","HMDB00391","[M-H]-"
"8",313.2385,10.36,674.227942,"9.10-diHOME","HMDB04704","[M-H]-"
"9",161.9854,1.02,550.9882172,"acesulfame","HMDB33585","[M-H]-"
"10",222.0765,1.13,117.1777082,"acetytyrosine","HMDB00866","[M+H]+"
"11",331.2641,15.06,278.1546872,"adrenic acid","HMDB02226","[M-H]-"
"12",277.2172,13.76,3265.764504,"alpha-linolenic acid","HMDB01388","[M-H]-"
"13",407.2798,8.12,2806.772989,"alpha-muricholate","HMDB00506","[M-H]-"
"14",303.2329,14.31,3566.981364,"arachidonic acid","HMDB01043","[M-H]-"
"15",187.0965,4.48,1986.03259,"azelate","HMDB00784","[M-H]-"
"16",329.1757,10.79,397.0378255,"carnosol","HMDB02121","[M-H]-"
"17",391.285,10.56,2471.969411,"chenodeoxycholate","HMDB00518","[M-H]-"
"18",407.2801,9.13,13774.69983,"cholate","HMDB00619","[M-H]-"
"19",391.2855,10.77,35556.21139,"deoxycholic acid","HMDB00626","[M-H]-"
"20",327.2326,14.09,2356.365653,"docosahexaenoic acid","HMDB02183","[M-H]-"
"21",329.2486,14.45,856.5058709,"docosapentaenoic acid","HMDB06528","[M-H]-"
"22",229.1439,8.01,235.1569145,"dodecanedioic acid","HMDB00623","[M-H]-"
"23",301.2172,13.62,632.6919418,"eicosapentaenoic acid","HMDB01999","[M-H]-"
"24",305.2485,14.78,666.7760477,"eicosatrienoic acid","HMDB02925","[M-H]-"
"25",309.28,16.12,377.0854321,"eicosenoate","HMDB02231","[M-H]-"
"26",448.3067,9.52,472.2677131,"glycodeoxycholic acid","HMDB00631","[M-H]-"
"27",432.3118,10.9,48.24898827,"glycolithocholic acid","HMDB00698","[M-H]-"
"28",448.3069,8.1,917.4865681,"glycoursodeoxycholic acid","HMDB00708","[M-H]-"
"29",285.2067,10.78,126.9534393,"hexadecanedioic acid","HMDB00672","[M-H]-"
"30",391.2851,9.25,2460.299466,"hyodeoxycholate/ursodeoxycholate","HMDB00733*","[M-H]-"
"31",405.2644,8.35,4727.824545,"ketodeoxycholate","HMDB00391","[M-H]-"
"32",279.2329,14.48,17510.45628,"linoleic acid","HMDB00673","[M-H]-"
"33",375.2901,12.43,5440.124482,"lithocholic acid","HMDB00761","[M-H]-"
"34",554.3816,13.94,456.8304358,"lysoPC(O-18:0)","HMDB11149","[M+FA-H]-"
"35",471.3475,11.82,259.932319,"maslinic acid","HMDB02392","[M-H]-"
"36",227.2008,14.01,134.0668295,"myristic acid","HMDB00806","[M-H]-"
"37",365.3421,17.96,24.03016123,"nervonic acid","HMDB02368","[M-H]-"
"38",455.3528,13.87,199.7982864,"oleanolic acid","HMDB02364","[M-H]-"
"39",281.2486,15.27,20567.96776,"oleic acid","HMDB00207","[M-H]-"
"40",259.1813,6.2,48.72923764,"oxymetazoline","HMDB15070","[M-H]-"
"41",255.2326,15.16,2304.587654,"palmitic acid","HMDB00220","[M-H]-"
"42",253.217,14.21,140.0441732,"palmitoleic acid","HMDB03229","[M-H]-"
"43",334.2518,13.73,40.09125545,"palmitoylethanolamide","HMDB02100","[M+Cl]-"
"44",355.2428,8.07,558.0568818,"PGE2-d4","Internal Standard","[M-H]-"
"45",165.0545,2.55,8614.890412,"phenyllactate","HMDB00779","[M-H]-"
"46",151.0388,1.47,254.5701091,"p-hydroxyphenylacetate","HMDB00020","[M-H]-"
"47",201.1123,6.18,676.4232836,"sebacate","HMDB00792","[M-H]-"
"48",283.2639,16.09,2860.224125,"stearic acid","HMDB00827","[M-H]-"
"49",498.2891,8.29,4948.750923,"taurochenodesoxycholic acid","HMDB00951","[M-H]-"
"50",498.2895,8.55,659.8015187,"taurodeoxycholic acid","HMDB00896","[M-H]-"
"51",498.2896,7.26,641.9273754,"taurohyodeoxycholate/ tauroursodeoxycholate","HMDB00874","[M-H]-"
"52",482.2942,9.71,146.1691676,"taurolithocholic acid","HMDB00722","[M-H]-"
"53",257.1756,9.44,215.6093577,"tetradecanedioate","HMDB00872","[M-H]-"
"54",243.1598,8.74,463.4331409,"undecanedicarboxylic acid","HMDB02327","[M-H]-"
"55",215.1281,7.19,297.5972621,"undecanedionate","HMDB00888","[M-H]-"
"56",593.3345,6.51,8330.278357,"urobilin","HMDB04159","[M-H]-"
