"","mz","rt","intensity","metabolite_name","HMDB","Adduct"
"M269.2475T4.1",269.2475,4.06,193.0928599,"7-Hexadecenoic acid methyl ester","HMDB61858","[M+H]+"
"M594.3803T5.7",594.3803,5.73,165.2044358,"alpha-Hydroxymetoprolol","HMDB60994","[M+H]+"
"M397.3832T7.7",397.3832,7.72,317.0545863,"beta-sitosterol",NA,"[M-H2O+H]+"
"M619.5422T11.6",619.5422,11.55,33.19783434,"C14:0 CE","HMDB06725","[M+Na]+"
"M675.5414T7.5",675.5414,7.53,123.7477201,"C14:0 SM","HMDB12097","[M+H]+"
"M647.5738T12",647.5738,11.97,331.7829849,"C16:0 CE","HMDB00885","[M+Na]+"
"M538.5199T8.2",538.5199,8.2,545.5585146,"C16:0 Ceramide (d18:1)","HMDB04949","[M+H]+"
"M496.3399T4.8",496.3399,4.77,4086.997586,"C16:0 LPC","HMDB10382","[M+H]+"
"M703.5748T8.1",703.5748,8.05,1888.152206,"C16:0 SM","HMDB10169","[M+H]+"
"M645.5578T11.6",645.5578,11.63,119.2213069,"C16:1 CE","HMDB00658*","[M+Na]+"
"M351.2504T5",351.2504,4.96,126.3273519,"C16:1 MAG","HMDB11565","[M+Na]+"
"M701.5568T7.7",701.5568,7.7,85.55076434,"C16:1 SM",NA,"[M+Na]+"
"M675.604T12.4",675.604,12.39,213.3027875,"C18:0 CE","HMDB10368","[M+Na]+"
"M524.3712T5.3",524.3712,5.3,2436.142692,"C18:0 LPC","HMDB10384","[M+H]+"
"M381.2966T5.7",381.2966,5.72,3571.974472,"C18:0 MAG","HMDB11131","[M+Na]+"
"M731.6066T8.6",731.6066,8.56,177.2667692,"C18:0 SM","HMDB01348","[M+H]+"
"M367.3184T6.2",367.3184,6.19,2351.683192,"C18:0e MAG","HMDB11143","[M+Na]+"
"M673.5894T12.1",673.5894,12.05,910.4839226,"C18:1 CE","HMDB00918","[M+Na]+"
"M522.3557T4.9",522.3557,4.94,595.8795783,"C18:1 LPC","HMDB02815","[M+H]+"
"M671.5735T11.7",671.5735,11.73,2192.714786,"C18:2 CE","HMDB00610*","[M+Na]+"
"M520.3404T4.6",520.3404,4.6,287.4355736,"C18:2 LPC","HMDB10386","[M+H]+"
"M669.5588T11.4",669.5588,11.45,280.2832462,"C18:3 CE","HMDB10370*","[M+Na]+"
"M518.3219T4.8",518.3219,4.77,1439.347371,"C18:3 LPC","HMDB10387","[M+H]+"
"M510.356T5",510.356,5.03,2284.783453,"C20:0 LPE","HMDB11511","[M+H]+"
"M697.5883T11.8",697.5883,11.84,545.2776887,"C20:3 CE","HMDB06736*","[M+Na]+"
"M695.5738T11.6",695.5738,11.57,637.2396184,"C20:4 CE","HMDB06726","[M+Na]+"
"M693.5609T11.3",693.5609,11.32,156.095975,"C20:5 CE","HMDB06731","[M+Na]+"
"M542.3217T4.6",542.3217,4.61,134.4571745,"C20:5 LPC","HMDB10397","[M+Na]+"
"M787.6697T9.5",787.6697,9.46,145.5883429,"C22:0 SM","HMDB12103","[M+H]+"
"M435.3447T6.8",435.3447,6.78,67.90220519,"C22:1 MAG","HMDB11582","[M+Na]+"
"M785.6531T9.2",785.6531,9.16,26.64755776,"C22:1 SM","HMDB12104","[M+H]+"
"M723.6057T11.9",723.6057,11.95,59.15951565,"C22:4 CE","HMDB06729*","[M+Na]+"
"M721.5939T11.7",721.5939,11.68,90.05062028,"C22:5 CE","HMDB10375*","[M+Na]+"
"M719.5746T11.4",719.5746,11.44,259.2775652,"C22:6 CE","HMDB06733","[M+Na]+"
"M622.4443T6.4",622.4443,6.38,2641.539882,"C24:0 PC","Internal Standard","[M+H]+"
"M815.698T9.9",815.698,9.87,141.4372555,"C24:0 SM","HMDB11697","[M+H]+"
"M493.3593T6.5",493.3593,6.46,104.8234805,"C24:0 TAG","HMDB11187","[M+Na]+"
"M813.6846T9.5",813.6846,9.49,406.8841052,"C24:1 SM","HMDB12107","[M+H]+"
"M563.4674T8.6",563.4674,8.56,317.5371632,"C30:0 DAG","HMDB07011","[M+Na]+"
"M591.4957T9",591.4957,9.03,723.2777873,"C32:0 DAG","HMDB07098","[M+Na]+"
"M732.5553T8.2",732.5553,8.18,50.82111396,"C32:1 PC","HMDB07873","[M+H]+"
"M582.512T8.4",582.512,8.38,37.40848221,"C32:2 DAG","HMDB07128*","[M+NH4]+"
"M619.5261T9.4",619.5261,9.45,706.772809,"C34:0 DAG","HMDB07100*","[M+Na]+"
"M720.5524T8.2",720.5524,8.23,37.71657759,"C34:0 PE","HMDB08925","[M+H]+"
"M612.5567T9.2",612.5567,9.17,1628.521264,"C34:1 DAG","HMDB07102*","[M+NH4]+"
"M760.5851T8.6",760.5851,8.64,996.1428986,"C34:1 PC","HMDB07972","[M+H]+"
"M746.6066T8.9",746.6066,8.94,325.5010185,"C34:1 PC plasmalogen-A","HMDB11208","[M+H]+"
"M615.4963T8.9",615.4963,8.86,4249.764737,"C34:2 DAG","HMDB07103","[M+Na]+"
"M758.5691T8.3",758.5691,8.34,505.3373968,"C34:2 PC","HMDB07973","[M+H]+"
"M613.4817T8.6",613.4817,8.57,638.6554222,"C34:3 DAG","HMDB07132","[M+Na]+"
"M647.5587T9.8",647.5587,9.84,524.0410316,"C36:0 DAG","HMDB07158","[M+Na]+"
"M788.6154T9.1",788.6154,9.08,393.9414925,"C36:1 PC","HMDB08038","[M+H]+"
"M638.5724T9.3",638.5724,9.29,7615.685571,"C36:2 DAG","HMDB07218*","[M+NH4]+"
"M786.5999T8.8",786.5999,8.8,428.765575,"C36:2 PC","HMDB08039","[M+H]+"
"M772.6225T9.1",772.6225,9.08,114.3901913,"C36:2 PC plasmalogen","HMDB11243","[M+H]+"
"M641.5126T9",641.5126,8.99,7460.680605,"C36:3 DAG","HMDB07219","[M+Na]+"
"M784.5868T8.5",784.5868,8.5,166.6998675,"C36:3 PC","HMDB08105","[M+H]+"
"M639.4972T8.7",639.4972,8.69,6279.734167,"C36:4 DAG","HMDB07248","[M+Na]+"
"M782.5707T8.1",782.5707,8.14,48.87104198,"C36:4 PC-A","HMDB07983","[M+H]+"
"M782.5689T8.4",782.5689,8.36,96.17843151,"C36:4 PC-B","HMDB08138","[M+H]+"
"M766.5784T8.2",766.5784,8.25,51.64457877,"C36:5 PC plasmalogen-A","HMDB11221","[M+H]+"
"M766.573T8.6",766.573,8.64,40.90021544,"C36:5 PC plasmalogen-B","HMDB11220","[M+H]+"
"M665.5123T8.9",665.5123,8.94,151.4995578,"C38:5 DAG","HMDB07199*","[M+Na]+"
"M740.6781T10.8",740.6781,10.82,642.2887785,"C42:0 TAG",NA,"[M+NH4]+"
"M773.6615T11.2",773.6615,11.19,266.5797536,"C44:0 TAG","HMDB42063","[M+Na]+"
"M771.6476T10.9",771.6476,10.93,119.6371734,"C44:1 TAG",NA,"[M+Na]+"
"M796.7396T11.5",796.7396,11.53,221.4166716,"C46:0 TAG","HMDB10411*","[M+NH4]+"
