"","mz","rt","POS_SF.100109.114720","POS_SF.100109.121711","POS_SF.100109.124896","POS_SF.100109.124904","POS_SF.100109.130034","POS_SF.100109.169058","POS_SF.100109.199550","POS_SF.100109.227718","POS_SF.100109.231142","POS_SF.100109.239012","POS_SF.100109.244079","POS_SF.100109.255622","POS_SF.100109.259700","POS_SF.120831.00062","POS_SF.100109.142930","POS_SF.100109.146730","POS_SF.100109.199546","POS_SF.100109.225118","POS_SF.100109.252159","POS_SF.110121.00073","POS_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M470.2476T720.5","470.2476284","720.501","425.394595","568.8714799","478.992843","390.0173907","395.498687","478.9011053","562.9710073","7353.8088","6690.713557","17084.77113","12789.88071","13571.59697","19681.88017","8023.236878","17213.33687","14560.91282","3217.864199","21974.99627","26097.08482","36341.71202","7144.441711"
"M412.3207T764.3","412.3206558","764.2930002","3135.485568","4822.235284","4800.709014","4048.938604","3617.60118","5154.447303","4524.581408","30194.78336","16492.83799","18573.58783","19570.70476","13913.48836","20764.04367","13238.58135","15348.08346","18540.38567","15215.51959","31468.27431","28042.66014","20173.85199","19254.74421"
"M487.2536T722.5","487.2536417","722.5300002","402.2054557","599.9750492","609.5685097","391.5708133","388.573624","616.4760783","669.0392392","9102.502869","8302.787697","24598.78587","16639.19802","18887.10998","27572.77238","9833.529565","23814.67867","20174.64786","3910.744027","29508.3671","36299.56946","51188.69419","8632.196518"
"M496.2607T724.6","496.2607304","724.5589998","87.73172524","200.8627263","142.9222793","216.6328007","75.28825181","147.4774349","218.5119003","2905.609515","3440.013395","11677.63828","7319.564574","8321.722297","13280.8257","3800.053926","9906.418986","9216.608777","1057.296119","11546.83026","15406.62095","25556.88368","3213.880073"
"M473.2451T720.5","473.2450825","720.501","766.0257953","766.2848025","958.6382934","483.7439983","661.61544","1445.442632","1012.081628","8498.346946","7638.946326","22512.64947","14955.72157","16832.03605","25426.20409","9259.909224","21461.96436","19038.00935","4054.016882","26950.57965","32689.08774","47727.83018","7931.213987"
"M70.0648T44","70.06476176","43.971","875.5357102","681.6063459","775.7448615","1027.056649","665.584258","664.6984696","825.9865958","2141.914417","2053.317279","1489.504204","1981.702341","1407.151166","2368.200452","1588.926979","1743.499869","1524.029185","2192.009271","2696.477866","2324.756735","2544.146568","2116.580221"
"M255.1383T730.6","255.1382733","730.6450002","14573.96941","13722.77019","16859.87737","12010.29938","12149.94269","12330.34119","13225.95497","50709.2607","32109.49379","50430.29985","45114.26896","43262.92297","59768.59933","33659.9103","56238.30371","44449.71971","32656.32193","76481.27632","80630.23147","102971.6433","41442.95672"
"M428.2575T292.9","428.2574544","292.86199998","7333.130352","7976.144789","7605.173291","5983.937161","8011.826412","4749.189175","6369.242335","1893.666448","3898.50164","2582.599513","2256.432088","2614.9485","1793.553395","2561.259683","2791.578711","2266.406578","2421.000786","1589.804417","1275.867857","1563.467951","1777.046696"
"M116.0698T44","116.0697793","43.971","1986.953959","1678.654731","1799.770521","2128.095953","1409.405678","1515.867232","1702.018151","5277.897582","4909.667157","3606.51184","4431.348211","2918.185411","4932.723123","3494.557595","3712.683007","3233.065658","5275.78296","6283.619833","5905.552279","5746.286349","4302.837958"
"M360.0608T41.9","360.060759","41.94199998","853.9942419","1248.213361","831.6996464","1642.909203","615.4620288","935.2762827","1159.56731","4800.808493","4870.171479","2450.346806","3545.762199","2114.133706","5856.017753","3429.474148","5285.815314","4108.589375","5029.526334","5798.94018","11714.18136","13157.86323","7606.659187"
"M204.0859T78.6","204.0858566","78.633","784.7651853","628.592784","914.1601388","2386.836768","1022.440556","750.1644301","1605.38816","9913.281846","8370.81452","3131.043826","8430.998846","3725.404031","5226.200398","3014.449382","11522.38252","5915.284654","10395.08421","8170.038685","12488.35446","8564.165085","6176.044367"
"M259.175T106.2","259.1750067","106.194","4237.70378","3662.289714","3497.335682","3764.194944","8754.863066","6355.700489","6218.214054","330.5199942","408.4918416","959.7901019","550.1240443","1724.133248","178.0868574","849.1159545","403.5596486","577.6138183","534.4901531","162.0376351","108.3011993","130.6447726","203.1933637"
"M95.012T54.1","95.01200986","54.11500002","220.383785","490.5334512","324.8732198","956.8768368","267.4311387","184.6229785","375.0469476","5296.722648","2132.907573","1028.724722","3696.320414","1499.150063","5153.115121","2437.770662","4513.049349","2843.050969","2456.876359","3851.753616","5072.014586","5994.581649","3310.861614"
"M445.2389T183.8","445.2388683","183.804","6959.260152","6142.263074","5069.369832","5359.882575","10561.2211","8826.39402","10105.33005","903.8907092","1247.034761","2468.882749","1452.743506","2950.364832","1037.461416","1920.738374","1291.544124","1778.535454","2152.834301","1102.131554","569.993214","873.6351831","1299.168292"
"M351.0878T67.5","351.087789","67.47400002","897.409382","963.1963349","903.1324389","1172.922155","765.2200759","812.5977322","994.1864551","4084.299853","2366.977266","2422.795786","2698.757758","1445.946344","2800.99972","1511.235572","4302.605359","2772.073307","2409.767253","4261.150769","5704.628891","5011.236462","3301.187368"
"M375.1165T169.4","375.1164574","169.431","144.0607322","158.338319","129.8318711","233.2457946","156.4199364","151.9688423","220.6680011","726.6924951","949.241251","241.7630015","602.1132464","247.5052543","399.9582946","436.4389001","1536.845954","5368.652674","1263.918523","7403.370302","7283.428492","994.6330684","3088.00872"
"M489.1161T41.9","489.1161034","41.94199998","3331.103639","10424.96319","2283.538863","19796.20133","2903.553098","8233.572153","7559.238279","73424.50001","91086.28292","29731.76289","48860.4748","26209.93432","110990.1198","62803.13734","84218.19439","68795.17684","70680.95176","91443.08206","237322.4309","197329.3545","148263.2164"
"M120.0646T46","120.0645817","46.00000002","224.9855119","251.4819518","154.0449738","366.5318288","204.2722155","171.4421522","249.8819904","792.9274237","586.0270777","535.6671527","653.0914752","450.3411533","901.0980252","730.7658298","580.9129136","429.5137773","525.4804935","519.3327115","597.057776","539.1379606","427.5473219"
"M112.0498T46","112.0498181","46.00000002","1251.565682","1636.667259","1526.48985","2396.562375","1435.424281","1686.686658","1880.589186","5120.619501","8812.781449","3137.356763","4275.828772","2673.672097","5056.029424","2614.340829","6099.286627","5180.055336","8584.185137","13228.97104","13180.28862","10303.28573","10121.94589"
"M243.0727T169.4","243.0727425","169.431","254.0033345","277.7314775","281.8239565","198.535037","216.1123812","189.2771553","253.1405038","724.0920093","801.706824","336.6630256","550.734859","339.522233","494.9304593","371.6128923","1097.957575","3249.784688","884.2679746","4615.385703","4637.025894","1195.461675","2386.745127"
"M347.0256T53.1","347.0256284","53.10100002","327.8172799","359.8055428","709.9888048","4335.125981","201.5509793","337.0927906","368.5260639","13700.23683","6357.44156","1767.875924","11266.66785","3575.287371","10031.30036","4064.943743","15920.46983","11679.26348","8932.392325","18888.57622","16395.80771","18210.66774","15455.12258"
"M136.062T67.5","136.061973","67.47400002","4839.66771","5224.236285","11517.34799","64764.95783","5131.148911","7617.992358","7519.104435","166293.5976","126876.1179","19677.91745","147203.5912","53971.8912","201904.0749","105328.7784","222493.1649","202814.3686","144672.8959","312506.0907","544058.0766","443248.5847","317336.8686"
"M348.0715T66.5","348.0715365","66.46000002","12980.93301","13489.04941","33525.31237","299678.9342","13354.51107","20720.74437","18582.57888","733413.1103","580037.4739","80784.23266","612086.3806","234686.3088","867242.4995","493538.2319","894779.0775","821756.6456","630573.2742","1295973.401","1966024.199","1892872.064","1279738.295"
"M333.2119T234.7","333.2118719","234.696","14481.32248","6918.320794","7922.903792","8178.012372","19987.16492","11000.25821","7820.079432","1300.971777","2783.510428","2969.787203","2214.723525","3101.226447","2057.171345","3209.959033","3739.755416","2993.342532","2308.091238","1413.089247","1099.345113","1622.143188","1523.930392"
"M331.1327T185.8","331.1327399","185.83300002","914.7368678","917.2699034","713.201776","1067.779924","665.4976799","848.5553609","1086.35967","2504.046137","1761.668484","1615.824242","2105.093832","1586.011907","2450.881956","2025.688481","1960.113084","1512.073418","1787.337312","1657.41441","1170.150304","1709.89628","1392.527717"
