"","mz","rt","NEG_SF.100109.114720","NEG_SF.100109.121711","NEG_SF.100109.124896","NEG_SF.100109.124904","NEG_SF.100109.130034","NEG_SF.100109.169058","NEG_SF.100109.199550","NEG_SF.100109.231142","NEG_SF.100109.244079","NEG_SF.100109.227718","NEG_SF.120831.00062","NEG_SF.100109.255622","NEG_SF.100109.239012","NEG_SF.100109.259700","NEG_SF.100109.142930","NEG_SF.100109.146730","NEG_SF.100109.199546","NEG_SF.100109.225118","NEG_SF.100109.252159","NEG_SF.110121.00073","NEG_SF.110908.00016"
"group","mz","rt","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Adenocarcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Small cell carcinoma, NOS","Combined small cell carcinoma","Small cell carcinoma, NOS"
"M624.8094T437.8","624.8093704","437.79","6519.74115","6300.553725","5518.835501","4546.418451","7280.073748","5551.111539","6157.381498","870.9552393","1093.331386","1178.623718","1279.144006","1587.071455","2079.289377","913.8812985","1724.143068","1589.302067","2164.033303","1074.105788","953.4632165","1409.874224","1484.355442"
"M572.7867T437.8","572.7867066","437.79","715.6291327","767.8942894","734.1893362","508.0976106","734.1248638","672.0945551","669.9444044","145.9872849","163.4984392","221.1673993","168.5391898","191.9954658","282.7597004","137.4018733","322.4022924","317.6033611","415.7015911","276.2962598","314.9685685","325.8006692","222.2830982"
"M734.0501T64.4","734.050149","64.431","26.26038319","40.82817839","50.45098304","61.133639","28.20941169","62.73433252","50.15075293","410.4646909","368.188635","388.2342013","136.5619023","204.3412558","151.4047284","266.7944353","447.1913315","260.1981711","441.1574364","477.7803019","686.4881444","420.1167445","355.5153486"
"M585.0737T41.9","585.0736861","41.94199998","925.3316555","1838.096225","1076.743832","2552.890203","921.3655136","1557.138016","1790.240305","9369.224757","7004.524241","7762.67816","6607.861718","4102.214844","4770.679853","10028.58107","10512.95167","8745.809041","10238.83291","15858.57548","31661.76838","28004.67111","21695.9274"
"M644.0215T79.6","644.0214634","79.647","4367.362459","6128.973568","5302.009807","8731.96129","5143.002139","5833.061786","8190.376703","22550.92055","22545.83947","21454.52065","13887.9354","13897.64483","11744.3275","19026.32542","30468.61688","17181.11948","30880.2763","30037.81255","44441.82143","30082.89542","24331.72032"
"M331.0282T52.1","331.028192","52.086","150.4698886","234.8338602","212.584913","189.1620343","233.8833377","175.0245009","248.5946275","670.2337305","623.604851","1002.877243","586.3665367","478.6933943","688.6526609","615.0487446","611.1414559","407.7342805","567.1777735","868.1944151","623.4403513","803.2018239","532.3542666"
"M990.0478T53.1","990.0478253","53.10100002","1037.95673","1463.579199","1012.985048","1467.163286","1245.725192","849.221183","1158.99886","4706.634757","5638.096566","4011.339037","2320.859807","2213.751592","2081.309797","4660.582275","6350.071243","4381.242793","5670.139085","9082.971993","8974.591259","7259.122576","8046.524872"
"M606.0743T45","606.0743103","44.985","182539.9212","285169.7277","242575.4543","570667.5032","258388.7179","280753.9924","483797.5507","2504891.68","2420990.998","1948317.385","1072609.061","1156357.665","800733.1661","1730190.127","2678895.645","1748641.662","2704565.467","2803971.737","5438434.093","2374725.819","2756564.605"
"M608.2525T483.8","608.2524597","483.78199998","321.4750618","460.4797586","263.9561455","541.7966856","333.5603011","260.9900674","400.0049653","977.8324578","1298.178721","970.119328","1018.633679","907.0279573","722.5716211","1315.259514","880.3090084","1052.84049","974.6934645","1235.139995","1300.631812","1134.995352","1023.358974"
"M568.2611T302.2","568.2610513","302.17399998","2217.209466","2971.76486","2448.700402","1348.829296","2185.850761","1350.450644","2181.186604","483.6674538","375.2147833","522.232585","349.8503882","526.5765355","532.3134669","491.2843217","708.6943884","595.1230587","409.2525114","396.7531087","240.2102652","649.1787039","347.3212518"
"M935.1387T73.6","935.1387199","73.56100002","1066.640793","1481.128041","1214.900528","1706.506562","1299.821335","1427.442731","1875.911749","5286.651299","4996.414495","4922.376846","3184.299954","3527.577236","3127.609499","3849.888402","5934.000784","3177.658687","6524.706518","5756.622172","7616.633841","4729.524302","4319.958868"
"M385.1122T39.9","385.1122039","39.91300002","43.91713283","45.35641089","35.5892123","79.49258414","32.15925775","43.19745691","49.05233858","309.1661458","295.8132771","212.7050509","476.3925828","136.1366186","226.8777901","358.477013","490.2687661","213.8119347","699.2095574","747.147747","1823.541378","614.2149529","521.2781932"
"M796.0721T76.6","796.0721254","76.60399998","512.8440275","712.2350266","738.8478391","886.1067944","524.9261529","709.2729296","980.2898147","2619.896033","1637.399385","1240.78708","1486.930249","1449.189327","1309.342678","1476.073906","2659.73614","1873.401353","2274.54635","3205.993745","3714.618944","2927.616583","2780.339764"
"M991.1004T65.4","991.10045","65.44600002","279.9235215","342.2545426","426.6050941","1099.170786","286.3628193","373.6205405","421.5217232","3423.941588","2640.742146","2368.308769","1459.738925","1488.364346","1042.383178","2624.179758","3334.166274","2179.884837","3641.597942","4052.1075","4284.82117","4150.77327","2932.688547"
"M953.1346T68.5","953.1346499","68.48899998","502.5512565","563.4162758","523.7303149","880.2935849","476.8170988","542.7210578","672.7140827","2002.587676","2262.541802","2176.809581","1395.822222","1051.362852","943.3732989","2022.174764","2508.832248","1798.722154","3048.80367","3360.936346","3992.295073","2753.049368","2745.962379"
"M376.0646T166.4","376.0646178","166.39900002","31.980251","32.28298537","34.41557577","124.3974612","25.87736887","38.04521085","50.64237332","487.1061668","456.0404762","420.9646711","303.9131826","146.7816397","231.6798767","475.5327037","300.9365692","344.2406813","384.4294009","770.8876174","1131.487342","698.7979132","626.9991266"
"M628.0557T80.7","628.0557247","80.66200002","12987.81246","16503.48042","15692.42307","24690.09995","14743.1377","16448.08355","23117.06047","66389.93398","65651.52535","58309.81396","35258.03215","38455.08179","32672.54068","46757.05862","85265.37186","47757.51748","84941.05931","79137.99063","119758.7693","76521.23554","66579.81415"
"M658.9853T78.6","658.9853131","78.633","4217.482128","5052.405628","5261.3544","7522.991651","4375.839062","5311.307295","7591.799092","17900.70746","18041.08287","16990.38576","9505.5045","12085.50813","9650.365394","13428.66759","25665.52068","14199.29617","25916.46165","22899.29412","29899.11725","23363.8226","18010.84247"
