"","mz","rt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group","mz","rt","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Breast cancer patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient","Disease Status:Control patient"
"M280.2406T1760.9","280.2406","1760.94552","1872793","1655822","2188857","2239004","1723059","1567221","2167846","2027107","2105814","2089432","2594341","2441258","1210217","1823410","1863137","2150642","1200288","1819290","1103296","1394782","2525521","2167943","2792404","2104863","2485628","1688153","1425153","1913987","1451957","1575417","1525891","1972135","1793578","1706888","1647783","1352606","1005368","1359612","1433590","1801342","859856","1288062","693378","1163669","920901","1328162","1127385","807927","1879909","935286","941435","1251759","1847250","838373","411947","1041481","1726957","1148612"
"M328.2401T1709.5","328.2401","1709.45196","239276","75969","140319","108676","58784","82058","84546","85697","71073","99595","99563","106058","97275","97356","215611","86281","92156","65078","70233","90462","89156","106191","95939","77116","102836","128029","70600","75115","68066","82038","79507","84675","71056","69908","78951","44225","25342","45593","64809","46145","58294","34116","73361","63669","158557","91710","60879","57264","66468","26343","82801","48194","55848","70771","63585","71421","89140","79910"
"M468.3814T1895.4","468.3814","1895.4078","251328","110939","241248","171425","224905","174431","175938","165544","415580","248777.8667","300084","253250","172518","334470","188815","118134","240044","142623","256596","161340","277191","223690","393068","186715","192063","194509","265962","288397","279058","247549","306009","432574","398470","395428","266756","322984","252092","522055","346795","231280","452542","304671","175993","186997","185057","372472","288497","471944","317200","620812","341566","355440","599506","363512","276057","249046","469792","272881"
"M264.2458T1917.4","264.2458","1917.35802","1603424","978976","2225828","1383109","885162","1046693","1904776","1126325","958775","2043864","1692991","2534080","1134918","1155045","1549646","1203913","1016830","1029720","1048008","705465","1576596","1152020","1522967","1601154","1343584","1645179","1570821","1277418","1337226","1684814","1077095","1065778","939141","716057","1504531","908030","624485","903422","1272969","1175154","810338","805044","718919","1015496.108","816268","1060872","1168441","677183","812413","849151","1043817","662795","1001704","684404","494726","756071","1552840","1324012"
"M772.5417T1913.6","772.5417","1913.59476","264070","231205","232585","264634","356437","186590","319920","285291","243542","238777","226291","176148","279091","287470","277242","205359","233370","369853","249135","302714","157413","253860","283200","239587","273449","229017","237901","143054","155476","205317","368577","236133","310982","305618","280582","350838","355474","297650","250775","391007","399682","300005","339539","290813","267472","321719","211020","308086","247447","382598","286447","421702","325213","450869","346842","390340","307383","156466"
"M336.1598T1760.9","336.1598","1760.9094","450410","376576","566079","473312","401357","313210","480348","430958","402861","445907","482766","685708","411439","538070","590500","433989","375768","394204","375756","333989","474897","501096","571267","585082","477899","523857","534128","375098","317366","447854","483813","407172","410257","406115","466474","339509","269430","333795","492763","399739","370886","361304","279322","294786","335900","424388","375690","342997","430057","387180","342824","380002","385221","324434","229804","315645","531500","402582"
"M379.2022T1919.3","379.2022","1919.33508","187249","138396","278073","186888","89975","138386","167218","149887","122553","242431","198929","160998.9","172073","136993","134117","142640","150108","138915","155119","106484","177224","126196","187359","201122","158129","216911","183413","156012","174530","159127","128862","129256.6563","113315","112138","155150","100135","129256.6563","135311","166617","166934","110451","134296","122650","94583","90509","149170","109819","129256.6563","129256.6563","121741","143423","72373","147119","80864","78164","111092","187155","188232"
"M304.2408T1738.5","304.2408","1738.54434","616268","245282","441758","199525","289822","204426","289793","156720","216802","231858","287541","236666","336390","374406","414594","212622","285737","193586","154007","273558","196838","249160","234738","264386","308837","334392","201725","208313","162044","290200","221011","196875","202352","246374","209943","162854","85559","134261","256637","142229","168631","171752","212902","127096","193472.4722","214996","185899","176538","215205","92710","193472.4722","148025","162306","227201","168865","164961","349848","183367"
"M282.2568T1917.3","282.2568","1917.2712","3465013","2179477","4651340","2906401","1720643","2194757","3871481","2137268","1989606","3261844","3229563","5139347","2321387","2339956","3027503","2546170","2113351","2034854","2045879","1366548","3060012","2359634","2982258","3275903","2754732","3169974","3044041","2672673","2549961","3221195","2308730","2361221","2007864","1500018","2997441","1829513","1265796","1887623","2589771","2361257","1688766","1524070","1517198","1977825","1469734","2381684","2344186","1299790","1683728","1609781","2104787","1276452","2141873","1392244","971546","1580138","3155652","2619712"
