"","mz","rt","","","","","","","",""
"group","mz","rt","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:Yes","Cell line:T24S | Treatment:Yes","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:Yes","Cell line:T24R | Treatment:Yes"
"M668.63T675.6","668.63","675.6","12456.7","10896","4714.7","4807.5","12529.6","13785.7","6346.6","4448.8"
"M719.57T618","719.57","618","8241.7","7522.2","2781.8","3885.5","22195.3","20756.7","13477","12263.7"
"M658.61T501.6","658.61","501.6","3485.8","1881.1","3276.2","3499","2257.8","4007.1","6690.6","3143.4"
"M622.61T481.2","622.61","481.2","27835.7","34375.1","39987.2","44931.1","31975.2","28494.9","30747.7","34702.4"
"M650.64T520.2","650.64","520.2","92125.7","96336.5","127308.3","134862.3","88246.6","99307.1","114948.8","117676.3"
"M648.63T480","648.63","480","39231.7","35697.4","55314.7","59115.8","58277.3","59367.7","69657.8","65606.1"
"M369.35T308.4","369.35","308.4","131669.8","158369","151840.4","165817.5","178052.3","228704.6","179766.2","190634"
"M589.48T392.4","589.48","392.4","8731.9","8894.2","7587.8","5105.2","10295.6","11033.4","8877.4","6767.9"
"M612.56T434.4","612.56","434.4","29418.1","29223.7","20907.4","20862.7","30463.6","30145.6","23666.4","26027.4"
"M665.5T394.8","665.5","394.8","11608.8","12311.2","11287.4","10987.9","13062","13325.4","11774.3","13223.6"
"M862.62T304.2","862.62","304.2","56453.1","61700.4","51145","57463","59529.8","62794.9","55330.6","63146.2"
"M784.66T441","784.66","441","29971.2","24139.1","31621.4","30091.1","20831.2","23892.5","19155.3","19748.4"
"M812.7T481.2","812.7","481.2","83371.1","84405","80616.7","79189.9","61559.4","68931.4","55298.7","56862"
"M810.67T439.2","810.67","439.2","31626.8","31521.1","30693.5","32035","33225.3","35871","28111.3","28402.9"
"M496.34T97.8","496.34","97.8","10499.2","8788.5","14014.6","16095.2","12589","13362.2","13946.3","13968.5"
"M522.36T107.4","522.36","107.4","2278.5","3404.1","2686.6","3143.5","3315.4","1899.2","3169.6","1592.2"
"M678.51T270","678.51","270","139253.7","152152","146941.3","151815","203106.7","239609.2","225133.4","215527.4"
"M706.54T307.8","706.54","307.8","3906798","4080331.6","4148502.5","4199826.6","4657700.8","5113691.6","4925113.5","4876353.1"
"M704.52T278.4","704.52","278.4","224219.5","241141","243702","244378.7","266836","300106","298896.9","291636.1"
