"","mz","rt","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","af21","af22","af23","af24","af25","af26","af27","af28","af29","af30","af31","af32","af33","af34","af35","af36","af37","af38","af39","af40","af41","af42","af43","af44","af45","af46","af47","af48","af49","af50","FA2","FA3","FA4","FA6","FA7","FA9","FA12","FA13","FC2","FC9","FC10","FC12","FC13","FC14","FC16","FC17","FC29"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M466.3105T875.6","466.31054","875.64","1073.082862","2488.877977","2358.254269","660.1312094","33141.86868","3264.237159","1421.887249","2427.687678","1176.670861","1796.131656","1283.041471","977.2847105","936.3837055","677.1776515","2129.006716","12194.89535","1954.575695","67566.81078","17432.26529","1638.515286","49144.90826","41165.34816","124450.7159","675882.785","28246.05524","52117.96644","1636.013841","72589.96633","53529.91756","307884.0973","207804.6359","132942.5033","96665.7038","51454.4558","256768.4246","1836.24856","17198.4259","1314.839941","672.6955015","678.7310256","2770402.829","1169982.511","7197088.508","16193051.65","8818582.108","557786.3796","17312028.58","8172268.866","113378.7432","11936.92707","9503.370843","316997.6922","2551981.269","1547703.9","27417.39558","1950246.365","104685.2626","935006.0563","22735641.5"
"M466.3111T819.1","466.31114","819.06","487.5371216","310.0494683","841.1694971","472.9982771","308.4323504","1223.794127","312.8041735","315.2296241","413.9389774","313.4368488","473.5284532","704.1848218","404.7163033","311.1278731","319.8230584","307.9755669","311.6063162","314.2081866","852.119884","319.0351092","316.3000775","462.1478723","513.7719796","318.0199112","310.6650039","319.7888364","309.8319443","1151.807987","602.441334","2918.225219","477.9227438","526.5255185","1148.144106","114882.7782","318.0428221","306.2084133","668.7930493","311.891765","314.4873108","434.3050341","1727.165685","777.2444409","1034.751943","517.5500168","3705.552745","12771007.74","3700.361219","1542330.103","1566023.491","21245.34683","6110068.513","2150.190871","20865769.89","11899095.01","40416.58163","19622161.6","1794682.993","18845316.2","331.8999946"
"M466.3109T993.8","466.31085","993.84","279374.8786","3808031.707","894223.4611","13568.99304","261442.4208","536537.9337","24052.67196","1206568.24","59082.30118","5244713.555","3877625.573","143135.4769","4121396.138","17025.70809","9612673.464","19741585.52","2460920.859","8230577.98","6838709.97","3127862.269","4555665.937","5835644.603","6538616.798","209289.176","10450901.8","3293372.565","1844143.675","227198.3977","70789.14565","266778.7337","23821.00082","2444224.746","434169.0504","257428.9227","1354959.129","256428.5332","60796.54843","115733.3996","123112.3832","7484.359911","101279.8991","21033.01866","3235.46917","8207.731662","5342.299464","12445.95009","12862.04793","14823.31174","8425.303589","4865.31976","5857.454607","2656.633554","5077.946535","3400.270009","1343.848401","4834.392223","2497.975432","5879.21539","15002.48941"
"M466.3103T889","466.31029","888.96","366.8656774","489.5139464","1076.307719","371.5112644","45227.43027","2556.418795","368.9886873","1416.351946","796.6917026","1082.724632","659.4055757","565.8185638","832.2425551","406.4068939","537.3724356","30229.10745","653.3495401","214861.4885","284968.4825","4007.317494","7597.100249","24023.52934","59886.44435","1003608.426","51161.27244","127751.7287","584.8559525","2810881.505","1769429.354","1395603.203","178125.7917","287300.0337","469238.6221","2114616.063","1129077.97","10897.61025","80041.18834","378.5344215","26891.57155","126417.3976","678577.2388","1169982.511","164261.6768","2477228.609","2296002.395","1844572.03","2405848.829","2490382.313","1252725.072","9162.278408","18873.85514","19175.30009","171084.1492","83314.60697","54683.31075","100125.9602","9805.685566","70811.52887","17472626.02"
"M466.3107T938.8","466.31073","938.82","2640.549286","161553.6206","7406.788005","2057.805582","21707.48826","5907.018253","1468.861083","284647.7171","1854.329295","7098.748357","25326.51466","2107.037979","149399.5512","1112.560469","3684504.283","2434995.571","37823.70911","15017436.5","5671521.803","551398.4339","1639557.087","2699998.997","34779.76545","5409677.887","5296503.08","19000.55607","47853.81293","5143897.164","2702136.077","3660127.962","3329843.582","3330663.699","58191.86516","665301.8936","3025028.398","1644282.893","28266.52583","33883.02761","73437.15278","3388994.037","5891648.366","8579048.927","25327.32078","18070.43279","2819.68985","16216.88981","14435.03627","97653.88207","31678.04311","26320.5569","25453.20345","12240.86444","1115.864775","11141.86533","8432.944134","18212.66409","7858.666221","3695.533428","1027698.505"
"M466.3102T922.7","466.31019","922.74","756.2755189","20384.29984","2268.315154","560.3377513","255518.247","2974.59399","913.4589833","11689.46534","34985.68152","31509.04376","16388.67317","873.7934999","107263.1418","562.3780158","755910.9255","555445.9125","1364.952226","223008.9235","4125997.269","50367.76403","27657.92018","11196.86466","2500458.127","1260426.349","4080603.26","15527.8754","1570.41069","3618149.891","2702136.077","2602119.21","1859243.015","317189.7259","3692833.426","3061496.169","3333347.638","1262057.284","113980.6953","776079.8616","259921.587","1775308.049","4554955.026","987501.2954","3942.535903","51189.67698","6651.389545","368372.5439","13987.89514","183681.3886","23168.95215","25580.21921","37714.49818","14851.7687","23644.66063","9994.62372","7579.299279","14611.53132","11161.89371","14161.20267","2903521.868"
"M466.3106T962.3","466.3106","962.34","14224.25728","1230852.977","58459.91995","1515.799312","5323918.714","84303.39678","4804.130103","15902.56308","755246.1779","2320884.517","271279.7826","18544.3578","2237116.358","1132.428756","11583417.08","4508613.613","619180.5996","243046.3194","4479764.909","525545.0115","28854.8974","137090.074","3647235.393","3527219.688","65006.96976","3660391.947","830352.797","8106754.713","6018961.328","4193388.916","4020144.341","169082.1634","1658462.557","11727579.88","6205401.318","2994249.787","1890507.517","1727748.152","1404189.868","4691035.019","1502366.031","213120.2747","12749.57768","17512.92959","15900.66918","27077.4137","9090.518007","2025.188834","17819.90144","15560.94023","15997.57805","5951.143698","6830.607786","7968.173301","4420.619218","14475.59584","6375.761163","9831.762855","2062.022959"
"M456.2527T359.2","456.25267","359.16","459.0098817","13167.02735","241.0250616","238.2539862","266.9523488","176.7071846","177.8609338","178.2256652","181.8696","823.225309","3070.088527","184.9841638","587.968069","175.004622","179.3708025","172.8512497","175.9826055","878.2496932","328.7795543","509.1250806","176.5678323","678.2570391","1121.616895","181.4965617","211.5121847","182.0586783","175.6094857","171.5261683","232.2997424","311.9243089","360.285318","440.1240752","371.1003166","305.646989","196.6516603","258.0175929","1244.56039","402.6445914","11079.6811","316.7276134","357.7281084","650.9412448","4238.460952","35907.77491","287077.1762","11322.43688","675559.7251","11259.41645","20367.04623","1669.370371","862.9981931","2814.666664","1785.331533","8730955.57","674.599555","7586.45602","9141.161338","4576.234923","2529.493215"
"M472.2479T317.8","472.24794","317.76","37740.62092","68953.21983","639457.0466","333765.3374","312161.6219","9124.033667","175430.1223","10813.69847","14462.0991","336410.6475","302749.6689","345596.5662","311442.8326","134596.1668","1624538.232","25468.45489","783449.6896","80450.36636","24329.82169","12662.14787","8319.56422","26103.29987","1388797.052","24238.44192","491278.769","9615.742771","216712.0172","14362.23782","567544.709","68224.48244","1353565.194","1237809.453","98048.11067","1875.427368","98354.02052","160873.768","7912.309515","978059.0404","229115.6152","981047.6127","15289.44282","18642.98866","6203923.703","398395.539","5130.492486","150366.3792","390460.9024","13692.3949","215332.9446","1452.097571","2265014.283","217360.0514","86535.33636","8287606.172","19757.73568","334474.9639","655712.6223","1933.863162","2231.024279"
