"","mz","rt","afb.13","afb.14","afb.15","afb.16","afb.17","afb.18","afb.19","afb.20","afb.21","afb.22","afb.23","afb.24","afb.26","afb.27","afb.28","afb.29","afb.30","afb.31","afb.32","afb.33","afb.34","afb.35","afb.36","afb.37","afb.38","afb.39","afb.40","afb.41","afb.42","A5","A6","A9","A10","A13","A18","A19","A20","A22","A23","A30","A31","A33","A34","A47","A49","A50","A54","B4","B8","B9","B11","B13","B14","B17","B21","B23","B24","B30","B37","B40","B49","B55","B57","B60","B63"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M292.0907T61.3","292.09071","61.32","1627235.361","1578564.918","1371156.889","1505428.347","1214620.068","1483983.383","1638242.338","1247620.113","905528.4571","1097560.344","1635849.227","1972048.029","1037182.115","1179926.956","1209597.393","195869.9519","1418519.904","2393006.88","1564126.089","1351056.192","1999319.192","1388855.211","1281598.32","1403678.648","1871626.155","1073687.921","1567774.173","1785233.277","1302489.355","1121432.537","1046394.064","601159.6429","1015785.678","742484.8049","1163111.186","683873.2116","998327.4889","507686.2369","1127416.38","1018705.21","1212226.129","800435.6268","1317005.829","726485.1156","616381.2969","767768","446152.7298","764586.3998","1082487.178","1286740.195","1373130.845","965868.7476","960879.6819","947677.647","1102534.673","846848.5976","1197804.251","1152045.389","980662.3162","1222371.574","1284906.02","871670.7558","1383756.106","892144.0162","1030709.251"
"M481.3165T698.4","481.3165","698.4","991.8895611","515.9009647","1065.377197","573.2387406","504.7876675","625.7861619","648.7118851","424.3792235","419.4922177","684.0049501","646.5118966","527.6832852","537.8912688","416.8709637","591.2575067","504.348937","550.0792029","418.5001192","727.5147666","718.699066","631.775508","570.74658","556.5376639","461.4177358","674.4481223","604.4735306","635.8379559","418.8173319","474.9805327","1882200.439","2087277.421","706908.1071","1665430.631","1872287.727","1938761.217","1725931.658","1803462.012","1320014.327","2063437.003","2046363.212","1903026.462","1984411.574","1807352.02","1724004.951","1774459.131","1731702.391","1988200.736","2119809.463","2207322.814","2059141.166","2067223.569","2583663.525","2272459.373","1833640.187","1727334.724","1958896.571","1814282.613","1861055.135","2019219.371","2010397.879","1728018.482","2279070.663","1745639.28","2252179.958","1734131.138"
"M541.3376T698","541.33762","697.98","241.4186274","239.2187286","239.8181227","249.2168956","286.4950749","280.8083932","244.1527455","286.3404015","453.8663386","245.1261593","395.1314071","331.0297989","245.0822983","241.4709758","340.6345879","241.6848744","375.0833243","242.4146582","245.1146302","425.9883752","392.3532814","330.0654059","240.8185977","239.3753955","243.7973119","241.1692507","466.4412589","242.5984025","240.4322155","1412380.986","1615271.787","199449.0977","1260721.211","1377916.776","1411234.993","1289707.261","1373128.163","827321.5266","1566362.948","1546279.938","1466289.711","1509888.89","1396495.094","1315263.448","1300036.116","1281155.25","1524522.128","1605917.949","1687003.229","1570877.346","1560302.844","2017424.404","1680823.712","1359800.08","1301619.528","1518391.976","1393028.051","1424681.645","1557861.723","1505043.561","1307817.688","1687462.312","1354789.061","1738564.216","1358752.906"
"M481.3168T520.5","481.31678","520.5","1398854.137","631834.5032","884277.8773","985247.202","970274.8562","846962.998","736322.4368","1094505.919","997515.9612","929643.7099","679754.3493","1085480.321","931246.4325","295544.2324","612118.941","1095835.295","814571.3524","485840.5272","969184.9543","727265.2222","954966.7297","646250.543","391037.9277","860801.0061","726996.8042","970277.8704","927921.3231","482307.2433","1235933.711","552.632293","778.3826501","526.148597","889.4269558","605.3111607","888.354067","692.0136129","1131.755973","630.1316513","929.121439","990.6238622","1201.357558","569.5366753","792.4742002","1093.509019","485.0194299","439.4098047","557.2841211","911.8821957","817.3987955","1296.997726","826.9779677","668.9824727","1361.933283","950.7151598","979.1665439","1017.151051","366.6625026","341.4826502","389.4751364","705.3247252","1101.704424","674.5078533","667.3036592","347.6448536","684.4339321"
"M481.3168T504.7","481.31675","504.72","298951.1196","110517.9355","319030.2903","115321.3586","278527.1856","221970.2395","109751.754","246231.3418","247521.1837","175583.702","223500.1883","287002.1829","156892.5085","47001.62729","155847.6507","285915.9843","149706.527","7882.029239","161206.854","34193.77421","48433.06975","208920.1881","73497.57455","176725.7727","223351.8799","243195.0569","220368.8705","70534.5329","131536.6049","645.8123922","582.4364618","339.0273277","667.8098889","341.9595734","507.6786366","552.0744639","702.215061","504.2890127","626.1156744","538.0505349","939.7271798","458.1217243","707.8096699","654.9801777","450.759844","454.3680322","471.9337497","571.7909862","631.4340791","748.5510876","619.0717466","581.3016479","673.8727032","664.2862454","349.898947","451.593311","585.6075694","452.9617321","484.468168","474.3778137","342.4485654","415.8955573","471.9177884","427.1033774","489.9482419"
"M509.348T778.9","509.34796","778.86","6518.957284","447.9546302","10300.17113","4562.755563","4576.083191","4276.276821","448.5082034","5065.145893","6206.172009","2137.56641","1001.735701","2303.302176","1859.037603","446.0070713","447.0316654","3778.489921","1191.58895","560.1009149","923.2876495","454.1581982","445.3305872","1503.793441","569.7289348","464.8307755","1699.748232","4099.422139","1163.937197","565.5537558","1328.362256","614699.6267","951947.5462","317287.8984","663446.1066","689366.9949","711968.6133","788100.5845","595719.5965","718596.2274","824787.3169","845056.2396","825666.5924","791312.2638","600611.5212","673136.7315","934789.2305","668674.0415","691986.8654","648070.4657","871824.7032","996770.4905","924502.1049","1301477.204","1036766.807","661208.3396","688294.6474","978340.2062","643295.5086","695469.9404","769720.8568","1137995.289","508272.0446","1061625.617","658299.867","1018617.805","529644.089"
"M505.3165T671.3","505.31652","671.28","330.2777461","285.5271361","367.9210647","326.0558966","335.3047945","376.8552873","340.5868503","283.3030863","327.0554039","344.3852428","284.3309468","329.2899265","290.6948701","283.3969409","284.2822848","284.6125865","282.002059","284.4084882","284.2267613","287.6928004","289.1981591","284.5924609","286.3584567","281.8823557","284.6059297","291.3784317","289.0492955","287.3986823","288.0979837","826255.0317","746949.4077","294913.9629","876418.174","930256.3243","860031.5127","1153414.023","877847.3417","878939.3666","885631.2348","824469.2857","1120489.808","1001345.629","925263.5521","916972.2131","861298.6511","857961.6404","857391.1965","809127.1766","879505.0518","852414.2082","899333.4105","1284863.322","1094444.807","964141.3851","807428.9162","987348.9424","926889.7073","1135571.102","899604.0426","958555.5609","836035.3921","1268142.649","746942.2318","712916.9857","624498.3026"
"M481.3166T513.7","481.3166","513.72","1089900.936","588555.3593","820660.0712","985247.202","970274.8562","723633.0299","736322.4368","849344.0061","997515.9612","929643.7099","679754.3493","1085480.321","831623.7437","295544.2324","612118.941","1095835.295","814571.3524","485840.5272","969184.9543","727265.2222","954966.7297","646250.543","359609.7836","860801.0061","966238.7921","970277.8704","927921.3231","482307.2433","1235933.711","581.000539","758.5345474","363.5534614","650.5290189","501.8207225","573.1919883","489.0388504","792.8190847","522.6171434","796.5743964","866.66612","997.0126325","555.0015453","778.262184","672.9320695","453.9044429","361.4981559","477.0965035","574.8596606","647.5540458","631.1010849","586.1682781","573.5321584","1026.398115","745.0494661","729.0309852","1050.3257","481.1835121","692.5148275","803.8199866","997.4627677","891.4744734","669.9024039","560.2678088","482.2215602","545.4039032"
"M569.369T778.6","569.36896","778.62","4957.180865","271.0600768","8611.834771","3498.524951","4918.997616","3701.150723","2305.054133","4020.458157","4636.714687","2178.260665","272.998362","2571.945405","1865.088097","270.7953422","270.5015852","3120.559639","1352.767294","268.1277724","269.2259444","274.8138936","1592.844638","1456.736045","270.2035884","271.1314698","1682.202102","3539.667652","272.559736","332.805255","272.6884167","509798.2058","797559.732","280144.0571","561819.4925","577600.4951","596735.3642","665032.9399","512110.7476","607013.2157","697992.5796","711531.7945","692473.2536","650892.3133","502339.3925","560143.2406","787992.8914","557704.5949","571348.3072","531722.9433","714367.6147","843443.8096","781047.7795","1078491.888","860389.5141","560714.8809","588336.8809","839601.4088","549565.9652","587847.7383","659587.6108","952619.3918","409022.7662","889168.1707","565218.3942","862405.4035","423213.6157"
"M565.3376T661.1","565.33764","661.08","133.4757369","113.4570611","113.4007902","114.3089821","188.2073968","147.7326594","111.6760223","134.0192493","151.9858673","112.0656515","113.4632891","113.0763268","156.0337511","112.0093819","111.0006768","153.8102385","113.7143302","112.2060012","132.9298917","114.5248415","152.1138834","112.3888399","112.7408981","124.7138203","112.9816589","164.279585","111.4489928","113.3629302","112.0294058","169226.2585","605240.9271","48899.53614","167368.1965","123995.3285","671806.5652","201631.2658","683838.7052","690866.2423","157938.7489","120340.7892","223901.1189","788829.7109","712884.5391","167569.8361","683514.0554","117186.6569","137701.4695","120289.3454","711824.3763","676684.2033","159020.2613","1041689.71","899388.0066","180766.4067","659379.9148","183433.2532","202574.3262","185668.8905","128972.3071","746471.3539","108018.9219","191013.7926","150515.8215","562330.5075","485462.7049"
"M541.3377T505","541.33769","505.02","187679.5006","89002.05878","206183.9452","75886.77469","192091.0499","144524.6704","68964.22421","153819.0542","149952.9515","109470.2197","117563.4125","181632.0172","151106.8246","33681.21458","94010.70671","207104.554","532284.1804","4606.550245","5960.346284","29975.36828","10811.71975","104154.6985","41972.24572","120459.0529","151582.3073","757122.2137","146252.6362","41430.99538","190578.8946","444.2604773","331.8803415","169.5810201","397.2748222","171.0477255","318.359865","359.7170237","495.8231318","317.112304","426.6995608","347.8962283","594.6379481","275.640609","453.8385314","419.9963169","269.7205537","270.6823937","288.9148309","350.868782","351.1346977","537.3772047","421.347517","383.5135974","467.7123033","460.2984325","168.8934677","269.1816016","388.6405181","268.7444435","297.9309996","291.9564293","171.2923187","237.2741373","290.2730652","247.5963603","303.7789256"
