"","mz","rt","afb.13","afb.14","afb.15","afb.16","afb.17","afb.18","afb.19","afb.20","afb.21","afb.22","afb.23","afb.24","afb.26","afb.27","afb.28","afb.29","afb.30","afb.31","afb.32","afb.33","afb.34","afb.35","afb.36","afb.37","afb.38","afb.39","afb.40","afb.41","afb.42","A5","A6","A9","A10","A13","A18","A19","A20","A22","A23","A30","A31","A33","A34","A47","A49","A50","A54","B4","B8","B9","B11","B13","B14","B17","B21","B23","B24","B30","B37","B40","B49","B55","B57","B60","B63"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M292.0902T67.2","292.09018","67.2","10415464.8","9550351.606","8963418.399","9510907.061","8888575.01","9485933.198","8818644.956","9138102.585","8940154.081","9032530.046","11198318.44","9223557.597","8682516.121","11830887.77","11276491.09","10002095.86","10170948.27","9942989.06","9624173.103","13410791.52","11706681.32","9747315.242","12104872.83","10443098.22","10420860.86","10395768.34","9741516.194","12902878.79","6708811.363","1041829.616","4216797.023","4037805.609","202967.4221","4710358.278","4950625.364","4131209.483","4270649.123","4830348.755","3558563.395","4080819.086","4595637.025","1690341.078","1505033.88","4590428.353","1815617.189","890764.4189","4126083.159","4622356.221","1220536.826","738608.5848","2358783.077","4760405.269","4966046.051","4674721.969","4580584.168","283864.0673","1135678.925","4479017.157","323750.7534","1631434.61","498174.6572","4577087.154","315794.9471","4341847.769","4567509.609"
"M495.3298T510.4","495.32982","510.36","9220440.856","4516191.583","8818626.087","5729369.563","4550036.249","6545774.935","3596651.141","8335778.287","9909539.767","5330125.204","3668872.295","8829460.43","7166378.824","2444765.59","4359383.666","9700877.717","6100529.368","3076296.575","7097030.869","4179049.763","5132675.673","5560248.027","1844845.334","4557288.602","3624936.504","11146980.1","5580759.49","2902134.11","8619461.15","1064.767375","1162.487054","1271.119273","1057.238216","1054.239528","1149.194739","1048.540069","1062.609672","1114.642806","1076.450044","1300.303442","1168.512945","1101.797693","1315.914834","1248.493153","1069.196557","1007.348911","1376.741257","1139.863367","1088.954721","1116.958608","1053.115064","1018.769428","1279.149353","1289.422962","1158.189508","1107.036945","936.9138111","953.1398046","1039.245013","952.6560728","1097.006472","960.3792578","1030.534956","1043.78475","976.5668341"
"M495.3296T521.4","495.32964","521.4","9132209.306","4473040.751","1549384.634","5673796.303","4446113.34","6469329.825","3558157.809","8264621.55","1960350.355","5262530.787","2621121.409","8694558.975","7072868.961","2399245.991","4332273.406","9568801.388","6044808.578","3038001.646","7031504.187","4065285.139","5068052.423","5489677.191","1819448.922","4494413.113","3584950.448","11024274.94","5501628.118","2876851.126","8487301.759","505.6994943","486.5060794","1014.76958","603.5805756","346.2831303","496.118398","367.150816","499.6400486","404.0215972","491.4744631","410.5394749","605.9290162","415.4621873","528.9719634","520.5112315","539.075755","518.2941972","720.7505069","488.1611632","458.6822813","553.7849841","399.2668435","429.0826026","819.562497","702.2159931","516.9757885","437.4024806","374.3691993","462.6287165","535.2844713","328.2422185","559.4434408","454.8860485","437.1777611","321.599169","334.4117031"
"M870.5607T907.6","870.56066","907.62","1739.574744","1653.233283","1615.383323","1609.392646","1604.622764","1620.957602","1615.36553","1633.27833","1629.105844","1631.140006","1609.079979","1601.663995","1621.744417","1721.090362","1589.662644","1610.348007","1619.77603","1596.832793","1636.419798","1612.012914","1618.282353","1609.510259","1626.459797","1604.434426","1610.395945","1621.293866","1611.139058","1608.641771","1612.941024","884.7257022","911.0684231","907.9718663","994.8203899","903.8499696","885.1837074","891.0189068","935.2929386","916.9600628","905.8617213","915.618323","902.7239104","899.1803904","892.1002523","902.5744743","882.585055","885.7165981","899.049866","887.1801008","897.425722","985.9696853","934.6457669","890.1464007","941.4163812","889.8408762","1027.165409","949.723394","936.246838","975.1068993","895.4403098","883.1115222","892.2574446","931.3354785","934.3090444","881.4009764","892.6671049"
"M292.0887T67.1","292.08873","67.14","545074.741","464289.4018","371864.5819","406630.7628","532910.9922","41913.38489","328926.7448","4840.082069","5222.304044","375676.3443","347901.6502","548926.7578","429357.5599","7610850.715","7988738.379","5956596.784","5363796.669","9935828.969","5641567.532","9021369.306","7271194.067","5836073.7","8890502.065","6753407.548","465822.2546","472812.5224","370066.5618","9378609.801","364083.5528","4392921.523","3373445.535","3161973.515","3256185.018","3817247.91","4054323.643","3407603.308","3453701.106","3886965.004","3282299.362","3095486.818","3701346.321","4172060.019","4001914.451","3736345.674","4646208.796","3166341.011","3316544.276","3904563.256","4319514.525","4013984.126","4271247.111","3942947.306","4098169.163","3853379.985","3687422.695","3884951.258","3875727.53","3629464.639","3385088.799","4262282.267","4430331.274","3805212.726","4613420.155","3442928.324","3757029.152"
"M292.0886T59","292.08855","58.98","97.8787572","95.09741313","98.41030494","94.66788429","96.73403624","95.49659146","97.90305021","98.53068958","582.9460016","97.23850812","94.42509936","191.5005829","95.25769926","859262.9583","137749.8323","654841.34","143129.8299","9859849.681","120167.1327","1403233.159","1160169.664","114885.2178","8883489.804","602048.467","18609.08346","96.88776122","409.7470856","56054.02245","158.1006636","410906.7818","355645.9846","611808.3916","593900.5422","32097.46915","78128.31375","347104.0814","107434.7128","58336.19251","661988.8113","177615.5618","140342.475","142497.517","287497.1","51071.83618","51422.64259","356.2358541","9311.778999","344894.0125","100931.6037","826943.3809","232167.3437","378537.1719","6027.65277","2777.373585","338889.1354","101300.8076","299383.3216","323138.7785","17703.01174","444547.8257","322949.5961","14427.88676","34626.15599","23430.76695","118304.7895"
"M292.0908T71.6","292.09082","71.58","5209706.561","5225475.536","3917776.667","5008654.443","4067564.011","5518659.358","5127737.154","5028263.482","4403052.433","4417647.217","7469305.411","4591842.361","4332728.546","7610231.12","7737435.373","4861866.311","4999365.764","9859849.681","5182692.632","8460461.767","5477139.652","5449674.916","8883489.804","6372889.242","6584964.833","5160516.195","5400776.093","8942933.015","3842183.289","19576.38246","241787.1677","18599.8232","365.4057217","85478.34538","362868.6322","2682.820668","188757.0665","196492.005","1216.02528","441188.9085","1085003.946","25232.94692","27960.1919","24623.40868","388036.9251","18923.93678","579426.6041","39106.2189","24774.69982","55076.71009","652103.625","72110.12982","62291.09199","25597.7011","379754.0505","344.5719937","15145.58529","37406.87926","15812.91633","16577.74702","25942.22302","26270.72151","2231.097959","18693.48795","26851.52741"
"M495.3297T515.7","495.32968","515.7","9132209.306","4473040.751","1885606.946","5673796.303","4446113.34","992631.6031","3558157.809","8264621.55","1960350.355","555143.1406","126199.9166","8694558.975","167365.2337","2399245.991","320147.8941","356408.6733","264342.231","3038001.646","7031504.187","4065285.139","5068052.423","5489677.191","31727.78134","479854.4633","283171.4103","60726.87847","499541.2107","2876851.126","8487301.759","193.9996521","221.8197687","574.1041242","292.8753813","243.4116577","276.9158109","217.9834681","397.0123395","270.1302802","248.991494","192.343863","332.9744922","330.9667459","269.2887044","312.769067","295.2569024","196.3992826","474.9732636","252.8327037","273.8759601","417.7214925","259.4687186","298.695354","348.5630003","245.9379182","281.0540768","280.9671271","192.870607","233.8401966","188.6209935","194.1001912","228.8139169","188.0553728","193.9463616","186.7881365","191.9380443"
"M519.3295T471","519.32952","471","5260556.936","993373.2409","7377094.702","3640496.648","7520713.278","6532840.046","2885250.611","5776287.636","8346621.819","4316661.711","3352598.194","8263114.369","7376629.792","1620594.148","2498236.337","5880572.3","6378813.62","1630360.308","7283334.115","2934893.809","5525462.263","4170441.272","1627980.721","3699636.837","2629526.642","7620090.354","4749667.68","2510344.61","5381823.453","780.300105","815.5595398","766.9693914","815.07895","765.5142825","823.0075127","777.6474527","771.2331333","782.271917","802.2378952","783.6802654","811.0331087","812.5821363","774.7119734","796.6455716","801.4197325","796.5847015","774.0462818","754.7634164","813.3991972","823.3603736","799.3808783","768.3064317","822.8426753","783.5094869","789.3214013","786.8402743","783.6684139","800.5594583","792.4972244","809.5099928","800.4456341","791.9774404","803.5949536","819.6699864","779.9104852"
