"","mz","rt","pos-Exp1_K-1-24_1-E,1_01_55180","pos-Exp1_K-25-48_1-E,3_01_55183","pos-Exp1_K-49-72_1-E,5_01_55186","pos-Exp1_K-73-96_1-E,7_01_55189","pos-Exp1_K-97-120_1-F,1_01_55192","pos_Exp2_K01_1-C,1_01_365","pos_Exp2_K02_1-C,5_01_370","pos_Exp2_K03_1-D,1_01_375","pos_Exp2_K04_1-D,5_01_381","pos-Exp1_P-1-24_1-E,2_01_55181","pos-Exp1_P-25-48_1-E,4_01_55184","pos-Exp1_P-49-72_1-E,6_01_55187","pos-Exp1_P-73-96_1-E,8_01_55190","pos-Exp1_P-97-120_1-F,2_01_55193","pos_Exp2_P1_1-C,2_01_366","pos_Exp2_P2_1-C,6_01_371","pos_Exp2_P3_1-D,2_01_376","pos_Exp2_P4_1-D,6_01_382","pos_Exp2_P5_1-E,1_01_387"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M109.0273T82.1","109.0273","82.12176","3431.445","8957.755","5168.25","5584.297","6352.296","9156.898","11672.66","10801.95","12336.73","12418.85","19900.76","15637.76","21769","28861.34","13820.5","19250.37","18005.97","27991.36","20533.11"
"M109.0998T405.9","109.0998","405.93301","190.2513","66.1108","131.1903","179.0266","54.9799","15.3502","0","48.39375","29.69263","21798.4","21665.8","18932.67","13204.66","10527.9","3671.377","3925.418","1037.869","7664.283","2703.971"
"M113.0282T65.5","113.0282","65.50602","9546.287","12908.35","8800.681","10923.45","11900.12","16958.02","8002.696","6939.456","8060.063","14172.85","12456.95","11072.8","8943.218","12073.2","11852.46","9488.377","8385.809","8077.774","8551.213"
"M120.0796T72.7","120.0796","72.6548","53745.42","55763.37","24360.37","37224.55","30665.53","9772.993","6304.231","7817.672","11738.57","15826.27","14580.38","10618.52","10039.01","9204.007","4649.475","3525.119","2966.231","6107.776","3260.291"
"M121.6013T46.2","121.6013","46.23752","21028.18","19697.34","11729.84","18310.04","18717.26","500.2525","579.4026","643.8177","768.3139","10647.3","5074.014","5546.631","4223.861","5886.129","1233.018","924.7381","244.9535","1909.142","1184.039"
"M122.0705T26.7","122.0705","26.65556","183278.5","199058.2","172064.3","191325.4","201474.4","56578.86","37878.49","46928.1","36087.31","77015.85","70304.39","58201.07","63108.86","75193.41","52477.6","42430.86","22270.14","24499.14","31541.38"
"M122.095T60.6","122.095","60.61175","505235.2","114783.7","221377.2","357133.6","169779.2","8710.57","6447.708","14820.67","6574.098","199689.3","178229.8","76140.14","306490.1","82576.2","5961.776","4539.962","3732.57","4552.23","2956.865"
"M122.5366T24","122.5366","24.01614","883.1605","1086.837","1052.331","1424.617","1283.709","428.1397","1485.138","1403.592","1309.564","5283.25","5749.703","5757.598","5154.313","4492.562","679.6538","1793.289","564.5612","2299.548","1641.383"
"M124.0392T38","124.0392","38.04202","1107578","1330373","1166431","1154800","1257601","311602.1","338644.3","345327.5","323211.6","570856.8","416885.7","414464.8","428407.9","430970.3","284930.6","232178.5","234113.3","169903.2","197323.8"
