"","mz","rt","neg-Exp1-Blatt_K-1_1-B,1_01_8102","neg-Exp1-Blatt_K-2_1-B,2_01_8104","neg-Exp1-Blatt_K-3_1-B,3_01_8107","neg-Exp1-Blatt_K-4_1-B,4_01_8109","neg-Exp1-Blatt_K-5_1-B,5_01_8111","neg-Exp2-Blatt_K-1_1-D,1_01_8113","neg-Exp2-Blatt_K-2_1-D,2_01_8115","neg-Exp2-Blatt_K-3_1-D,3_01_8117","neg-Exp1-Blatt_P-1_1-C,1_01_8103","neg-Exp1-Blatt_P-2_1-C,2_01_8105","neg-Exp1-Blatt_P-3_1-C,3_01_8108","neg-Exp1-Blatt_P-4_1-C,4_01_8110","neg-Exp1-Blatt_P-5_1-C,5_01_8112","neg-Exp2-Blatt_P-1_1-E,1_01_8114","neg-Exp2-Blatt_P-2_1-E,2_01_8116","neg-Exp2-Blatt_P-3_1-E,3_01_8118","neg-Exp2-Blatt_P-4_1-E,4_01_8121","neg-Exp2-Blatt_P-5_1-E,5_01_8122"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M111.0094T37.8","111.0094","37.78703","6564.7518","4524.3619","4480.788","3239.3219","2587.1157","7488.293","6342.8859","4738.658","17149.2196","14909.8908","10914.1347","7227.0749","8817.39","11909.3125","13277.4243","14109.1033","10792.4852","12691.7921"
"M114.9895T20.7","114.9895","20.65876","2051.8667","2888.4435","2495.271","3381.8499","3803.2414","3275.712","3513.0173","2574.849","3742.8868","3366.9794","3642.8802","4149.7082","3874.8408","3469.7246","2465.2705","3737.3076","3983.6178","3517.5979"
"M115.0042T285.9","115.0042","285.885","14767.6663","12838.8191","12794.01","12730.0079","12731.8363","11982.81","13623.1496","12199.79","17298.0915","15336.5868","16165.0532","16302.5932","16441.3604","16784.2623","14649.0195","16251.8143","15928.3442","17501.9364"
"M116.0722T377","116.0722","377.04072","8987.3281","8710.6046","9746.648","8742.3216","9259.4057","9399.993","9491.6198","8870.538","8196.7882","9025.2645","9305.2511","10063.044","9631.9814","9827.8176","8982.1294","9547.1045","9927.7263","10300.8843"
"M117.0194T43.4","117.0194","43.39118","3704.5095","1664.7813","1448.557","1703.8469","1295.8621","1601.461","1303.8079","720.6966","6173.7352","5637.518","4350.3353","3693.6491","4933.8998","4806.8595","5056.8941","5866.0089","5374.4334","6963.9872"
"M121.0298T283.9","121.0298","283.90795","11849.8892","12299.3032","8888.297","10389.3166","9347.7376","7537.43","10383.4151","11802.78","11798.8861","10927.3185","7521.9651","9697.2313","10161.3124","8280.6108","11421.0895","10012.0641","11049.2696","11030.0191"
"M127.0016T235.2","127.0016","235.16174","7405.782","7260.2936","5157.363","5712.3658","3551.5339","3599.473","3897.6971","3751.746","6021.1067","6352.3861","4433.1439","6114.476","5632.0898","3287.1621","2580.5125","3681.8936","2753.106","3871.9569"
"M127.0518T23.7","127.0518","23.66779","2815.0735","2714.6863","2996.318","3174.5396","2663.8235","2851.867","2753.4122","3053.913","1582.2332","1335.2059","1085.9718","1272.9571","1238.4085","1723.1997","1326.0039","2382.2035","1588.2192","1842.1277"
"M128.96T22.4","128.96","22.42365","2066.7933","2611.677","2618.333","2866.1561","2143.8819","2628.6","2398.8274","2360.22","5494.1316","5598.3367","4571.0206","5427.4441","5216.5533","5068.0559","5179.2407","5258.0912","4496.2989","5341.2356"
"M130.0875T216.8","130.0875","216.78869","2736.3675","2096.6775","1965.657","2913.4548","1559.0503","1784.089","2728.3635","2445.771","2894.0347","879.6644","1538.3432","1667.2084","1817.466","2167.62","2095.4723","2219.893","1527.1423","2140.2582"
"M131.0473T23.4","131.0473","23.40458","9938.8389","9561.4505","9225.627","9139.849","8064.2231","8460.866","9392.166","8567.627","3667.2216","2321.6783","3633.816","3056.5986","3444.3141","4348.9679","3365.3568","3670.6077","2962.5684","1583.9215"
"M133.0146T287.2","133.0146","287.1994","73799.8757","68359.1227","62573.98","63352.5517","59156.3641","64123.02","56824.398","55088.07","84622.082","70459.3743","82179.4571","78438.929","77083.9353","73648.5767","72012.3781","73193.2831","73482.516","79309.9786"
"M133.0144T31.7","133.0144","31.66208","24497.5023","16908.8297","8833.639","8628.5698","6885.915","12503.14","13643.1674","14826.1","22792.343","24007.2656","28600.7479","15898.9459","22308.1699","17978.9561","27522.4146","24477.3625","21217.8792","27072.7892"
"M133.0147T240.6","133.0147","240.64743","2958.4399","3324.2829","1969.558","1766.777","1471.7171","1837.262","2367.6763","2257.591","5651.6704","5609.3968","2936.6942","2164.179","3277.5288","3761.6394","5428.4188","6057.0532","2461.9033","4592.3117"
"M134.0184T287.2","134.0184","287.18073","1447.9095","2980.5676","1905.411","2081.3602","2535.8649","2431.976","2129.9663","2532.449","3702.0826","2703.5687","2692.3854","3292.0814","2617.955","3757.1348","3286.2841","3110.8157","2353.05","3185.1221"
"M135.9212T24.8","135.9212","24.8007","3362.0135","2336.5185","3029.363","2719.2576","2106.1242","2740.346","3293.4485","3302.479","5862.2672","6104.5882","5950.8825","5165.7558","5710.2041","4893.8749","4698.0665","4658.0052","5733.5492","5834.0607"
"M145.0623T23.6","145.0623","23.63425","23065.4034","18607.4981","19019.06","18660.4647","16778.1443","20290.77","19360.5149","18941.97","10369.6977","7464.1057","6664.9975","7873.4557","7803.8704","11100.6264","11588.5852","12178.086","11378.6906","10603.4627"
"M147.0664T58.4","147.0664","58.43885","6954.1204","6449.0486","5444.011","4516.2846","3491.0935","6892.696","5901.3981","4736.196","7102.4596","6914.4555","7538.2744","4150.8532","6934.4655","5667.3552","6664.0023","5579.3017","6083.4821","5657.2923"
"M149.0245T284.6","149.0245","284.60785","11716.758","9262.2277","7869.232","7532.7505","7894.2691","8388.063","8333.332","5666.498","11229.7997","11697.5216","10690.2193","10369.0977","10610.0753","9853.0012","8921.1954","8480.0889","9206.8731","11158.1281"
"M149.0617T385.2","149.0617","385.18836","1013.688","677.9765","386.5606","524.7528","802.7947","609.6841","1163.7405","560.8269","750.9294","729.8768","548.9694","549.4981","1058.9531","741.0926","636.6992","630.9584","951.4398","1010.8006"
"M158.9792T20.8","158.9792","20.78605","9442.4544","9650.1835","12455.12","12234.9429","12277.1684","10570.78","10811.4493","9407.419","13070.3032","13490.3444","13589.5321","13619.8473","12887.1456","11818.6544","11336.238","10555.8029","11977.6925","12764.2408"
"M159.9805T20.8","159.9805","20.78533","1463.572","1574.186","1655.247","1415.5958","1850.2313","1480","1217.6176","1597.505","1889.4105","2080.5696","2084.3672","2429.5564","2417.8823","1789.0938","1501.9462","1208.1312","1181.2105","1583.3781"
"M162.9403T25.6","162.9403","25.59708","67235.9571","84382.7788","84531.42","88965.1247","81180.5415","76108.92","82457.324","78485.59","78601.7846","76991.7704","79031.6359","92288.132","83374.454","84383.8979","72249.3889","72285.4731","78614.4067","73827.6191"
"M164.048T284.8","164.048","284.77563","30923.8319","26456.5394","24399.77","23247.3776","22671.5745","24510.52","23755.82","21593.83","35138.6026","33924.0231","32561.1695","30209.7074","30106.8926","27621.5968","28808.7462","28433.1524","29723.8234","31306.4654"
"M164.0719T74.2","164.0719","74.24965","6758.8288","5205.2561","5261.981","3771.5949","3985.753","6411.817","5983.1444","5700.982","9437.6658","9646.0732","7749.5951","10232.1551","9534.2767","5167.2085","9351.1564","5266.2508","4773.6168","4162.747"
"M164.9393T25.5","164.9393","25.52169","6535.4554","6435.883","7514.503","7733.7652","7207.0987","6063.665","6051.5867","7417.805","5780.2385","6384.4903","7065.5473","7738.0553","6427.212","7619.808","6141.7077","6390.4569","6715.6751","6683.9396"
"M165.0558T243.5","165.0558","243.45515","4764.3018","3541.652","3223.461","2563.8626","3287.2666","4727.407","6598.9645","3668.236","2683.2032","2822.7147","2582.5486","3911.6463","2985.4218","2191.9907","3237.9093","3533.676","3495.08","4499.8617"
"M167.0212T37.8","167.0212","37.75244","9591.7645","17485.846","17992.25","12950.6958","17430.3681","13338.79","14356.981","16054.75","4370.9905","6143.0732","6531.0711","4865.2038","7208.1794","7681.2049","7620.8434","5398.0985","8718.415","7344.6091"
"M170.896T23.8","170.896","23.83159","1171.4504","1146.2972","1277.878","824.5031","977.8435","1208.345","976.1461","894.6374","687.5602","912.7012","1083.8284","941.1535","532.8371","1167.0565","894.3127","749.6215","660.7269","787.2252"
"M172.0982T216.8","172.0982","216.78324","4703.0684","5120.3219","3065.682","3139.8514","2441.8204","2984.619","4267.6167","3245.386","4768.7165","3019.8626","3045.7323","3395.6366","3604.7419","2392.4638","3488.2205","3452.2441","1581.0744","2444.8885"
"M173.1048T22.3","173.1048","22.33343","3730.8953","4048.5696","3990.013","4158.7201","6350.7069","5890.494","5427.2842","5410.56","2044.1675","1219.1032","2322.9777","2138.5667","2367.3517","3515.7487","3189.5963","2595.5082","3170.5552","1844.5727"
"M179.071T286.2","179.071","286.15587","9723.868","6878.8753","7430.41","7399.2542","6495.3631","7306.096","6884.3693","7677.513","10859.1636","10030.4488","8526.5079","5642.6257","7818.8803","9098.3847","8599.751","8919.923","8635.0212","9740.367"
"M179.1078T371.9","179.1078","371.89984","8243.5509","7252.2025","3978.625","6189.5632","5184.6136","5843.753","6200.6507","5478.159","9347.6936","9545.865","8451.1279","8908.9696","9953.4278","7493.6218","8991.7893","7892.4891","8926.7141","7234.949"
"M181.0385T23.7","181.0385","23.71857","3369.8759","1772.591","2774.965","2226.1892","2187.213","2609.554","2351.829","1971.645","1128.4338","545.651","780.3","559.5485","536.7468","866.8376","1079.2408","743.3019","942.8172","976.9387"
"M190.0269T220.5","190.0269","220.4534","1875.4165","2247.2792","2109.071","1248.583","2039.8585","1594.592","2110.2996","1127.4","1972.3352","1832.9854","1586.6741","1364.1903","1629.8402","1559.2901","1364.9078","1018.1297","601.8526","1192.2877"
"M191.02T37.7","191.02","37.72785","37487.0035","26092.963","20287.59","18477.1264","17229.2908","36960.56","35036.6814","23980.55","73096.411","64963.5714","46803.5503","35458.1642","40025.7219","74568.5178","57632.5378","60201.2414","48791.496","58375.7295"
"M192.0234T37.7","192.0234","37.72046","2222.392","1383.4262","1275.725","819.6783","1249.617","2944.412","1957.7726","1489.642","4461.891","4476.8944","3150.3825","1321.2642","3022.5023","3568.613","3689.0099","3875.5638","2741.3373","3223.6559"
"M194.0427T25.9","194.0427","25.93045","11422.4292","11604.1734","9343.92","8787.5685","10420.463","8810.574","9400.9267","9163.964","2293.5581","1343.4809","1177.5885","2052.9018","1841.2535","2168.9716","1924.0988","1495.8702","980.6737","1142.1766"
"M194.0831T580.1","194.0831","580.10348","3234.4017","4019.5228","4027.772","4105.4018","3455.9454","4143.315","4029.5492","3886.796","4101.383","0","4375.1754","4885.023","4560.0212","2812.9871","3940.3016","3958.0515","4144.2614","3632.8667"
"M194.0804T216.7","194.0804","216.74909","1561.4059","2139.4966","1347.416","1488.2164","782.8903","1460.063","1977.2676","1441.333","1885.7753","1472.6198","1200.9695","1490.0586","1820.3945","1545.0782","1853.593","1088.1142","1435.1771","1557.5824"
"M195.0351T37.1","195.0351","37.14128","2255.884","3683.2907","2576.615","3074.2814","2579.3083","2816.4","4081.7952","2647.676","2166.4332","1801.2791","1175.235","1616.8688","1599.9722","963.942","1551.3457","1527.6388","1736.6806","1677.002"
"M196.0633T188.8","196.0633","188.77708","1543.5935","2504.1593","2231.142","2571.2085","2307.3044","2113.056","2854.307","1798.036","2586.626","2105.6014","3036.1681","2340.1872","2700.77","2788.727","2567.7598","2968.371","3159.3047","2711.3197"
"M197.9142T29.2","197.9142","29.18681","27498.0909","26194.4042","26085.66","24346.6938","26382.551","28058.17","26894.4097","26944.54","11387.7517","7655.2581","9804.8362","14443.352","11227.175","14807.9481","14452.8225","12800.1452","13530.5472","10093.6959"
"M199.0977T280.4","199.0977","280.44794","4771.0294","5286.9471","3879.615","2856.3459","4237.5304","3557.016","4478.8297","4444.399","1221.2828","964.7438","771.7521","1753.7713","814.1017","1736.0008","1137.3658","1288.161","1164.1254","1133.8934"
"M199.9809T42.1","199.9809","42.11128","1800.0254","1969.4525","2158.497","1837.243","1816.0095","2411.548","2037.6728","2464.281","6555.262","8128.1487","10854.7989","8607.4523","9961.2902","4220.6227","6146.7661","4871.4402","5711.8454","7527.15"
"M201.9961T43.5","201.9961","43.4536","1327.345","1500.0043","441.6246","993.4965","1082.8745","1155.048","942.3966","802.9315","2017.3525","947.8034","1843.2137","1287.5419","1217.2069","1555.3411","2041.68","2038.544","2211.1162","3051.803"
"M203.0832T147.8","203.0832","147.82421","5678.064","3243.2469","4925.744","2885.0863","2376.8316","4811.017","4017.6638","2817.298","6531.7076","6284.9787","6281.9348","7775.2214","9719.2733","4455.3796","10601.5723","3432.3724","4522.1202","3277.5678"
"M204.9852T23.7","204.9852","23.72387","1535.4406","1538.3116","1659.482","2001.4902","1767.5597","2100.375","1810.9104","1753.708","2246.471","2729.8533","1823.272","1991.1706","2199.1685","2521.8657","2858.9642","1403.0674","2685.825","2831.0086"
"M205.0511T220.5","205.0511","220.45025","40901.3761","38590.8369","38958.46","31929.6397","41198.0809","32430.97","40033.3873","37982.3","34214.1829","35177.0551","38767.9183","31136.0272","28988.4523","28182.7848","26004.5934","23754.0832","27639.2931","30207.7326"
"M205.1233T380","205.1233","379.98683","2425.1312","2555.3966","2288.144","2164.9517","1852.7569","1828.703","2222.8698","1837.447","2565.7951","2095.8821","2707.5241","2388.0503","2452.3305","2269.4742","1453.7984","2343.5045","2408.206","2558.6972"
