"","mz","rt","pos-Exp1-Blatt_K-1_1-B,1_01_8080","pos-Exp1-Blatt_K-2_1-B,2_01_8082","pos-Exp1-Blatt_K-3_1-B,3_01_8084","pos-Exp1-Blatt_K-4_1-B,4_01_8086","pos-Exp1-Blatt_K-5_1-B,5_01_8088","pos-Exp2-Blatt_K-1_1-D,1_01_8091","pos-Exp2-Blatt_K-2_1-D,2_01_8093","pos-Exp2-Blatt_K-3_1-D,3_01_8095","pos-Exp1-Blatt_P-1_1-C,1_01_8081","pos-Exp1-Blatt_P-2_1-C,2_01_8083","pos-Exp1-Blatt_P-3_1-C,3_01_8085","pos-Exp1-Blatt_P-4_1-C,4_01_8087","pos-Exp1-Blatt_P-5_1-C,5_01_8089","pos-Exp2-Blatt_P-1_1-E,1_01_8092","pos-Exp2-Blatt_P-2_1-E,2_01_8094","pos-Exp2-Blatt_P-3_1-E,3_01_8096","pos-Exp2-Blatt_P-4_1-E,4_01_8099","pos-Exp2-Blatt_P-5_1-E,5_01_8100"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M110.0073T21","110.0073","20.964125","983.2833","1044.5329","856.3512","1114.4511","1419.51219","801.0366","998.27325","1177.1807","1171.439","1057.955","1277.1188","1114.18864","1121.894","969.63954","956.66577","805.5281","1229.37247","1308.1125"
"M114.9868T20.7","114.9868","20.676901","697.3485","728.279","465.2325","681.2395","767.019","526.3735","569.3449","472.044","637.7285","451.8944","525.94797","746.97174","693.01819","405.6576","500.86306","557.6789","568.36145","770.91493"
"M120.08T74.7","120.08","74.703463","7230.1616","4896.9195","4868.1619","4009.0965","4104.39455","5204.16","5540.80693","5662.9202","10400.6","9109.244","8896.7784","8492.38","9986.316","4512.61175","8952.4896","4753.9845","5462.3416","4781.43579"
"M125.9855T20.9","125.9855","20.857485","3519.8136","2941.7193","3473.4237","3693.7107","3313.69442","2826.2832","3396.58522","3501.6417","2930.689","3298.237","3770.30585","2440.9512","3371.29423","2953.7277","1946.84012","2708.1866","3592.56429","2714.04756"
"M127.0382T235","127.0382","235.032542","3737.3208","2852.4236","1854.1183","2416.7795","2207.4312","993.343","1624.19846","1211.1422","2740.373","3054.899","1936.68196","2022.22934","2275.8192","1397.21731","605.363","1126.8435","1359.4775","1346.09834"
"M130.0496T27.9","130.0496","27.941333","74762.4901","64109.6461","53863.6053","61723.9001","57198.72243","59558.9424","56730.68003","58342.6681","33709.23","28460.43","26372.85731","24532.34431","26141.71079","33389.70836","33898.50952","35929.4396","32816.24797","34975.33879"
"M130.0646T163.4","130.0646","163.429258","5319.1645","4067.3609","2527.1642","4443.7027","3091.4712","3321.169","4704.70813","2891.1536","10984.45","8309.709","6682.14192","9710.77131","7256.8008","5298.40871","7997.00079","7191.982","6589.2672","6837.12811"
"M130.0637T376.8","130.0637","376.821356","1209.5417","1188.9275","1389.2889","952.6298","932.20735","1390.8397","749.08167","1198.381","1471.37","1126.479","1226.3136","1230.76689","1190.73111","1214.41895","1125.65886","1212.4015","1372.70467","1217.0944"
"M131.1287T22.3","131.1287","22.343483","27651.4202","26305.4992","27792.6052","27555.5574","27207.90771","23646.1909","27063.9672","26401.4069","19183.66","23852.2","24270.83966","22467.91446","24334.21365","21199.12","19155.9792","18260.0612","30080.1702","22293.90911"
"M132.1014T45.2","132.1014","45.168281","14533.8742","8460.9006","9036.9262","7971.7056","8571.86651","8578.5128","6880.7622","6501.1272","29147.63","31123.32","29106.68055","23637.83022","33237.47767","7850.51517","11256.06221","8514.992","12299.68335","10402.1985"
"M132.9968T20.8","132.9968","20.834447","622.5664","625.8008","662.4213","669.7477","489.7248","513.1552","473.0448","319.3126","548.1675","377.9943","613.88422","536.15656","614.31437","565.026","448.74335","354.3071","338.9376","553.01836"
"M133.06T27.6","133.06","27.569297","31549.8677","32721.6893","30181.2205","26258.4189","28112.86727","25710.4453","28505.62997","25767.2242","28352.66","21418.04","24771.97462","19899.59993","22367.64909","17885.59345","18318.9768","17828.8734","22363.77814","21143.07066"
"M134.5283T271.5","134.5283","271.525286","1389.2878","608.8982","674.3876","1200.7292","832.6656","1441.9813","1142.04116","988.1232","833.5511","905.2946","1011.2625","1095.08569","1094.09867","1147.15214","1041.73335","1447.3195","1085.5344","1017.24803"
"M135.0436T271.7","135.0436","271.730473","19332.12","20980.9461","21275.34","21830.1168","20688.63425","22215.8818","21007.85771","21066.9291","20815.53","20331.25","20983.48605","20461.77055","20050.24291","21093.107","21022.95285","20825.3277","20763.88236","20588.53138"
"M136.0474T271.7","136.0474","271.675032","1561.3958","1411.2616","1769.748","1147.3588","1545.5688","1913.9426","974.112","1792.9598","1148.47","1608.619","1256.92233","1669.90603","1519.63309","1027.656","965.86342","1274.1757","1376.65465","1304.7096"
"M138.0132T262.7","138.0132","262.72929","772.7044","473.1511","866.0256","391.2688","333.66667","284.8304","423.29081","644.8488","2395.915","2000.102","1126.87892","2024.39081","2029.6224","1181.81194","1733.59927","1501.6925","2172.92289","1713.036"
"M139.9145T25.8","139.9145","25.8426","12461.575","13236.9948","12846.276","12278.886","11621.31507","11435.4091","11287.201","11946.1511","16120.03","15979.06","14863.20339","17144.98875","16257.19832","15193.62003","13490.45313","13809.8635","15253.17347","14119.13202"
"M141.9126T25.8","141.9126","25.806207","1684.8614","2086.5732","1040.9657","1861.5462","1975.79215","1697.7922","1959.68388","1887.2133","2374.844","2390.062","2172.66575","2426.08464","2068.30255","2206.88393","1935.29578","1961.9544","2104.62396","2139.04409"
"M146.0368T271.7","146.0368","271.7028","1091.2056","1314.6204","1212.8333","1274.3457","1197.05364","1665.3312","1021.1496","1426.8072","1717.994","1411.668","1382.48723","1203.62926","776.8536","888.8103","1145.2488","573.4584","1732.33269","1003.1352"
"M146.0626T63.9","146.0626","63.946095","13226.6428","12524.838","17225.3606","12607.4503","13508.41187","13286.886","13792.99446","15270.8555","25608.01","31787.41","32375.518","27930.49117","24979.33769","16589.99173","19876.53947","21481.1945","27877.54466","25932.10117"
"M147.0765T27.9","147.0765","27.941333","176645.1225","151390.1242","128583.3407","135511.8788","134520.97888","132170.652","137139.61607","132305.173","67909.85","54098.04","52548.06091","51568.02337","49530.32805","69564.02359","68613.85746","81286.7764","66213.4155","69561.6048"
"M147.0438T284.2","147.0438","284.19798","4257.7868","3678.5493","3147.516","2372.7182","189.63086","2723.9426","3359.58438","2613.8701","4873.657","4922.268","4799.79094","3934.74049","4001.10682","3824.98858","4542.6312","4506.1966","4444.88467","4517.15196"
"M148.0624T28.2","148.0624","28.211196","20122.917","16443.8112","14421.3792","14985.2096","14518.46481","18458.4216","16956.36756","829.9616","33482.91","35721.08","28832.7902","21651.3072","25538.97726","20309.25698","24796.5835","25724.5672","25651.51721","24615.65143"
"M149.0595T243.6","149.0595","243.577013","2282.472","1724.1857","1348.35","1409.6136","1222.644","2289.4054","2898.0272","1794.4593","1419.619","1178.491","996.31819","1802.34208","1733.052","1786.08198","1546.95852","1396.7832","1239.26895","1890.61808"
"M150.0579T37.7","150.0579","37.745389","2221.1927","1698.5912","1903.9768","2333.2297","1449.56219","1011.5709","1321.92526","1153.7149","2659.69","2267.979","2652.83191","1845.18128","2474.70487","2095.24802","2121.74577","2215.7169","2034.84264","2384.31174"
"M151.035T20.9","151.035","20.899781","10675.6054","9637.0373","11673.9889","10785.7356","10788.41321","10103.4187","10040.78014","9541.3847","11322.27","11676.67","11813.5784","12181.67384","11772.84233","10082.04095","10621.12123","10086.2496","10823.14567","9639.372"
"M151.5491T60","151.5491","59.984643","19049.234","14939.738","13831.4867","14765.3491","10135.37002","15782.7599","19812.86034","13254.8608","30183.94","24777.53","25899.63327","20789.80293","24411.35342","15528.28854","17906.03389","13901.9741","14312.68845","11400.91926"
"M152.0363T21.1","152.0363","21.063209","1878.894","2188.3623","2265.8112","2237.0326","1870.76647","1997.4211","1807.88678","1917.4923","2001.762","2222.158","1918.47512","1822.84504","2350.00205","1652.46389","2016.10555","1789.1086","1985.4943","2134.3728"
"M153.0543T271.7","153.0543","271.704272","8940.5175","9908.8023","9405.852","8757.6672","9667.78525","10161.3134","9338.80752","9649.9912","9466.687","9921.931","9789.89962","8977.0854","8583.83763","8562.24366","9911.07325","8638.8665","9959.98899","9221.81243"
"M153.0316T20.8","153.0316","20.835933","1652.4925","1161.8591","1418.766","1726.9788","1410.00241","1140.8094","1656.60502","1532.4403","1704.963","1852.338","1162.57067","1575.23246","1943.49096","1171.17932","1705.91593","1768.6109","1319.42927","1908.5256"
"M156.0141T20.9","156.0141","20.882563","4337.1303","3875.9962","5058.654","4507.2914","4206.4355","4083.7259","3736.32","3637.003","4362.513","4725.464","4363.49193","4401.12258","4901.88462","3875.74983","3804.91447","3769.1376","3792.18859","3980.80371"
"M156.0541T160.4","156.0541","160.367659","2612.1302","2520.9146","1283.5774","1916.9629","1901.319","456.3648","1228.66402","776.5473","1226.314","1103.862","1168.2672","1150.2528","1220.86042","584.74544","558.88579","820.7337","612.4896","664.59411"
"M157.047T376.8","157.047","376.790012","2446.6224","2403.3719","2316.7282","2538.696","1989.55447","2560.6743","2237.98046","2296.3983","1729.728","2463.97","2293.3628","2614.4232","2097.19818","2687.37814","2603.71923","2298.8635","1974.59988","1367.76"
"M158.557T160.3","158.557","160.294127","15636.1345","14900.1364","9823.5192","12116.7608","10851.84115","3452.9835","5139.03132","5190.4569","8701.072","7540.135","4970.3064","5340.21768","5660.8584","3342.89467","2505.84293","2401.8405","2642.34709","3245.10104"
"M160.0578T226","160.0578","226.024051","8064.1207","6284.0315","5078.1605","3525.1513","7217.7696","4265.4729","6927.3896","5161.6716","6905.042","3277.751","4191.12656","3342.13352","3642.73341","4759.64111","3159.8592","6197.0141","4322.42595","5867.64392"
"M160.0756T250.2","160.0756","250.156723","9952.0051","8534.7997","5867.2845","6265.759","5794.04186","4879.9626","7412.48025","5273.1798","10774.66","8170.321","13023.6374","11320.716","8817.37513","8158.90243","8236.42759","5850.6206","6996.09716","8752.67443"
"M160.0757T212.2","160.0757","212.166413","10050.3694","8322.4697","9382.7914","9315.306","6730.54277","7550.3688","8731.98","6773.1984","16970.28","17967.14","16486.78731","14723.01466","14746.43584","10772.86673","12397.58316","12588.2372","11560.57877","12566.91406"
"M160.07T470.6","160.07","470.562559","2870.7074","2575.1965","1381.104","1568.1886","2060.36328","2215.7712","1587.41905","1565.9184","3503.074","3151.504","2336.2008","1985.2536","1249.53627","2240.47435","1810.52055","1870.6927","2050.43287","1537.77512"
"M160.0754T232.8","160.0754","232.80111","4860.5985","3203.6063","3559.512","2750.8656","2414.67491","2341.5027","2648.97468","2731.3174","5223.069","5254.534","6295.83737","6391.27617","5905.00239","3783.00469","3539.86002","3744.9936","4994.21577","4099.93098"
"M160.5546T60.2","160.5546","60.209432","20019.3941","15995.7326","15454.0756","15511.5309","10032.80107","16400.524","20228.46599","12358.212","33218.75","25974.47","24612.28381","22420.79614","26021.21501","15567.22539","19303.16601","15233.1282","16152.74046","14035.06553"
"M161.0957T371.8","161.0957","371.787733","3111.254","2292.1904","1851.4025","2244.629","1881.65113","1994.1805","1974.5784","1578.6448","3333.997","2845.942","2881.9704","2324.85926","2967.59438","2880.9696","1986.88482","2544.4694","3159.26421","2861.355"
