"","mz","rt","neg_Exp1-K1_2-C,1_01_7421.d","neg_Exp1-K2_2-C,3_01_7423.d","neg_Exp1-K3_2-C,5_01_7425.d","neg_Exp1-K4_2-C,7_01_7427.d","neg_Exp1-K5_2-D,1_01_7429.d","neg_Exp2-K1_2-E,1_01_7432.d","neg_Exp2-K2_2-E,3_01_7434.d","neg_Exp2-K2_2-E,3_01_7438.d","neg_Exp2-K3_2-E,5_01_7436.d","neg_Exp2-K3_2-E,5_01_7440.d","neg_Exp1-P1_2-C,2_01_7422.d","neg_Exp1-P2_2-C,4_01_7424.d","neg_Exp1-P3_2-C,6_01_7426.d","neg_Exp1-P4_2-C,8_01_7428.d","neg_Exp1-P5_2-D,2_01_7430.d","neg_Exp2-P1_2-E,2_01_7433.d","neg_Exp2-P2_2-E,4_01_7435.d","neg_Exp2-P3_2-E,6_01_7437.d","neg_Exp2-P4_2-E,7_01_7439.d","neg_Exp2-P5_2-E,8_01_7441.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M96.9601T243.5","96.96007","243.48556","61190.25","40019.27","41333.51","50619.51","16117.6","32546.7","37530.34","37359.06","29134.75","29368.25","144184.5","86709.34","126692.8","90774.22","96727.86","70646.61","64061.7783","52976.81","67047.85","59982.22"
"M96.9608T23.1","96.96078","23.10914","27708.89","26748.83","29130.38","28429.21","34523.41","29301.56","29083.87","28714.02","30673.24","28439.61","10605.33","11175.53","13905.99","13198.4","10801.02","16855.91","6415.6022","14557.66","24643.84","15935.97"
"M111.0093T37.9","111.00933","37.90497","14245.08","10765.75","9282.639","8600.985","8419.297","8672.541","11229.14","11056.2","7738.041","9134.519","40129.25","15582.98","12769.84","21263.51","7787.321","26864.15","26350.3172","37817.84","14073.28","10351.85"
"M114.9889T20.6","114.98889","20.61627","2362.055","1781.269","1555.243","1203.168","820.0118","1949.525","1707.199","1666.701","1407.161","1913.262","1787.895","1354.979","1757.874","1799.57","1635.974","2021.359","1262.452","2159.516","1697.693","973.9059"
"M115.0041T29.1","115.00407","29.08535","8099.269","6819.095","7024.124","8004.577","5609.153","6449.937","7512.858","10497.53","6306.17","6120.077","17951.75","14809.56","15507.05","14950.05","13261.5","20793.74","16012.9647","15727.17","13619.18","11142.6"
"M116.0714T376.1","116.07143","376.12222","11762.35","11902.95","12390.93","11402.84","11580.93","11697.41","11504.7","11723.99","12161.97","11033.47","11546.64","12389.86","11489.82","10261.93","11583.19","11937.18","11898.6114","11157.13","12234.53","12146.85"
"M117.0196T43.5","117.01959","43.49884","3982.798","4684.858","3068.659","2139.069","1545.269","1876.193","2160.747","3537.752","1746.36","1723.969","7689.822","8029.607","8376.457","7515.724","7757.047","6242.581","4788.8061","7732.757","6487.461","5817.225"
"M121.0293T283","121.02928","283.03209","3425.485","5772.725","4568.532","4067.692","1761.622","2351.94","3795.132","3235.607","4762.856","4007.763","7964.43","4395.008","2984.193","2254.577","2558.424","11801.27","12110.719","13294.1","10464.91","10068.09"
"M121.0294T206.8","121.02939","206.79353","2764.254","3964.793","3802.923","3649.369","2130.152","2335.8","2971.421","3014.892","2218.109","1979.832","10330.55","4989.534","5151.693","3081.518","6380.271","25932.4","22164.512","25380.58","14906.09","11412.33"
"M122.0246T53.4","122.02456","53.39552","34017.51","22568.96","21958.91","27114.88","13573.72","19985.81","19645.82","18102.98","11888.69","15601.04","7193.365","4424.385","5468.652","10196.14","3108.894","9399.516","2674.348","7522.076","3939.757","2638.899"
"M127.0013T234.8","127.00126","234.78221","2448.958","3239.697","2146.13","2572.761","2422.877","1436.802","1327.061","1484.291","1595.259","1934.553","385.8711","2170.883","1137.463","1191.897","2035.045","1508.132","1096.717","1273.675","1064.706","789.5469"
