"","mz","rt","pos_Exp1-K1_2-C,1_01_7443.d","pos_Exp1-K2_2-C,3_01_7445.d","pos_Exp1-K3_2-C,5_01_7447.d","pos_Exp1-K4_2-C,7_01_7449.d","pos_Exp1-K5_2-D,1_01_7451.d","pos_Exp2-K1_2-E,1_01_7454.d","pos_Exp2-K2_2-E,3_01_7456.d","pos_Exp2-K2_2-E,3_01_7460.d","pos_Exp2-K3_2-E,5_01_7458.d","pos_Exp2-K3_2-E,5_01_7462.d","pos_Exp1-P1_2-C,2_01_7444.d","pos_Exp1-P2_2-C,4_01_7446.d","pos_Exp1-P3_2-C,6_01_7448.d","pos_Exp1-P4_2-C,8_01_7450.d","pos_Exp1-P5_2-D,2_01_7452.d","pos_Exp2-P1_2-E,2_01_7455.d","pos_Exp2-P2_2-E,4_01_7457.d","pos_Exp2-P3_2-E,6_01_7459.d","pos_Exp2-P4_2-E,7_01_7461.d","pos_Exp2-P5_2-E,8_01_7463.d"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M120.0802T74.6","120.0802","74.613918","6313.812","4756.171","5727.889","4862.761","975.7096","4257.528","3875.663","3659.728","3021.497","2988.796","10922","6977.43","8945.708","10502.55","8648.704","4474.315","5104.664","4340.388","4755.571","4702.341"
"M122.924T23.4","122.924","23.355492","762.541","885.4387","947.0174","953.064","1085.579","918.6676","1186.375","893.2754","980.4193","1083.738","757.0541","506.9142","572.7111","695.4934","479.4809","899.6976","1066.99","738.5129","905.8838","553.5057"
"M124.0393T37.5","124.0393","37.544217","28644.45","27259","25118.74","30222.17","16348.07","25137.38","27345.65","26723.75","22292.94","22653.63","54061.49","31442.02","40051.72","17452.06","27105.61","69776.78","67766.61","58932.65","56128.79","41981.18"
"M124.0392T53","124.0392","52.995616","94269.39","62867.1","58572.92","79219.47","35166.51","51061.98","57282.71","57564.87","37265.3","37034.72","20111.99","9810.108","11026.33","25902.61","6529.959","21901.17","5714.635","19087.81","8499.812","4495.661"
"M124.0389T226.4","124.0389","226.448934","3058.445","1677.198","1356.939","2104.208","685.3685","1337.803","1468.737","1144.444","1055.98","1013.219","4689.888","2433.382","2787.83","2727.976","1567.321","2482.447","3654.396","3770.963","854.7473","1188.469"
"M125.023T186.2","125.023","186.231359","3110.82","2506.177","2380.764","2295.592","827.4697","3667.147","4166.589","4574.967","3212.973","2744.286","378.3616","223.6034","396.3492","266.6554","326.6211","1643.647","1100.726","847.725","1130.848","718.8681"
"M125.0421T37.5","125.0421","37.515625","1831.071","1973.972","1687.555","1725.969","1189.024","1589.032","1783.759","1853.026","1611.683","1261.691","3328.399","1970.974","2315.306","1032.026","1555.444","4326.458","4121.454","3658.412","3909.908","2692.343"
"M126.0371T63.5","126.0371","63.516749","1080.43","845.5674","663.8497","822.1678","985.0801","981.3891","798.7233","759.7875","820.4404","836.1577","5028.852","2347.583","1676.864","935.0252","1953.024","4858.767","5684.464","3602.861","4444.859","2878.309"
"M127.5339T485.4","127.5339","485.391367","2074.14","2454.555","4431.87","2655.478","1631.716","2708.604","2464.498","2435.511","2113.326","2207.458","2956.158","2228.114","1716.372","3700.002","3801.19","4088.028","4914.226","3964.836","5207.722","5159.805"
"M130.0501T28.2","130.0501","28.246751","11984.64","9846.257","12483.64","10267.67","10764.82","9800.872","9141.384","9159.069","8751.522","8020.943","23420.77","31891.98","27782.21","25985.09","34783.19","13268.61","22045.04","22269.02","23061.22","22199.91"
"M130.0647T242.8","130.0647","242.77691","15264.02","10968.18","9855.062","12009.54","4877.806","8827.276","8503.774","10159.4","8373.939","8378.064","32288.63","20199.25","26085.56","19833.27","21299.52","14113.3","14388.43","12615.69","14128.73","12809.55"
"M130.0648T162.6","130.0648","162.552009","3178.949","2538.355","2426.251","2895.314","580.725","980.5239","1531.917","2094.545","1690.452","1695.473","9343.242","6343.478","6600.325","4540.618","5223.077","5541.185","5100.732","6132.356","4588.434","5227.785"
"M131.0491T180.7","131.0491","180.729188","21402.36","15936.51","15650.35","17388.83","8910.886","14667.16","17550.79","17354.94","13515.07","13408.71","95543.3","75116.71","86024.09","75189.89","73314.57","53626.24","59074.85","65856.75","62127.88","61486.42"
"M131.0493T250.1","131.0493","250.066706","1023.818","832.6775","888.8334","1084.575","628.8795","605.7757","387.4489","635.1305","555.264","567.1592","45602.74","33117.35","46867.83","3845.538","35514.84","22482.49","57176.67","27076.15","44947.05","47497.53"
"M131.1293T21.9","131.1293","21.918344","2557.038","2760.021","4110.748","4337.285","2315.518","2659.472","3497.471","2567.558","3446.935","3483.682","9676.272","7755.998","14047.46","10778.24","12047.66","9289.657","11730.66","7265.483","12656.96","7143.444"
"M132.0526T180.7","132.0526","180.675991","1994.674","1561.631","1458.727","1505.762","775.9536","1382.105","1311.382","1681.607","1187.305","1130.819","8451.41","7533.543","8802.956","5946.063","7496.621","5141.914","5792.091","6744.592","5884.478","5334.26"
"M132.0526T250","132.0526","249.962742","208.5326","131.7935","96.42548","181.1448","139.133","119.1045","40.3656","144.7824","144.4714","95.4096","4389.849","3442.559","4621.581","172.1376","3452.501","1999.427","5271.004","2840.604","3932.785","4361.176"
"M132.1019T45.8","132.1019","45.764571","22624.05","19471.69","24501.41","21173.08","12697.87","11755.11","13265.71","13485.33","12149.95","12112.79","69220.1","54552.93","72291.41","74415.09","73169.89","27905.81","38056.5","37504.27","42950.43","39363.21"
"M133.0646T228.1","133.0646","228.116332","186.7772","182.5297","189.2056","166.1788","62.06299","131.7993","174.8548","144.4592","115.4416","79.74143","5442.718","2572.236","5793.451","853.3488","3467.397","2520.682","4710.098","2326.89","3994.491","5287.949"
"M133.0644T195.5","133.0644","195.537847","628.9617","354.1455","264.264","463.8893","172.1865","206.9103","238.6193","225.225","181.4603","374.0364","4163.784","2833.95","3650.479","3640.555","2748.735","1969.054","2270.148","1977.173","2017.99","1136.134"
"M135.044T270.9","135.044","270.902108","21344.99","22948.26","21569.92","21910.15","22208.28","21787.79","21876.18","22464.64","21751.95","21913","19498.95","20789.1","18180.22","18837.22","18164.69","21164.34","20159.66","20105.18","18676.31","19838.8"
"M136.0473T270.9","136.0473","270.902032","1742.891","1530.729","1501.008","1188.15","1590.678","1614.29","1982.07","1572.924","1875.66","1666.679","1634.993","1603.585","1230.3","1400.065","1483.186","1352.929","1557.501","1588.518","1279.452","1597.246"
