"","mz","rt","HC1_2","HC1_3","HC1_4","HC1_1","HC2_1","HC2_2","HC2_3","HC2_4","HC3_1","HC3_2","HC3_3","HC3_4","IgAN1_1","IgAN1_2","IgAN1_3","IgAN1_4","IgAN2_1","IgAN2_2","IgAN2_3","IgAN2_4","IgAN3_2","IgAN3_3","IgAN3_4","IgAN3_1","Pool_1","Pool_2","Pool_3","Pool_4","Pool_5"
"group","mz","rt","control","control","control","control","control","control","control","control","control","control","control","control","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","QC","QC","QC","QC","QC"
"M685.5664T59.4","685.5664","59.4","99113","101819","96965","59946","109920","115491","111138","128684","94122","102462","99179","97337","97696","107094","89736","109941","115410","109134","110551","113974","106644","115574","120120","216726","106569","107219","107800","113938","101919"
"M432.3443T66.6","432.3443","66.6","34875","40084","39182","56588","37810","41118","38541","36066","36283","33431","30047","34996","41617","40405","35749","41787","48293","43096","42244","40049","39102","35346","35280","26159","34832","35864","36706","36549","47738"
"M748.5213T115.8","748.5213","115.8","7884","9571","9869","30220","3626","5637","4836","5634","12064","10739","8043","11142","8653","9639","9469","7714","5342","6374","5737","4190","9717","8363","8086","121896","12414","12879","11972","11274","16284"
"M774.5385T111.6","774.5385","111.6","17609","20479","20584","26119","6515","10652","9462","9766","31301","28694","17126","28655","26450","29155","29051","22308","14748","19999","17251","11748","30127","23424","19050","129958","20982","22183","19481","16434","28151"
"M462.1236T53.4","462.1236","53.4","53383","36380","69117","56875","101297","81445","84788","55846","66348","70906","68413","41991","64356","66772","50905","85233","72063","71339","72774","70484","61575","55039","63605","52065","65930","56669","62636","81325","46830"
"M939.7865T49.8","939.7865","49.8","13283","15288","10376","40969","2029","3084","3172","6831","7131","3685","3230","8653","10988","8965","14697","6846","8575","8583","11082","6913","6332","6724","6318","48742","10400","9708","9083","8475","10997"
"M809.7075T49.8","809.7075","49.8","2810","3138","2017","19427","211","590","594","1140","1519","902","1257","2231","1048","1442","2064","536","955","1490","1323","647","792","655","1028","3488","1725","1058","1209","1085","2072"
"M662.4462T51.6","662.4462","51.6","201856","251533","184346","199718","174969","211632","223935","268708","202208","249028","184993","269946","183341","258931","184549","183767","262651","283028","221291","197789","275032","247866","210817","158752","202950","178302","177568","172958","346546"
"M802.5557T51.6","802.5557","51.6","20661","23301","13567","45082","8730","15560","14578","21702","14668","17581","11876","19200","15947","15438","15282","12997","18382","19080","18628","17993","21764","23378","21160","26797","16731","16236","15460","13375","20311"
"M299.9949T51.6","299.9949","51.6","850","743","813","796","1471","986","1049","1099","1214","788","870","636","1070","770","741","1109","956","887","1158","1114","845","710","804","614","908","926","1007","1059","614"
"M640.387T52.2","640.387","52.2","6678","7273","5738","18142","3428","4171","4143","5118","5943","5289","5161","6512","5243","5269","7670","4233","5153","5974","4746","4509","6428","5314","5131","6582","4521","4163","3826","3553","8133"
"M156.0064T53.4","156.0064","53.4","1278","984","1644","1870","2742","2043","2137","1382","1718","1708","1853","1051","1666","1464","1332","2090","1592","1756","1803","1741","1520","1405","1447","1348","1503","1432","1524","1925","1262"
"M252.2448T54.6","252.2448","54.6","21047","11368","17893","16529","28608","21177","24026","15831","21230","16581","22687","11516","25908","17252","21917","23404","14510","16820","24644","17735","16679","13244","18295","9003","18171","12902","18641","18459","13995"
"M158.0742T55.2","158.0742","55.2","4389","4549","3862","4119","4724","4973","5004","5051","4181","4605","4716","4214","4673","4111","5028","4758","4178","4833","4715","5289","4619","4373","4807","2467","3933","3671","4358","4536","4601"
"M645.6039T55.2","645.6039","55.2","23549","22194","16747","4216","5821","8445","7752","13154","12116","6846","3765","14511","11975","11802","15510","7417","9119","8159","11602","9788","10481","9438","9116","4070","10045","11981","9996","10089","12163"
"M537.511T56.4","537.511","56.4","51740","58769","45101","23359","31373","39555","35440","56382","37317","22149","16818","45290","35865","36757","43164","26072","37202","27536","46618","34539","30453","32176","33365","10723","31490","35647","30027","33238","18068"
"M741.6295T57","741.6295","57","95439","96567","94678","119276","101640","105728","104615","126464","89883","99152","85215","92736","93582","101299","88472","102420","111492","101489","106598","114070","100356","111484","102666","221659","105460","109344","104518","110439","77749"
"M657.5336T59.4","657.5336","59.4","22694","24093","23209","44482","23861","25598","23675","24273","22334","26869","25670","28153","22029","23660","21312","23234","24651","25727","22075","25542","23476","26701","35586","164883","31545","30873","30192","26879","33835"
"M707.5343T60","707.5343","60","35278","34741","36590","160008","39171","40282","43980","44885","32903","35358","32403","34623","36263","39919","31440","39679","42951","38825","40484","40608","40434","39157","37409","124528","37829","39141","38527","41668","38198"
"M696.5689T58.2","696.5689","58.2","98896","102496","95783","333019","105134","110618","105389","126601","94338","97917","93349","104486","98405","104704","91375","106679","117224","110179","113533","112298","104850","112639","112835","408447","115928","117452","114631","114737","123717"
