"","mz","rt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group","mz","rt","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- "
"M225.9701T16.4","225.9701","16.4481678","19.2361","20.2815","21.1372","18.39","20.6034","18.9143","17.5166","20.43","17.8464","19.907","21.3168","19.0564","18.158","20.961","18.8244","18.0627","21.3219","21.3226","19.3681","18.7858","18.5394","19.7342","16.4199","21.1593","20.2095","19.8482","19.3977","21.1694","20.018","20.4304","20.8047","20.23","19.6627","19.8838","18.5717","20.3953","20.7559","18.8353","20.2072","20.0325","20.32","19.3355","20.6425","17.0061","20.5202","21.3686","21.0396","20.6685","19.7897","19.194","17.8136","19.7218","19.2512","21.0393","17.2332","18.801","19.0666","20.039","21.0181","19.639","17.6997","18.6269","18.7924","20.8639","19.0436","20.5786","19.4583","21.4479","19.6893","20.2957","17.7629","17.6336","20.7431","20.4498","18.3732","21.0406","18.4558","19.8488","18.405","19.3149","20.2186","19.7983","20.6213","18.9948","17.112","16.3611","20.7255","19.7694","19.7181","19.007","19.1872","16.4626","19.5021","20.0993","20.0624","19.0964","20.2047","20.9942","21.5917","20.1164","21.0003","19.6107","18.8304","17.4938","20.3957","19.9358","20.0808","18.2624","21.1485","17.5577","17.4231","19.0938","18.4644","17.9118","21.348","20.1222","20.634","19.901","20.2618","19.3859","19.605","20.314","19.1602","19.5354","18.5388","17.7298","20.0839","17.5285","18.9744","20.755","20.117"
"M209.9956T16.5","209.9956","16.523322","18.4289","18.6445","19.5061","17.1508","19.1325","17.1885","19.3609","18.9","18.8497","19.9204","19.6792","18.1079","17.1157","19.9038","17.8949","17.455","19.5119","20.5052","17.9006","16.9134","17.0619","19.8615","18.5061","20.0252","16.0936","18.6972","17.6429","19.3386","18.1097","19.0635","19.6196","18.7853","18.4401","19.9355","18.0238","19.5402","19.4846","17.5639","18.8808","18.8015","19.1747","17.8225","19.0832","18.5195","19.2529","20.0069","19.6929","17.6703","18.0873","17.7556","16.9726","18.63","17.8033","19.5332","16.1655","17.8531","17.4281","18.1446","17.9616","18.7091","16.2552","18.5664","17.2996","19.3256","19.2272","19.488","17.9941","19.703","18.8914","19.1137","18.0835","16.3711","17.9226","18.9435","18.2204","19.7986","18.7729","18.5786","16.7947","16.2577","18.1617","18.4355","18.9317","18.1368","17.5444","18.7001","20.0256","18.7","18.9695","17.3756","18.2263","18.6598","18.3076","18.3325","18.4455","17.1361","18.8205","19.1832","19.9319","19.2208","18.8675","17.7315","18.1589","16.149","19.4188","18.6346","18.7611","16.9827","19.78","18.3759","16.1214","17.5268","16.7695","16.2126","18.5634","19.3066","19.2804","18.4535","18.9818","17.6707","18.1051","18.8494","18.3966","18.585","17.6832","16.3818","19.3007","16.0909","17.2859","18.964","19.0522"
"M205.0406T16.7","205.0406","16.6908984","20.0376","20.8265","21.9592","18.5338","21.2318","20.0369","19.1557","21.5925","17.3991","22.5854","22.3959","19.8732","19.0883","22.2373","19.7504","18.9527","22.2516","23.3676","19.6235","19.7197","19.361","21.5572","20.4727","23.3487","17.0635","20.8817","19.4467","22.1844","21.0144","20.7092","22.0387","20.5691","20.2528","22.1903","19.591","21.9909","22.2651","18.9383","20.4597","20.8097","20.5661","19.1907","21.6322","17.8316","22.231","22.7418","21.7782","20.997","19.9572","19.896","18.3026","20.2565","17.5134","22.0877","17.9617","19.457","19.3337","20.4805","21.4246","20.4783","18.1242","18.0922","19.2585","21.8221","20.9076","21.3757","20.3953","22.1487","20.267","22.6261","18.2234","17.4123","21.0172","20.9606","19.6192","21.584","20.1958","20.6971","18.8624","19.0142","21.8612","20.9295","20.7229","19.5932","17.3309","16.5465","22.2643","21.228","20.9162","19.6464","19.9131","16.4955","20.236","20.9855","20.6176","19.1579","22.0741","21.8195","22.7147","21.8082","22.3043","19.8378","20.3052","18.1376","21.1269","21.0505","20.9807","19.402","21.9465","17.4497","18.1992","19.2289","19.3075","18.5072","21.7251","20.4931","21.6589","20.3184","21.5623","19.3354","20.1911","20.2593","20.4959","21.0646","19.2425","18.3395","21.4891","18.2705","19.8521","21.657","21.3975"
"M133.0528T16.8","133.0528","16.8166836","19.2591","20.7517","20.2976","16.2247","20.0679","20.0507","19.3198","18.0431","18.2809","20.2969","17.8666","19.5075","18.7897","20.2906","19.2942","17.5539","20.3304","19.3367","18.2384","19.3551","19.0191","18.7045","16.41","20.9288","17.3294","18.0854","17.601","18.7552","20.9178","18.7596","19.9089","17.8799","19.4184","19.9625","20.4518","18.3657","19.9663","17.1945","17.9356","19.2243","17.8143","16.3271","19.3818","16.2378","20.4441","19.8494","18.1346","19.9274","18.8791","17.8765","16.9392","18.8036","17.796","18.9524","17.0476","18.0282","16.8635","17.6258","18.9898","19.5661","18.675","19.0296","17.682","19.874","20.0139","19.2485","21.1707","20.1102","18.5969","21.1826","18.8015","19.2973","18.4735","19.2767","18.1593","19.2452","19.4546","16.338","19.0795","18.6701","19.5041","19.907","17.7418","17.7037","17.6625","17.3741","20.7517","17.6834","19.3614","20.2602","16.2619","16.9741","19.8398","18.1316","18.145","18.4578","20.7141","20.4141","19.901","19.5633","20.6091","17.8123","19.4036","18.7582","18.3709","17.4712","16.7637","16.804","20.3275","18.9963","17.4122","17.39","17.9227","17.4151","20.3574","18.422","20.3872","19.8689","20.5114","19.4324","17.3876","19.9465","20.3426","19.1906","18.6577","18.7749","20.7029","18.9175","20.6596","19.4604","19.0197"
"M473.1981T19.3","473.1981","19.3072626","21.9168","22.5055","23.3867","21.1195","21.7371","20.9538","21.5004","23.4069","21.8448","23.5148","22.8053","22.3152","21.4483","23.2791","23.6894","21.8557","21.5761","21.8237","20.0755","22.0972","22.5138","20.8105","22.0086","22.4591","23.058","23.4388","23.1799","21.8102","21.506","22.504","22.2841","20.7371","21.9399","22.0749","20.4309","22.5144","22.6593","22.6169","21.518","20.039","21.8463","21.2732","20.4435","21.5569","21.6585","21.8996","21.5378","23.0762","21.0742","22.9963","21.8416","22.345","22.1991","22.3811","20.7239","21.6991","20.9237","21.2696","23.0942","21.4226","22.2048","22.006","19.8362","21.318","21.7437","21.2048","21.9198","20.9589","18.9627","21.618","21.9602","22.0501","21.2911","21.6008","21.4589","21.7985","21.5024","21.7693","21.8271","23.298","23.1485","21.4074","22.6049","21.7459","22.5673","21.8708","23.4764","23.1872","22.1741","23.35","22.6808","22.9502","22.0247","22.9291","22.7588","22.8896","21.1672","23.1797","24.8185","23.8463","22.9378","22.3529","22.7356","22.4874","22.823","23.064","23.8721","22.6737","22.9352","21.8856","21.4789","23.3218","22.236","21.73","22.8213","23.6684","21.2445","22.8974","21.6076","21.9248","21.1955","20.0087","23.1269","22.3483","23.1846","22.6963","22.5717","22.1314","22.8171","23.0724","22.7362"
"M290.2209T20.1","290.2209","20.066709","22.1885","21.6182","22.0437","21.3596","20.5687","21.828","21.2367","21.8099","21.8024","22.0823","21.4078","21.2102","19.9566","22.0012","22.7071","21.7983","22.0055","22.2858","21.5662","22.1124","21.8641","20.0207","21.784","21.9705","21.7512","21.872","21.0466","20.4247","21.5263","21.0173","21.6065","22.4155","21.7912","21.6608","20.5508","21.7726","21.49","21.0982","22.0339","20.5005","21.8917","22.6261","21.5156","22.3838","21.3189","21.0085","21.8539","22.1245","21.7607","21.7135","21.4627","21.2809","21.8986","21.5038","22.2333","21.7008","21.852","20.223","21.2977","22.225","21.4209","22.1667","21.6475","20.9882","21.7275","22.2031","22.0046","21.6994","19.375","21.9356","21.5843","21.7201","21.416","20.7159","20.8367","21.698","21.1546","21.5643","21.4237","21.6598","21.4272","21.4992","22.2716","22.342","21.1573","21.8238","21.7143","21.5369","22.1075","21.583","21.6833","21.9611","21.3171","21.6536","22.0929","21.8952","20.9805","21.049","21.2491","20.3825","21.1788","20.5699","22.4899","20.5037","21.8138","21.1752","21.26","22.0086","21.712","21.5083","22.0653","21.9764","21.5725","22.1793","21.1615","22.068","21.6361","21.9073","20.8328","20.6047","22.5078","19.9779","22.1633","21.3522","22.1473","20.2954","19.9982","21.9821","22.3499","21.0021","21.1689"
"M266.1632T20.3","266.1632","20.294784","17.594","17.8082","18.3631","18.6857","18.9996","18.8971","18.4329","18.9103","18.7891","19.3135","18.9165","19.2807","18.4433","18.9961","19.2941","19.5951","18.5546","18.6011","18.3752","18.625","19.7835","18.3997","18.5162","18.8158","18.1343","18.3565","17.9759","18.7704","19.1924","18.1128","17.3645","18.1367","18.4587","18.5016","19.6285","18.9945","17.0836","18.8587","17.8422","17.6199","17.507","17.5642","17.8886","18.4041","18.1013","18.9553","18.4548","18.835","20.1108","19.1218","17.2057","18.2425","18.8588","17.1647","18.1567","17.7296","18.9671","19.8847","18.9035","18.0231","17.8335","18.304","18.7212","19.802","18.6772","17.4976","18.527","18.3258","18.5392","18.6094","19.3595","19.801","18.7629","17.7627","19.6872","17.8904","18.7039","19.4607","19.1018","18.0764","17.6176","18.4416","18.9839","18.8346","19.2849","18.2883","19.0993","18.9521","19.0562","19.2743","17.9031","17.6965","19.732","17.59","18.2332","18.8302","17.9354","18.9113","18.5006","18.5666","18.1165","18.6904","18.6956","19.0043","19.8923","19.6806","18.356","18.4432","18.276","19.2101","18.8113","18.2935","18.2288","18.455","18.6058","19.451","20.4492","18.6169","17.6365","19.0548","18.6392","18.182","18.4913","18.764","19.8762","18.756","19.8563","17.4879","18.8813","17.6549","18.0754"
"M584.2627T20.3","584.2627","20.311608","22.2886","23.3422","20.8046","21.1345","22.9341","21.3871","20.8943","20.2175","21.9188","18.9041","19.2324","23.1592","21.1455","21.2522","21.0931","21.3745","18.6592","21.3738","22.2892","22.6478","21.8048","20.5141","22.7712","21.9334","21.5914","22.066","21.5865","21.4849","21.8096","21.3612","24.0863","21.3931","20.9724","20.7281","22.065","21.4334","24.1486","21.8307","20.9697","23.0046","23.7711","21.0552","21.1351","21.7932","21.4155","20.9511","23.6121","22.394","20.1739","19.3905","20.6968","21.7855","20.9206","20.8296","22.3139","24.1813","21.2686","20.427","21.0854","22.2679","21.342","19.7505","21.893","20.8981","22.5606","21.2994","21.3617","21.6994","23.3082","21.0205","21.0573","21.7597","20.5104","21.154","23.0713","20.6476","24.0365","21.0756","20.7735","22.33","23.5999","21.1953","21.9314","22.5329","22.6618","20.3689","22.5569","19.8788","20.8017","20.6913","21.195","20.9584","22.1554","19.5616","20.9341","19.3224","17.4757","21.6283","21.9808","22.4661","22.3498","20.4179","21.5062","21.6958","21.818","21.9558","20.1801","21.8368","22.7139","21.5504","21.5505","20.5511","20.7847","19.9481","21.9216","19.8506","18.7415","20.79","20.1235","21.3352","20.0081","21.3662","21.5747","20.7024","21.8483","21.3592","23.1252","21.8636","21.7151","21.8647","21.8435"
"M144.1156T21.2","144.1156","21.2067888","19.0968","19.5196","19.6668","19.725","20.118","18.8945","19.0885","18.2953","19.2051","17.9578","19.449","19.615","19.2165","19.1801","19.6033","18.9917","19.0022","18.8237","19.8768","19.647","19.4112","19.5629","19.1785","19.1969","18.9806","19.3041","18.7253","18.7636","19.6847","17.8048","19.0293","18.931","19.2498","19.6931","19.4254","18.9534","18.4913","18.0487","19.3605","19.3026","18.9092","19.698","19.0821","18.994","17.9871","18.8123","19.0404","18.9223","18.4874","18.6652","19.282","19.2655","18.6306","18.5547","19.5503","18.4265","19.1779","19.8641","18.9311","19.5067","18.8435","19.3734","19.3681","19.0642","19.1177","18.4561","19.1563","18.7283","19.9592","18.685","19.7975","20.0693","19.8935","19.3167","20.4896","18.634","18.2777","19.4375","18.7457","19.548","19.547","18.9797","18.4894","18.9159","19.441","18.9541","19.7416","19.8628","19.5984","21.0452","18.8171","19.1235","19.2136","19.0903","19.0953","18.953","18.6462","19.6349","19.2826","18.7339","18.3317","19.6125","19.2277","19.7952","19.755","19.7752","18.0833","19.1526","19.9529","18.4773","19.6483","17.0956","19.5631","19.1392","18.3862","18.6728","19.385","19.0267","18.4665","19.9669","19.9102","20.0599","19.4006","18.6242","19.3289","19.6791","20.212","18.9231","19.3326","19.9833","18.2125"
