"","mz","rt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group","mz","rt","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:1 ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- ","Smoking Status:- "
"M1000.6471T85.3","1000.6471","85.309992","21.0493","21.7244","19.4048","22.658","20.1832","21.1485","21.3004","20.1138","21.9038","21.2967","22.5115","21.4372","20.9383","20.3327","21.9166","19.5379","22.2085","22.4217","21.2698","20.3131","19.575","21.3242","20.3778","20.5708","21.8745","21.5555","20.6127","21.6266","20.3277","20.2756","21.5181","20.4398","19.5799","19.3521","21.115","20.5019","19.8799","22.8389","20.1517","20.4062","18.8508","22.5178","20.5328","22.0007","20.1865","21.6339","22.1517","19.8073","19.9032","20.2725","23.2113","21.0266","20.4976","21.4468","20.794","22.6832","20.4379","20.9471","23.3754","22.9023","20.2844","21.4894","22.3337","22.4694","19.9778","21.669","21.474","22.1586","21.4015","21.3464","21.8355","23.6225","20.9892","22.4241","21.8011","23.5803","20.8201","21.5648","19.4565","23.2301","17.5436","19.626","21.1521","19.7391","22.12","22.2929","19.7838","22.2214","20.775","20.5151","21.8962","21.8328","20.5204","22.3719","20.9856","23.5181","23.0637","21.2543","20.7932","20.8255","20.6536","20.3308","21.6885","20.2886","21.0589","21.5625","21.1569","21.0077","20.2615","20.951","20.4698","19.1395","20.1312","22.1457","19.8687","22.1589","21.2998","20.8713","21.6492","20.7234","22.8724","21.2528","20.798","21.6066","20.7133","22.3815","21.8573","22.3283","22.73","21.3263","23.0812"
"M1000.6493T91.8","1000.6493","91.80867","22.9098","22.1154","21.3932","20.8689","22.2796","22.5695","22.6044","21.8444","23.0278","22.0108","22.077","22.2287","24.4436","21.7718","22.1523","21.8604","22.6547","20.2296","22.742","22.0868","21.6926","21.5367","22.1051","21.7923","22.3918","19.5501","22.1669","23.2776","21.8238","21.0742","21.4842","22.1422","21.8749","21.4561","23.1088","22.063","21.6942","22.9918","21.728","21.9361","20.9472","22.7787","21.3734","22.2613","22.129","23.0261","21.3633","21.6264","22.0915","22.4069","21.0974","22.5162","22.2917","23.2699","22.0682","22.1274","22.8978","22.1956","22.5526","20.6081","22.6487","22.9784","22.4233","22.7522","21.6743","22.916","21.7267","22.3959","18.9572","22.434","23.0628","22.7699","22.2133","21.77","22.5782","21.3098","22.3725","22.6461","21.9617","21.2506","19.7335","21.5855","23.0735","20.7266","20.4533","21.6149","22.3932","22.3966","22.8376","21.0051","22.8062","22.038","22.5613","22.7814","23.1593","22.8364","23.1441","22.9543","22.3879","22.1669","22.4934","22.2696","22.2003","23.2388","22.4029","22.772","22.3275","22.3949","21.721","20.8079","21.7654","21.1591","22.8024","20.9079","21.3689","22.768","22.923","23.7129","22.6306","20.6076","20.5453","22.8841","22.781","22.8145","22.1453","23.5537","23.104","23.2485","20.1289","23.2873","22.6605"
"M1002.1531T92.5","1002.1531","92.45052","19.2913","18.4859","17.1484","18.969","18.6471","19.1496","18.8917","17.8481","19.4998","18.4294","18.8742","18.5747","19.2984","18.5019","18.3436","17.8344","19.3231","18.4682","19.1121","18.1599","17.7386","18.3142","18.2908","17.8916","18.9554","17.498","18.0705","19.0646","17.8726","17.4443","18.2295","17.7055","17.8239","17.5043","19.5229","17.9497","17.8326","19.4421","17.6","17.8837","16.3766","19.8278","17.2832","18.7186","17.9497","19.7723","18.3753","17.6259","17.7682","18.3563","19.406","18.5939","18.7665","19.4904","18.3489","18.9756","18.9802","18.8469","19.6123","19.2531","19.6291","18.9675","18.9406","20.064","17.4805","18.8446","18.64","19.3778","17.3783","18.8888","18.9485","20.076","18.132","19.2748","18.504","20.2651","18.5557","18.8123","17.9686","19.9141","18.5773","18.3342","18.3637","18.5065","18.3771","19.1586","18.6281","19.0682","19.1701","19.0034","19.1574","18.7888","19.012","19.1098","19.4334","19.7919","19.9646","19.0807","18.6617","18.1594","19.0971","18.5952","18.6022","18.8235","18.575","19.1057","18.3772","18.2234","17.7694","17.1593","17.5763","16.9468","18.3442","18.0162","17.6549","19.0219","19.1722","19.4101","18.9154","17.0426","18.4858","19.3853","18.9456","19.1763","18.1954","20.0867","19.8009","19.5011","18.8485","19.859","19.7267"
"M1010.5786T87.8","1010.5786","87.754464","17.9172","16.8806","16.4916","19.3126","17.9019","19.0182","18.2247","16.5831","18.2651","18.5387","19.2001","18.3196","17.7647","18.1108","18.0527","16.2476","17.7744","18.3032","17.0968","17.4986","16.2814","18.1191","17.3851","16.692","17.7061","16.5296","16.9142","17.8167","17.3656","17.0939","18.3663","18.3831","16.7422","16.3147","18.2252","16.679","17.2037","19.1411","17.7658","16.2015","16.4258","17.557","16.8804","18.2301","16.4978","17.7666","17.5057","17.7535","17.2484","17.6773","19.5764","17.2455","18.5781","17.9775","17.218","18.5177","17.6243","18.7381","19.7068","17.8833","18.7095","19.3557","18.8544","17.9274","16.4836","18.5646","17.2635","17.8753","17.4626","16.9476","18.5826","18.8169","18.0098","18.2853","18.1268","18.5873","17.6982","17.7634","17.2708","17.3852","17.5964","18.2937","17.8258","17.5557","18.0346","16.8907","16.4802","18.2983","18.4713","17.9766","18.1696","18.7143","17.1719","18.3774","16.8867","19.276","19.1226","16.989","18.0708","17.7521","18.0613","16.1656","18.5506","17.2539","18.4575","18.3218","18.0955","17.5802","16.8008","17.3651","16.4787","16.8675","18.2767","19.6684","17.3937","19.0674","16.5611","16.4892","17.7824","17.1021","19.3103","16.3242","18.13","18.6445","17.772","18.2624","17.5743","19.4896","17.2821","17.7662","18.3868"
"M1012.6389T92.4","1012.6389","92.445336","28.7169","28.4551","27.92","28.7992","28.1262","28.8848","28.2749","28.4388","28.9527","28.337","28.5405","28.4931","28.5016","28.1237","28.3531","28.0502","28.254","28.3575","28.421","28.3423","28.1207","28.2186","28.3338","28.1764","28.5329","28.1309","28.2749","28.5026","28.0926","28.0646","28.4095","28.1988","28.0701","27.9387","28.8989","28.2282","28.1896","28.8382","28.2543","28.392","27.8092","28.7376","27.8939","28.6554","28.4041","28.753","28.3345","27.9867","28.1599","28.3816","28.8412","28.5753","28.4628","28.9098","28.5107","28.7772","28.0528","28.6138","28.8497","28.8156","28.8805","28.7228","28.6291","28.6066","27.9206","28.5628","28.3643","28.629","27.9561","28.6773","28.8311","28.8524","28.2693","28.4865","28.4207","29.0021","28.4495","28.6059","28.1189","28.7433","26.9004","27.8372","27.8945","28.5068","28.2801","28.3539","28.5417","28.4235","28.7416","28.6865","28.8696","28.6693","28.7338","28.6925","28.9241","28.9159","28.7534","28.5135","28.6068","28.2742","28.8051","28.5507","28.4874","28.1379","28.4628","28.6143","28.6369","28.378","28.2098","28.0861","28.0978","27.8555","28.4244","28.3211","28.072","28.8236","28.3264","28.39","28.552","27.7122","28.5828","28.5101","28.5093","28.7948","28.548","28.7163","29.1063","28.9505","28.7039","29.0894","28.8733"
"M1012.6487T92.4","1012.6487","92.434032","28.5779","28.3194","27.7719","28.6939","27.9931","28.7644","28.1326","28.3076","28.8428","28.2075","28.4105","28.3561","28.3495","27.9908","28.2024","27.9043","28.0953","28.2276","28.3124","28.2062","27.9879","28.0939","28.222","28.0264","28.415","27.9972","28.1297","28.3773","27.9637","27.9237","28.2842","28.043","27.9262","27.7994","28.7702","28.0849","28.06","28.7188","28.125","28.2592","27.6612","28.6153","27.7509","28.5199","28.2604","28.6355","28.1925","27.8457","28.0109","28.256","28.7151","28.4433","28.3213","28.7804","28.3896","28.6457","27.9145","28.4967","28.7361","28.6884","28.7571","28.5952","28.5122","28.4852","27.775","28.433","28.2332","28.5156","27.8073","28.5456","28.6991","28.7226","28.1321","28.3511","28.2727","28.8717","28.3172","28.472","27.9723","28.6138","26.7116","27.7031","27.7452","28.3769","28.1577","28.2271","28.4108","28.2753","28.6103","28.5613","28.7234","28.561","28.6236","28.5699","28.794","28.7872","28.625","28.3744","28.4884","28.1199","28.6968","28.4233","28.3517","28.0054","28.3368","28.4951","28.5138","28.2479","28.0779","27.9513","27.9365","27.7129","28.2915","28.1845","27.9347","28.6955","28.1843","28.263","28.4098","27.5711","28.4672","28.3744","28.376","28.671","28.4236","28.5977","28.9915","28.8328","28.5836","28.9674","28.75"
"M1012.6495T92.4","1012.6495","92.430162","28.6028","28.3479","27.7915","28.7219","28.0179","28.791","28.154","28.3322","28.8694","28.2397","28.4478","28.3819","28.3741","28.0125","28.2393","27.9223","28.1237","28.2542","28.3347","28.2278","28.0031","28.1244","28.2436","28.0529","28.4421","28.0167","28.1534","28.4011","27.9878","27.9433","28.312","28.0702","27.9458","27.8193","28.8005","28.11","28.0833","28.7494","28.1494","28.2844","27.6812","28.6453","27.7763","28.5486","28.286","28.6658","28.2281","27.8666","28.0314","28.277","28.7501","28.4761","28.3471","28.8099","28.4114","28.6775","27.9414","28.5252","28.773","28.7196","28.7856","28.6267","28.541","28.5127","27.7874","28.4654","28.257","28.5417","27.8317","28.5699","28.7289","28.7662","28.1576","28.3808","28.3071","28.9044","28.3412","28.5027","27.9937","28.6442","26.7333","27.722","27.7715","28.4026","28.1934","28.2545","28.4295","28.3112","28.6371","28.5872","28.7547","28.5831","28.6488","28.5986","28.8167","28.8189","28.6596","28.394","28.5092","28.1428","28.7183","28.4444","28.3791","28.0226","28.3622","28.5224","28.5449","28.2788","28.0971","27.9777","27.9622","27.7395","28.3138","28.2242","27.9576","28.7275","28.2113","28.2867","28.4465","27.5981","28.4993","28.4","28.3973","28.7","28.4481","28.6271","29.0155","28.8615","28.6054","28.9957","28.7864"
"M1012.9129T92.6","1012.9129","92.560488","20.679","20.101","18.2518","20.5989","19.8203","19.007","19.1957","19.7929","20.8231","19.8135","19.975","20.4748","20.6664","19.8063","19.9424","19.2681","19.9078","19.6595","20.3977","20.0278","19.3315","17.9702","20.0285","20.0509","20.4134","19.4074","19.8984","20.2412","18.0832","19.7614","19.7144","20.095","19.4439","18.5179","21.1449","20.038","19.4593","20.625","19.7759","19.6621","19.7782","20.8592","19.2775","19.9345","20.1039","20.7081","19.1301","19.4733","19.5263","19.9715","21.0004","20.6836","20.2139","21.1866","20.3928","21.0483","19.5433","19.4815","20.9109","21.0795","21.2966","20.5878","20.2931","20.5018","18.9593","20.2778","19.7439","20.3889","17.9261","20.5876","21.0302","20.7765","19.9584","20.4651","19.368","21.2683","19.7601","19.9574","19.0043","20.7709","16.4812","19.5885","19.2967","20.2732","19.871","20.2119","20.2479","20.4345","20.6699","20.6338","21.0777","20.5365","20.5603","20.459","21.1458","20.8323","20.8637","19.7721","20.0618","20.3394","20.4381","20.4396","20.661","19.7464","19.5396","19.4059","20.59","19.5737","19.2905","17.8255","19.6059","19.3301","19.9591","19.6843","19.5563","20.7773","20.1783","20.2388","20.657","17.0861","20.206","20.6347","20.4471","20.972","19.4962","20.7832","21.373","20.7866","19.9645","21.4717","20.7493"
"M1013.1506T92.5","1013.1506","92.456304","23.6296","23.3207","22.5978","23.7956","22.9437","23.9036","23.2377","23.1952","24.0893","23.2485","23.5307","23.4385","23.4523","23.0784","23.2166","22.7759","23.1745","23.2456","23.4687","23.2082","22.9299","23.0965","23.2642","22.8385","23.5622","22.8704","23.0702","23.5145","22.9074","22.762","23.274","22.9277","22.7987","22.6617","23.9743","22.96","22.9253","23.8539","23.0104","23.2296","22.281","23.7525","22.5266","23.5621","23.2202","23.7515","23.1595","22.7199","22.8962","23.3015","23.8958","23.4372","23.3947","23.9116","23.4339","23.7217","22.8322","23.6006","23.9685","23.8035","23.8175","23.7294","23.5869","23.5858","22.6671","23.5481","23.4082","23.7269","22.6632","23.7206","23.8053","23.8592","23.1488","23.3607","23.3152","24.0012","23.3961","23.5558","22.8631","23.7707","21.0477","22.6863","22.7491","23.4351","23.1968","23.2324","23.5131","23.3501","23.6774","23.6762","23.8172","23.6205","23.7968","23.6957","23.8931","23.9493","23.6725","23.5302","23.5684","23.0036","23.8343","23.4591","23.4475","23.0658","23.4084","23.6346","23.5445","23.2116","22.9395","22.7835","22.7258","22.4104","23.2589","23.1157","22.8965","23.8691","23.1787","23.4219","23.4062","22.3644","23.4562","23.4301","23.491","23.8209","23.4352","23.7587","24.2695","24.036","23.6722","24.1652","23.9134"
