"","mz","rt","1405_Fish1_F1","1405_Fish1_F2","1405_Fish1_F3","1405_Fish2_F1","1405_Fish2_F2","1405_Fish2_F3","1405_Fish3_F1","1405_Fish3_F2","1405_Fish3_F3"
"group","mz","rt","fish1","fish1","fish1","fish2","fish2","fish2","fish3","fish3","fish3"
"M100.0763T170.2","100.076307947972","170.181","1095.10211538461","718.718494117647","1632.49993442623","485.0994","1247.64591044776","693.682212765958","1350.20482758621","1520.1752368421","900.798108108109"
"M100.5107T86.3","100.510657997265","86.349","10439.3611347518","7163.5159375","14985.7941052632","17045.4754283476","8474.28697422061","7844.8994074074","16932.550130137","17270.4250569106","7915.63173770492"
"M100.9572T84.9","100.957164176016","84.851","10154.1444274809","6870.97928828829","8167.4625","9008.80453846154","7068.81689655172","7599.30432786885","4141.5882739726","4219.31992506913","7839.91166503987"
"M103.0547T348.1","103.054737631236","348.134","2796.55081967212","2035.5","4305.5331904762","1793.66837837838","4529.16445312499","2241.04330434783","1785.27776","4090.2005","4812.96064516129"
"M104.009T48.8","104.009041714793","48.848","90211.4732862191","101514.73780814","43530.7558717949","99076.8655541401","46955.7016","102635.549903683","50638.0005185185","46192.6735869565","44493.757452381"
"M104.1082T254.2","104.108169555664","254.228","21751.5515","24536.280226415","37263.4647368421","16119.1430232558","28251.1115384615","21754.4287959183","14597.1428571429","24264.0311250001","55298.4006"
"M106.9509T216.2","106.950949357626","216.197","2137.6425","1088.71669573103","2480.61494736842","602.98392","1406.25648484849","980.2082","1344.37877777778","1848.7661","1935.84138461539"
"M110.0092T1079.7","110.009239196777","1079.65","11339.3571428571","0","22019.8075609755","0","2186.87999999956","0","4088.79899999997","2546.07294117638","7458.85714285714"
"M110.0093T76.5","110.009260668141","76.492","6070.52376470588","5496.49614285714","5826.11652","5928.64336956522","6647.50864957265","5980.67919101124","5840.77282758621","6291.8895882353","6414.1326077905"
"M110.0717T228.1","110.071700496077","228.084","10653.7144366197","10678.6539310345","22192.9601975309","5912.73566666667","8912.36536986302","6819.98564150943","3443.77280701754","11544.4285714286","14455.4729583333"
"M110.0717T874.6","110.071713851101","874.5865","34742.1652405064","62637.1924200913","16789.6761627907","34306.982810634","43767.6385109288","21171.6219","26756.1783703703","37474.2552352941","53752.3283005181"
"M111.0203T86.1","111.020292697954","86.135","22149.3503297363","19763.0797459379","18809.7622674419","24732.2592644838","17350.4619648323","19614.7395419847","12147.2816910549","11587.5712557427","19048.9621268679"
"M112.0183T85.4","112.018295864584","85.386","9084.78047107438","4594.60498287803","6557.70090117188","4396.82559493671","7574.57260723638","3172.71428571429","8626.03557142857","2548.60425","7782.35040102067"
"M113.9638T1079.4","113.963792043141","1079.43","30388.9217777774","0","80385.6494117643","4091.44999999952","28886.6618181813","39857.1428571429","80563.1140969161","18895.0714285714","24217.3737209297"
"M114.067T267.2","114.066982320682","267.194","1577.92149152542","884.360324688256","1796.53271186441","637.132260869567","1116.91180952381","1044.82595890411","819.831612903227","1516.99378571428","1636.63578571429"
"M114.0918T172.9","114.09179725361","172.855","3810.94409630691","702.94659033487","2472.87775","687.282767262178","3239.25330337078","685.619702298836","2947.44414285714","2657.88267567568","3585.76201388889"
"M115.964T85.1","115.964008484394","85.064","17763.7273884298","13408.2108679245","12992.9446837607","19620.8542331839","14139.5002072072","15591.1614882351","7688.8448","470.800000000013","14890.4203636364"
