"","mz","rt","","","","","","","",""
"group","mz","rt","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:No","Cell line:T24S | Treatment:Yes","Cell line:T24S | Treatment:Yes","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:No","Cell line:T24R | Treatment:Yes","Cell line:T24R | Treatment:Yes"
"M544.45T313.8","544.45","313.8","27498.6","29018.6","28266.1","28838","34412","33663.6","31859.1","31851.6"
"M558.46T335.4","558.46","335.4","19905.9","23748.1","23273.2","25869.8","23288","23633.8","23489.6","23851.7"
"M574.5T372","574.5","372","22942.6","28046.2","52049.3","64259.9","69039.7","74611.7","110539.9","122767.9"
"M596.53T357.6","596.53","357.6","472761.2","527582.9","548091.4","575925.8","658790.1","690975.9","616854.7","600941.8"
"M570.46T320.4","570.46","320.4","24686.2","25915.2","29560","29192.6","32152","32682.9","32002.4","31844.7"
"M624.56T400.2","624.56","400.2","73134","76509","65226","75628.1","66649","68166.2","59168.8","59461.5"
"M652.59T442.8","652.59","442.8","15613.8","17218.2","17926.2","21165.1","28694.7","25305.9","24136.7","25808.3"
"M642.56T464.4","642.56","464.4","5483.2","6536.5","6653.8","7929.2","5766.8","6334.1","6331.7","7243.2"
"M680.62T483.6","680.62","483.6","125225.5","139364.2","154851.2","176007.6","123969.8","134566.3","135094.4","146149.9"
"M654.56T448.8","654.56","448.8","18143.8","22255.8","20344.2","24787.2","18298.6","19002.2","19645.7","21225.2"
"M670.59T503.4","670.59","503.4","33879.9","40298.1","40658","49635.1","35323.9","39332.3","44251.5","47407.2"
"M708.65T522","708.65","522","461766.7","519625.3","580311.1","631868","511314.1","574788.4","620120.8","644720.5"
"M706.63T481.8","706.63","481.8","249627.6","285995.9","316304.7","356568.8","392710.4","428326.4","436257.7","464385.2"
"M682.59T488.4","682.59","488.4","25458.6","26269.7","35652.2","23626","40157.3","45733","49294","71006.7"
"M253.22T112.8","253.22","112.8","22517.7","22273.9","24547.7","21382.2","18998.7","17450.2","14569.9","15139"
"M267.23T137.4","267.23","137.4","10344.4","9930.8","11371.9","9378","9871","9606","7548.2","7887.7"
"M281.25T166.8","281.25","166.8","279606.1","281781.4","309732.9","262538.4","223748.6","198021.3","172934.2","184522.7"
"M279.23T127.2","279.23","127.2","35619.1","32471.7","39888","33436.3","38946.1","33576.8","31011.5","31690.8"
"M309.28T204.6","309.28","204.6","21681.1","20878.5","25634.1","23667","26267.2","20609.3","20190.1","20849.1"
"M307.26T178.8","307.26","178.8","8761.8","7915.7","11450.3","10067.6","12729.6","9843.2","9539.3","10226.1"
"M305.25T154.2","305.25","154.2","5594","4856.1","8822.9","7612.1","7755.5","1964.3","6507.2","6884.5"
"M303.23T118.2","303.23","118.2","50557.3","42384.4","72770.7","74652.7","74700","62190.9","72164.1","83684.6"
"M301.22T91.2","301.22","91.2","4093.3","3606.2","5203.2","5240.6","5802.3","5080","5081.8","5241.5"
"M327.23T105","327.23","105","30779","26479.8","38887.3","37589.8","42370.4","38279.3","40438.7","43296.2"
"M790.59T403.2","790.59","403.2","19933.2","22895.5","20542.5","21709.1","19771.1","20133.4","14984.1","15843.7"
"M842.67T444","842.67","444","216213","251782.9","227041","241764.5","135861.1","162886.7","135879.9","140547.4"
"M832.64T463.8","832.64","463.8","51783.6","59434.4","46134.2","53393.8","35289.7","40852.6","33368","35967.3"
"M870.7T483","870.7","483","371194.4","405673.5","314477.8","315909.9","280506.3","344497.8","248846.7","242573.8"
"M868.69T442.2","868.69","442.2","212289.5","245383.2","206133.3","221296.2","235608.2","273691.8","211165.6","214946.5"
"M774.56T306.6","774.56","306.6","215194.3","161792.1","184848.4","160857.5","208627","170933.4","178624.9","161018.1"
"M554.35T95.4","554.35","95.4","4759.2","4714.4","5293.6","5296.9","5466.3","5175.5","5530.7","5164"
