"","mz","rt","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","af21","af22","af23","af24","af25","af26","af27","af28","af29","af30","af31","af32","af33","af34","af35","af36","af37","af38","af39","af40","af41","af42","af43","af44","af45","af46","af47","af48","af49","af50","FA2","FA3","FA4","FA6","FA7","FA9","FA12","FA13","FC2","FC9","FC10","FC12","FC13","FC14","FC16","FC17","FC29"
"group","mz","rt","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
"M357.192T257.5","357.19196","257.52","2069.956186","3247.372814","4148.932603","2971.943442","4046.480736","2919.105904","1486.51154","2328.852044","3153.433498","1648.710415","4227.459477","2721.003487","2790.197378","1421.947978","2796.971529","68363795.84","16586.73565","5096.933233","7021.37684","81828.71614","2003.585834","2585.143131","3494.706054","2452.672992","5348.103429","34406334.8","6009.194928","3681.688187","4242.175859","3312.910876","1942.391385","49749527.15","6832.745025","20550.70337","10974.54609","2171.326008","2736.204289","3700.885233","6248.081041","3180984.413","3285.709187","3384.012465","1979.083717","1452.109555","390.4941645","2192.94129","1479.093943","1872.694914","2419.450872","1015.403697","2216.929014","1917.514464","2105.93254","2794.775505","958.5260822","1560.649133","3070.066324","1893.057649","3783.386589"
"M590.3068T252.6","590.30681","252.6","298221.2223","3563614.74","29696220.46","19325043.84","672239.6408","21517.18783","1237477.186","371394.4754","279941.6994","3214543.441","58657676.19","11292906.43","3180998.23","801743.3646","194570.2013","65393.41047","18102236.94","66249363.37","4559482.997","58821.28623","86578.43473","78892.51297","1747309.555","191794.3764","33009215.25","367455.2881","5002843.865","25460.44192","4858089.753","373866.0488","599013.148","14428341.86","7646947.029","125347.489","7951742.253","1108697.944","1797256.813","70164.54271","25922957.33","46950189.77","2626607.22","293339.4247","4253177.789","392739.961","54657.40309","3307394.252","503642.4772","514520.1533","254719.3733","1114223.371","4191118.213","2446241.102","742383.0626","3750296.813","1507755.652","593082.3664","254304.884","7803121.472","27722.33476"
"M283.3225T491.2","283.3225","491.16","45049.92469","23189.44173","284275.9447","17214.32693","54738.92075","16785.6763","8698.410593","11547.1163","21675.6181","9903.880587","7074.307382","8867.530342","9191.51665","4736.813258","10319.80275","14203.25498","8723.196113","1743.896726","19947.1529","16085.59304","12161.3298","81855.67261","2709.908206","9698.844665","13800.1502","141746.7614","3387.303612","625.9735048","731.9318333","37782.72985","14172.3522","11862.88932","619.3097756","959.3286743","2550.195349","10067.87896","1697.803892","5501.519134","4334.628262","22723.19306","17094.36016","1469.36586","150410.8187","42053.58599","762190.3338","60810.35024","85346.6216","6021.206412","24021.55797","10248.96932","15896.09135","87556.93279","67330.74223","14286.22909","54751.28457","59461343.5","45966.83918","457933.0196","1516311.199"
"M594.3377T251.8","594.33767","251.82","33840355.67","4182360.863","7768.101792","1925.153741","21381264.14","30290214.3","23420.39174","36818196.85","38381465.54","4496813.329","3593.786853","3070.627069","14121135.89","6379.30064","43499818.8","12676899.02","5877.728336","30717.05841","44179773.02","8504084.533","14603606.12","10170732.33","34408882.42","29221161.13","28168.08555","11793702.03","8354.180748","5366443.961","5141707.553","28845300.44","411717.568","3038.551021","776280.3804","56580413.62","4087021.891","16806.20818","19366510.58","11956091.8","1734872.871","13433.86402","19526946.12","31847279.78","43974.5982","310.2319332","25149.20286","579.5207949","1541820.577","13220434.56","3790892.148","698846.412","648.7529492","67629.24574","804804.009","505.1441549","306.3294941","425.3511818","6463825.696","834.0861028","8631650.065"
"M616.9885T394.4","616.98846","394.44","647.2968113","703.3901841","618.5864024","101275.2839","962.2873723","486.7883134","471.6203085","23690674.46","111571.0071","432733.556","39794615.26","55717.96688","1848.621353","434056.4007","846.1360698","12055801.42","1432.707336","670.6516366","821.6253627","1200.901995","8708660.233","35421482.02","7704.040755","1955.397221","819.0306892","634.1022024","616204.571","253032.5254","493.7326188","53018713.45","925.2282954","677.6295189","2730.732957","899.6125133","24894925.94","480020.2923","8909270.576","824.3008673","4846.856035","481.1779344","740.3035491","3195314.152","309.7760775","263.5470429","245.0880585","285.4317521","398.1988665","268.2270562","338.034447","244.2783721","388.3625719","279.0990734","331.0377346","476.9483611","241.8896808","336.1328378","426.211869","406.8871901","395.2932994"
"M302.1615T294.2","302.16146","294.18","44867.08127","21870.83861","32104.79467","16842.30452","998671.0472","39352.85671","489.8434389","17857.95759","19065.82221","6217.885348","108055.6129","10066.69234","51449005.74","3923.403441","747107.2069","19610.62419","18977.69118","45475.60866","672487.5792","557511.245","12335.12716","18527.78644","49671.74634","66765.41438","88031.4181","22938.52207","654.0532707","8323.954484","6712.175321","29940.14315","8825.081402","345272.0439","2906.887645","63315.33766","2674087.057","3632.895946","19150.61195","19846.86904","14673.41142","7367.164247","9200.86133","157122.0295","12889.57984","793.9418191","577.8037598","1414.209689","415.7027649","171506.2793","6472.074321","10596.65087","1863.115076","3116.317029","1264.186113","476.4157785","495.0825659","17262.80319","482.8179544","278653.2029","439.6100049"
"M335.1141T261.1","335.11409","261.06","969.0258363","1057.26403","753.8605337","1783.958574","65295.42419","891.6908458","414.8325007","829.9583336","13946.86091","8460.21091","1153.557091","650.8000197","621.5513738","1025.072055","1151.287656","2670.295721","884.5377322","1210.653597","1206.382799","49580722.77","790.7817791","174934.4558","2223.234348","3983782.517","5874.347196","1989.52715","365.0828448","3278.314252","762.0743669","2160.515683","666.4068763","3670.980156","5591872.454","69733.44621","976.2398974","908.0384227","1071.622224","75577.96378","918.6794282","1052.379475","866.0538746","1636.814047","715.0484273","2868.500283","188.1873876","478.4757094","563.4496753","1341.351293","13515545.14","2480.172266","503.5021291","12241.58746","477.7535639","571.6536849","284.2108528","2323.481148","519.142715","472.9516496","638.7159021"
"M341.1972T287","341.19725","286.98","1893.183283","2097.843146","2146.473164","3393.883989","2272.962901","2077.572798","901.2588323","1874.579779","1253.325253","1054.911931","2559.105264","2563.534298","8250.608931","4298.870588","4077.248433","23237561.42","5878.844048","1712.23348","2904.530995","126288.588","1015.357212","2237.551622","2149.228587","1492.941583","1810.766035","15105025.78","2718.787536","1767.660113","1241.601123","2366.953507","2451.678096","47016858.66","7644.888972","22573.19089","8268.904917","3044.230557","2522.993657","1460.380721","4692.449372","71480.90808","1669.280396","3782.681351","1485.605311","3659.3968","653.1211564","2582.953189","2741.578528","5540.771405","2102.365078","2523.590188","2430.667073","2362.442751","1659.617972","1626.989244","829.7753672","1632.456769","2163.244327","3218.972303","1576.936197"
"M645.0195T417.4","645.01954","417.42","2066.179186","3536.236599","2705.54967","8174.559105","1782.814887","957.6919245","1231.79587","43827778.48","39936.55199","16861.06259","36525065.15","55483.24036","1453.241673","69718.95809","1630.802048","638009.324","1003.968917","1037.583408","1591.87814","639.0675017","945209.4755","39747773.63","8863.773466","506.5625083","1464.907664","930.9901024","46343.43696","53453.59798","896.0714094","41112483.64","9720.520507","957.4523839","1926.950157","941.5714654","1517358.007","99300.54501","466950.5565","629.9036335","1074.030524","773.1659395","1131.203936","347200.9073","323.0819135","313.7110105","277.277879","412.1205082","689.7519345","280.8179262","322.3164802","242.9494545","511.680298","391.7077178","887.7532402","610.5653472","238.622429","386.6137762","468.411563","487.6732505","390.6807165"
"M301.2967T436.6","301.29666","436.56","606026.4849","17378830.93","4278338.779","1313874.344","2990855.699","349700.886","695887.7581","784394.8294","3629520.688","2673711.36","3440381.512","705780.8115","2231846.424","1246956.725","1049261.556","1985127.68","2998806.402","2972321.052","5035834.194","5401163.989","2496785.292","13009947.93","41456454.43","548091.2605","5594427.066","389742.7447","686493.1855","616845.1228","806851.7383","2693594.845","5702034.916","1270155.366","6185121.466","820878.4898","5836748.338","1891641.577","3041193.856","1004897.851","762817.6431","1728168.961","1422060.912","2914823.211","323899.192","2097197.308","1230559.276","4947505.949","1316014.01","673280.6896","503751.0848","381617.9922","4792561.38","2579008.488","6687820.104","1093614.399","377215.4122","526431.9392","3784095.865","1643241.468","2823205.965"
"M514.2346T284.3","514.23464","284.28","1613.459289","1831.190826","2380.365153","3939.17674","1919.633157","1667.285541","859.8994302","1929.917311","1083.115678","1027.307404","2186.014058","3557.802944","41154358.62","3834.391807","3552.079594","1666.249864","4335.817616","1624.142304","1876.271498","1465.454144","916.1486556","1661.272034","1737.070058","6919.294427","1710.056609","1967.542376","777.7489393","1124.32845","1189.520347","1878.615647","1217.144925","4053.623572","988.8569245","2169.331328","6869374.702","4237.977641","2072.408963","1365.326987","1923.294205","2559.620745","1960.621289","1507.49733","904.1331404","1832.920172","572.9764369","2445.59175","2035.179486","747.7623035","939.0048258","621.5931261","2306.12161","2099.383318","810.4323488","2061.199077","484.6450089","1839.040168","879.4823652","1505.443493","1106.752593"
