"","mz","rt","neg-Exp1_K-1-24_1-E,1_01_55195","neg-Exp1_K-25-48_1-E,3_01_55198","neg-Exp1_K-49-72_1-E,5_01_55201","neg-Exp1_K-73-96_1-E,7_01_55204","neg-Exp1_K-97-120_1-F,1_01_55207","neg_Exp2_K01_1-C,1_01_342","neg_Exp2_K02_1-C,5_01_347","neg_Exp2_K03_1-D,1_01_352","neg_Exp2_K04_1-D,5_01_358","neg-Exp1_P-1-24_1-E,2_01_55196","neg-Exp1_P-25-48_1-E,4_01_55199","neg-Exp1_P-49-72_1-E,6_01_55202","neg-Exp1_P-73-96_1-E,8_01_55205","neg-Exp1_P-97-120_1-F,2_01_55208","neg_Exp2_P1_1-C,2_01_343","neg_Exp2_P2_1-C,6_01_348","neg_Exp2_P3_1-D,2_01_353","neg_Exp2_P4_1-D,6_01_359","neg_Exp2_P5_1-E,1_01_364"
"group","mz","rt","control_Exp1","control_Exp1","control_Exp1","control_Exp1","control_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","+P.indica_Exp1","control_Exp2","control_Exp2","control_Exp2","control_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2","+P.indica_Exp2"
"M99.0799T304.1","99.0799","304.10666","1010.633","392.5717","624.4981","717.7887","462.027","92.70744","129.0916","180.8437","171.7886","22976.47","27065.82","23967.59","19007.47","16700.8414","5099.97357","3926.19744","986.1173","7965.30667","4031.908"
"M103.0396T54.5","103.0396","54.53706","1360.48","1249.979","2060.935","2143.403","1672.13","310.8391","304.5395","250.1712","203.1127","8479.277","8988.127","7794.706","10735.13","8043.3646","7036.24939","4426.07194","5206.162","2484.12558","5644.502"
"M111.0798T328.4","111.0798","328.39405","482.5672","135.4606","223.353","394.1524","181.5711","66.0462","34.017","46.69","47.36173","10437.52","8924.306","9020.716","6488.726","6153.1635","1711.57846","1077.1944","252.4818","1513.89","796.0719"
"M113.0601T202.6","113.0601","202.59113","3371.783","1322.866","2691.55","2540.078","1075.624","209.4537","119.4109","177.7822","100.7321","91345.54","92117.94","81164.52","95035.01","85016.521","31276.25467","27184.68991","23026.75","26658.3096","30295.27"
"M113.0601T167.2","113.0601","167.18183","8424.174","1596.293","1381.733","939.7187","1726.674","180.7487","138.0913","133.088","130.077","21964.46","20207.56","15068.91","31635","26063.0935","5921.63989","6026.32303","3324.635","6524.80826","7823.379"
"M113.0954T378.9","113.0954","378.90165","1140.071","425.631","437.5898","699.4044","523.2057","106.6987","156.0657","173.4392","180.7941","10870.95","10891.18","11787.09","6508.583","9231.4514","1606.284","2273.93593","483.0045","4303.1304","2416.28"
"M115.0395T65.4","115.0395","65.36063","21345.74","12107.73","19581.46","22312.14","9984.573","1709.025","1664.665","1763.734","1705.365","201385.5","124188.3","134112.8","156771.2","117918.4165","79384.37637","42720.697","44539.93","45613.16189","50999.55"
"M115.0393T167.2","115.0393","167.17859","1366.14","872.83","1333.509","1520.881","1012.148","474.2528","490.3267","452.6349","476.3173","56882.41","53972.48","57773.97","60066.63","67906.174","15907.99644","15628.477","11782.5","15185.8644","20707.28"
"M116.0498T282.7","116.0498","282.66883","28874.14","26174.11","25723.39","28171.78","13153.45","4169.689","5297.108","4259.405","3101.559","13905.13","13184.92","11497.22","22323.58","14408.8133","10205.4335","7934.41571","8481.446","6890.80945","9908.587"
"M117.019T43.4","117.019","43.41989","95833.39","59155.77","68915.73","83852.4","60333.69","4122.332","2409.083","2361.797","2024.078","139061","141571.2","137845.1","153539.8","145663.3954","40712.74185","36024.32124","40869.51","28866.29299","34530.83"
"M117.0548T132.1","117.0548","132.10838","647.4035","753.3978","466.3985","684.5282","500.108","106.3737","136.1006","135.0837","139.0778","29846.13","33772.79","31922.03","31617.11","29089.85","12980.04264","13680.19036","10758.04","12447.79208","17741.84"
