"","mz","rt","apple_control_neg_102","apple_control_neg_202","apple_control_neg_302","apple_control_neg_402","apple_control_neg_502","apple_control_neg_602","apple_control_neg_702","apple_control_neg_802","apple_control_neg_902","apple_control_neg_1002","apple_group1_neg_102","apple_group1_neg_202","apple_group1_neg_302","apple_group1_neg_402","apple_group1_neg_502","apple_group1_neg_602","apple_group1_neg_702","apple_group1_neg_802","apple_group1_neg_902","apple_group1_neg_1002","apple_group2_neg_102","apple_group2_neg_202","apple_group2_neg_302","apple_group2_neg_402","apple_group2_neg_502","apple_group2_neg_602","apple_group2_neg_702","apple_group2_neg_802","apple_group2_neg_902","apple_group2_neg_1002","apple_group3_neg_102","apple_group3_neg_202","apple_group3_neg_302","apple_group3_neg_402","apple_group3_neg_502","apple_group3_neg_602","apple_group3_neg_702","apple_group3_neg_802","apple_group3_neg_902","apple_group3_neg_1002"
"group","mz","rt","control","control","control","control","control","control","control","control","control","control","group1","group1","group1","group1","group1","group1","group1","group1","group1","group1","group2","group2","group2","group2","group2","group2","group2","group2","group2","group2","group3","group3","group3","group3","group3","group3","group3","group3","group3","group3"
"M71.0126T15.2","71.0125701074105","15.1788205484507","84.713112847291","75.9959982059774","76.2929432969195","75.5108155023666","81.2677251829342","72.8771751544698","68.7453473416183","71.3333266729493","62.08295764204","72.5476050204678","70.3486654941702","82.2708569085615","74.3128547131653","80.3593448204033","67.7323598265968","74.5189835665349","79.689247382687","59.2739899223642","66.2602269194301","76.9285466958202","72.0611357808829","73.7189880871164","78.3358505663146","76.2128575345473","72.0227452891676","69.8952552430413","83.2231575500041","80.439220499958","66.3393260883092","58.087046179855","69.9311515241143","73.5010318122276","93.5788891876527","80.187772358196","76.325329813494","83.0519270190214","75.4731871609581","81.9928020750548","72.9271199402323","69.789642309763"
"M72.9972T15.4","72.9971662950857","15.4416957189221","14.2610378683506","19.736642695675","14.8324357881203","20.8708169171486","25.8265958479626","18.0445230047144","15.9286977509909","15.3945656288244","14.7892516649604","25.0313744879227","13.7359532287334","23.5261719582624","14.8814979436198","21.0383545191469","13.7664400725075","23.0164792344703","17.0356107236967","21.4358460027482","15.9686364020167","17.5342744472047","14.069593448897","23.0564365458554","15.3963262848542","16.9607272790202","16.9964562525284","17.3213737097652","14.8990502581608","22.241803088421","16.4668335631045","18.6819217395759","25.7534657968954","17.1203704788682","18.6235029945701","19.722528520449","16.4627233749276","20.7171864313024","18.6042419298159","19.1461005105003","13.7409279105761","13.1937219088615"
"M85.0291T22.4","85.0290919544754","22.3972666662168","80.683688022813","101.364397736854","56.598041385328","54.3284439058841","71.0327288026046","76.7937536148908","69.522884151299","56.586934250368","57.1490440682026","59.70354743032","89.1198791898391","69.5153194849311","79.1861595909893","62.66412714231","32.279942203641","51.5858940976061","55.7382757313573","32.6104911749669","57.2908261110488","47.4914399385662","86.5176346605304","66.1506274090482","88.7360309171347","56.1361282700294","41.802105474026","38.5301804550911","51.4611060368047","61.1157711957114","60.2957423068375","38.0962040988962","81.7901088166995","69.436236062151","84.934361858404","67.5341699006978","33.8296008690207","45.5507811408748","56.6777663413623","47.7034040933225","71.9230674518309","45.2922209155878"
"M87.0083T22.2","87.0082991371046","22.2371142790733","94.9956362443015","153.580716176652","70.8673465339592","77.6945845843071","118.489501994389","93.822820251402","87.6726373349795","68.37163090228","74.7527615546441","71.7899080621818","122.199380895656","92.8562150305006","116.752678366132","100.025661523909","40.4820194135767","73.9524783545893","93.3760599516885","66.9495948982578","94.8058880490236","63.3880244425719","118.087465866714","109.363943984449","128.927454641083","88.9244947734677","51.7989415000486","63.6904718084593","80.1773378396782","76.9918137074282","80.0540306073819","59.5486660297176","134.311237569835","93.828013441968","120.635398505563","100.951191963445","58.5920376063037","62.4366249336782","82.6511447534225","72.6354042601021","87.0619039776084","55.4456049165963"
"M89.0234T16.1","89.0234358222423","16.1107675616308","60.234680537343","40.054519578839","44.9239805390146","48.5276906954837","50.6208503965046","33.4207257691519","56.390986016218","43.8322118276784","40.628120095108","54.9973356044455","40.0622531306814","45.8767350317395","49.2798150552176","62.7361859525609","50.4391357775381","63.1876368451506","44.9913910537097","63.4757721378117","38.9694450297306","60.3945527420271","35.3394864953425","54.6393721104126","43.8956983087403","55.9083856193497","54.0012308569397","50.2291919890143","44.0856486631033","54.0528727458328","40.9547598053405","56.7318762637635","36.9895821005997","55.5169767580995","45.4965155470476","67.1439196889934","58.0062559872833","56.3120870702125","51.9312403018812","49.275119451428","52.3472725525579","54.4868707887088"
"M96.9618T17.3","96.961820856378","17.2691712153086","36.7459368430286","27.6262052538948","38.3858646261409","61.9082822122054","40.9107725273139","31.1222921149216","22.771803379797","29.9922988058523","55.392959694151","21.6855511018193","25.3548978368768","30.0858120736761","34.2552618287357","31.5461489572086","42.5143763009439","39.8681576531653","54.6485761013628","41.2219237939146","24.7411776680543","31.6365364788043","28.1170604243663","36.0464550528473","34.3802734151738","38.8924468730486","42.731062182465","44.5856225773135","51.3016178752707","37.1419356152911","19.6901256870488","43.1249618067612","29.7785090258496","33.7139159478828","26.904099885617","30.4954986920336","43.5082244055841","30.2382094788525","46.6329568908533","40.557577299158","27.6401721230677","38.5970899110934"
"M109.0293T504.6","109.029270799385","504.620464843346","47.4092225611719","45.2024002792896","36.8463278460204","33.9135805757887","43.6028670440955","32.840702758087","43.554286863262","32.4853320450922","41.5132033030095","50.126948180492","40.0273454670711","33.5206256448756","42.8408342798573","48.3529259159459","34.4375450757198","39.575195094003","34.5203857129854","42.8397617813989","47.0320094940462","40.2913384846714","39.7882479972977","42.2728455979133","39.6606211188264","41.0819847440052","36.2095245483467","38.5755082222386","35.0552680097699","49.6660561152403","24.8416891164125","33.7731599180716","29.9555247661984","40.3331155911037","31.6955975942754","35.6270837191633","38.344967165147","41.0834121254365","24.283813399401","51.8039871875517","43.9203042535009","40.2181228231202"
"M111.0084T19.4","111.00843599882","19.3937283870074","109.496992327258","174.919726565965","185.241921905446","153.156256069073","196.272222814952","203.883253857093","132.179603512449","120.675736211944","140.227566608889","147.698161221507","213.556053933185","131.580155634859","170.750327747052","160.616076510072","116.486454125276","128.15921440689","108.858906979699","140.908519120036","105.79672137308","85.2401684676454","196.365857632001","140.245287254137","184.467410261193","142.87365734206","96.8299191433613","109.533714926109","97.9818042806213","156.486553654","107.89962438202","96.3654268916245","198.599926452547","120.383453441195","185.937888234029","157.293199886488","106.660117114966","120.325655908437","97.2752120511444","153.813528472161","110.062186601253","85.9570993165413"
"M112.9865T719.7","112.986530294024","719.695398408926","79.603887787886","66.8733713773743","111.17470621214","89.071995457423","74.0111500474871","96.6478615998552","72.260264005868","61.3274736340608","57.6588372986216","103.698621803147","65.5033425509767","97.405060500896","71.4992633961873","67.7412699441463","66.0878807070782","64.5250643615236","91.686009590485","60.8249807899336","71.6206759855279","67.3702991073116","67.4372769072743","69.0007100654958","66.8527458561398","63.8632017932862","67.4848543325061","58.9829881691407","78.3422931202766","73.0958849766415","62.493214678803","169.961745752967","67.4411038195089","66.0611557601809","96.1949609015612","76.948194207004","66.0258838990067","69.0592491954811","57.704561302262","76.5102932166219","96.2997276798584","62.1539533833414"
