"","mz","rt","HC1_2","HC1_3","HC1_4","HC1_1","HC2_1","HC2_2","HC2_3","HC2_4","HC3_1","HC3_2","HC3_3","HC3_4","IgAN1_1","IgAN1_2","IgAN1_3","IgAN1_4","IgAN2_1","IgAN2_2","IgAN2_3","IgAN2_4","IgAN3_2","IgAN3_3","IgAN3_4","IgAN3_1","Pool_1","Pool_2","Pool_3","Pool_4","Pool_5"
"group","mz","rt","control","control","control","control","control","control","control","control","control","control","control","control","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","IgAN","QC","QC","QC","QC","QC"
"M438.298T285","438.298","285","2352","2178","2233","2012","2109","2475","2610","2132","1516","1650","1812","1276","633","606","674","751","649","613","764","699","523","468","568","482","1257","1256","1270","1171","1178"
"M466.3276T280.8","466.3276","280.8","1596","1639","1689","1532","1757","1978","2058","2316","999","1123","1145","976","583","610","602","752","939","744","1002","931","605","525","636","557","1058","954","1085","1130","936"
"M243.0619T245.4","243.0619","245.4","29863","26134","25747","30458","12580","13285","14277","14024","31252","30405","31673","32163","37212","39962","39651","40825","15711","16825","20831","20910","22907","22053","21972","18676","26525","27811","26904","27978","25608"
"M495.1176T244.8","495.1176","244.8","8194","6802","6821","8381","1507","2135","2247","1667","10087","9681","8709","11207","11093","11979","13461","12124","2945","3341","5077","4665","6505","5891","5408","4602","7557","7822","7517","7986","7291"
"M557.1359T315.6","557.1359","315.6","271","285","164","230","121","121","155","110","578","557","643","766","575","610","701","584","690","647","848","929","828","945","744","586","664","667","513","609","509"
"M202.1079T189.6","202.1079","189.6","450","435","455","489","406","470","480","375","535","537","684","555","899","830","860","784","211","184","191","267","508","524","476","429","468","535","472","453","480"
"M494.1208T244.8","494.1208","244.8","1617","1336","1306","1545","317","382","481","300","1923","1902","1677","2184","2048","2243","2536","2373","576","655","964","905","1303","1163","1033","852","1469","1522","1510","1526","1398"
"M110.0245T245.4","110.0245","245.4","2047","1777","1817","2160","869","937","961","989","2029","2009","2144","2165","2473","2690","2586","2735","1047","1202","1415","1478","1609","1510","1507","1303","1695","1893","1859","1933","1725"
"M573.1105T315.6","573.1105","315.6","243","227","133","175","94","95","108","83","485","457","494","683","455","543","599","445","548","556","746","702","669","843","598","464","564","554","422","470","388"
"M192.0661T192.6","192.0661","192.6","3761","3540","3610","3497","4043","4217","3980","3666","3904","3921","4037","3977","2468","2677","2588","2602","2497","2204","2646","2568","3765","3974","3650","3546","3275","3541","3214","3548","3089"
"M182.0605T231","182.0605","231","5296","5157","5115","5283","4083","4273","4342","4386","5582","5744","6011","5913","5413","5595","5367","5528","3244","3042","3542","3358","5356","6047","5514","4838","4774","5176","4810","5160","4475"
"M141.0427T245.4","141.0427","245.4","467","373","423","524","184","212","233","250","528","526","537","555","568","645","641","680","259","277","311","335","363","342","363","351","439","452","439","491","387"
"M151.026T275.4","151.026","275.4","11899","13153","12224","13664","7060","8468","9424","9173","16652","18086","18317","16243","7128","7710","6906","9110","4215","4791","6300","6540","14425","13928","15624","15892","11153","12602","12506","13108","12129"
"M516.3211T271.8","516.3211","271.8","508","506","492","511","339","367","415","254","495","502","476","530","208","192","248","185","98","85","140","137","196","161","243","188","319","352","258","256","324"
"M74.0252T192.6","74.0252","192.6","644","543","629","598","691","691","701","571","648","700","716","662","400","384","375","412","337","318","416","353","632","691","603","555","533","577","533","560","514"
"M148.9908T288","148.9908","288","15986","17888","16437","17846","11111","12342","13566","13438","19069","20093","20407","18589","9858","10545","11357","12679","7683","7775","9536","9655","14500","14328","17043","16201","15027","15924","15260","16843","14911"
"M108.0202T275.4","108.0202","275.4","649","707","679","708","395","425","498","481","880","969","946","860","372","418","391","527","220","246","355","350","765","760","826","876","581","657","648","705","657"
"M452.2773T282.6","452.2773","282.6","3003","2809","2693","2683","2742","3118","3449","2676","2350","2449","2550","1899","1467","1217","1493","1514","1528","1482","1868","1733","1218","998","1299","1209","1940","2169","1900","1668","1882"
"M526.3501T271.8","526.3501","271.8","5751","6479","5903","5715","3652","4115","4292","2935","5848","5676","5848","5241","2278","1909","3034","2748","1596","1631","2091","1785","2227","1879","2595","2611","3591","3995","2960","2856","3625"
"M279.0385T245.4","279.0385","245.4","12294","10764","10928","12554","6345","6787","7287","7174","11869","11523","11728","12006","13414","14160","13476","14763","7793","8096","9734","9715","10176","9693","9801","8375","10273","11121","11173","11797","10393"
"M466.3291T271.8","466.3291","271.8","2532","3112","2658","2655","1761","1874","2054","1418","2662","2761","2633","2375","1094","826","1362","1199","666","723","897","812","1023","771","1157","1179","1676","1807","1348","1319","1651"
"M267.0731T315.6","267.0731","315.6","10756","10110","7812","9783","7475","8059","8646","8423","15042","14429","16378","17749","14119","15750","16893","16193","16818","16357","22253","22083","17718","20288","18258","15834","15548","16772","14502","15980","14812"
"M716.5307T129","716.5307","129","453","422","365","396","305","418","378","511","729","658","418","730","582","546","781","439","106","105","162","111","351","359","386","412","342","325","324","300","385"
"M282.084T376.8","282.084","376.8","130","105","136","121","204","131","216","197","308","305","389","398","342","415","514","427","269","287","410","401","392","433","467","332","437","485","437","421","364"
"M407.122T192.6","407.122","192.6","1194","1110","1191","1087","1361","1425","1431","1043","1299","1453","1366","1325","644","696","826","685","615","624","740","691","1260","1355","1072","1102","1181","1082","1022","1143","952"
