name,formula,adducts,mz,ccs
PA 36:01,C39H75O8P,[M+Na],725.5097,273.4
PA 36:02,C39H73O8P,[M+Na],723.494,272.25
PA 36:03,C39H71O8P,[M+Na],721.4784,270.97
PA 36:04,C39H69O8P,[M+Na],719.4628,268.39
PA 38:02,C41H77O8P,[M+Na],751.5253,279.74
PA 38:03,C41H75O8P,[M+Na],749.5097,277.43
PA 38:04,C41H73O8P,[M+Na],747.4941,276.54
PA 40:05,C43H75O8P,[M+Na],773.5097,281.79
PE 34:01,C39H76NO8P,[M+H],718.5387,270.06
PE 34:02,C39H74NO8P,[M+H],716.523,268.45
PE 34:03,C39H72NO8P,[M+H],714.5074,265.93
PE 36:01,C41H80NO8P,[M+H],746.5699,277.02
PE 36:02,C41H78NO8P,[M+H],744.5543,275.13
PE 36:03,C41H76NO8P,[M+H],742.5387,273.34
PE 36:01,C41H82NO7P,[M+H],732.5907,277.08
PE 36:02,C41H80NO7P,[M+H],730.575,274.98
PE 36:03,C41H78NO7P,[M+H],728.5594,272.47
PE 32:01,C37H72NO8P,[M+Na],712.4893,268.62
PE 34:01,C39H76NO8P,[M+Na],740.5206,276.03
PE 34:02,C39H74NO8P,[M+Na],738.5049,273.06
PE 34:03,C39H72NO8P,[M+Na],736.4893,271.73
PE 35:01,C40H78NO8P,[M+Na],754.5362,279.26
PE 35:02,C40H76NO8P,[M+Na],752.5206,275.61
PE 36:01,C41H80NO8P,[M+Na],768.5519,282.21
PE 36:02,C41H78NO8P,[M+Na],766.5362,279.88
PE 36:03,C41H76NO8P,[M+Na],764.5206,277.57
PE 37:01,C42H82NO8P,[M+Na],782.5675,284.35
PE 37:02,C42H80NO8P,[M+Na],780.5519,282.21
PE 37:03,C42H78NO8P,[M+Na],778.5362,280.15
PE 38:01,C43H84NO8P,[M+Na],796.5832,285.93
PE 40:05,C45H80NO8P,[M+Na],816.5519,289.38
PE 42:08,C47H78NO8P,[M+Na],838.5363,290.41
PE 42:09,C47H76NO8P,[M+Na],836.5206,288.64
PE 34:01,C39H78NO7P,[M+Na],726.5413,275.79
PE 34:02,C39H76NO7P,[M+Na],724.5257,273.65
PE 34:03,C39H74NO7P,[M+Na],722.51,270.85
PE 36:01,C41H82NO7P,[M+Na],754.5726,281.66
PE 36:02,C41H80NO7P,[M+Na],752.557,280.37
PE 36:03,C41H78NO7P,[M+Na],750.5413,277.92
PE 38:03,C43H82NO7P,[M+Na],778.5726,283.24
PE 38:06,C43H74NO9P,[M+Na],802.4999,281.25
PC 32:00,C40H80NO8P,[M+H],734.5699,278.4
