"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzXML","GD_011_NIST_RPP_RRHD_B1.mzXML","GD_013_NIST_RPP_RRHD_B1.mzXML","GD_016_NIST_RPP_RRHD_B1.mzXML","GD_019_NIST_RPP_RRHD_B1.mzXML"
"group","mz","rt","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M40.4933T96.7","40.4932968139648","96.7419012267751","453866.550291857","314183.242182147","170282.0807613","283506.054131881","114921.448985136"
"M40.4935T545.9","40.4934828622001","545.855904349991","150791.423986691","268221.48588529","319047.064644581","130024.762863511","260326.736813412"
"M40.4931T1043.2","40.4931274414063","1043.16863094503","310416.405137218","297628.408334177","270269.260819269","264738.900037042","230160.377830269"
"M40.9603T28.7","40.9603099822998","28.7490927856683","8420.10357917115","7921.66263582561","7831.51172498694","5329.95757365687","4637.90125244902"
"M40.9686T975.1","40.9685737609863","975.098976440797","104610.912151156","96101.3135563426","85700.2673479237","71804.2110658378","61804.5024458161"
"M41.0374T642.6","41.0374401855469","642.580634095119","595345.569596792","551603.870810308","484691.250916388","404972.743863495","382558.515476138"
"M42.033T68.1","42.0329849243164","68.1289519366184","9245397.19467574","11814947.993769","7351119.80209201","6644668.50101005","6425882.12983499"
"M42.033T516.9","42.0329856872559","516.861924429049","6559863.55917847","3225215.02708479","5625592.50026282","5277925.02877791","5057671.59126338"
"M42.033T1094.9","42.0330051422119","1094.88247140713","5285916.38799576","5033585.98387685","4424018.16530016","4323675.19164483","4032734.06465924"
"M43.0167T642.3","43.0166972233699","642.281958397225","362436.957334373","311255.029214775","298267.971174132","241442.842312103","102985.95124215"
"M43.0366T94.3","43.0365753173828","94.2842327631315","270680.977819529","260490.202749874","306952.40335859","117884.522420575","130081.768475729"
"M43.0362T1062.2","43.0362440745036","1062.20102438539","125656.190856419","118672.083454427","100757.028505694","121942.689870418","97377.8758107133"
"M43.0533T1007.2","43.0533173878988","1007.23359857412","1081975.39520423","1082007.81874689","815907.265066707","824513.667056026","883240.22364071"
"M44.0487T42.6","44.0486663818359","42.5722008968666","53215.8738939959","55863.3973953922","47430.5791890751","43106.6551384692","39146.0047228802"
"M44.0486T481.3","44.0486213684082","481.262496421123","10669.9798522958","11903.6549010331","131641.657757073","87426.6030369927","7282.17752356433"
"M44.0566T491.9","44.0565702120463","491.875193841605","208974.469400626","182471.346480172","162779.148561996","190098.956983691","150965.718096523"
"M45.0327T606.2","45.0326651000977","606.170167796601","520558.848387579","486751.814639167","435832.347794141","380648.265001102","332104.385361938"
