"","GD_012_matrix_RPP_RRHD_B1","GD_014_matrix_RPP_RRHD_B1","GD_015_matrix_RPP_RRHD_B1","GD_017_matrix_RPP_RRHD_B1","GD_018_matrix_RPP_RRHD_B1","GD_020_matrix_RPP_RRHD_B1","GD_010_NIST_RPP_RRHD_B1","GD_011_NIST_RPP_RRHD_B1","GD_013_NIST_RPP_RRHD_B1","GD_016_NIST_RPP_RRHD_B1","GD_019_NIST_RPP_RRHD_B1"
"group","matrix","matrix","matrix","matrix","matrix","matrix","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M43.0534T963.078","481112.718822785","437348.127326751","407705.767990148","384978.637587881","396309.262216017","313596.961843952","498551.269959711","510195.429970923","440655.163868142","432262.82249926","335706.110923919"
"M44.0487T35.861","1112.41631005859","955.52575575567","876.459287825726","912.429252457208","1481.11381962756","1102.54671887029","62368.2460452836","55003.8232791138","53902.8873423403","57454.5777900598","47873.5298236885"
"M55.9338T964.9","550799.046868184","407680.831423186","429283.739815813","441128.658557363","415049.0305593","376209.340366613","599096.398889076","574593.736765779","547526.501431018","455388.152622805","390629.420543026"
"M55.9339T21.327","54528.3923336733","44005.2378772639","39433.1632694702","45993.5532336658","52303.9446501953","39614.8964951548","13203.7907447556","9876.4383676148","9229.93474953334","9183.43184086553","7484.79234558677"
"M57.0692T447.088","69249.6852154652","91881.36940412","54651.4271624995","49532.3844897795","48424.6630310102","30384.2535915556","46008.3192201694","47940.3870933939","35358.3015519532","32576.3261297301","26204.2769340574"
"M57.9342T949.148","543975.937802951","526414.718055839","501500.157096201","486879.241275285","456264.911241556","378348.155984938","674067.021023771","638786.810836859","556967.347137817","498303.405567479","432651.256707202"
"M57.9346T20.959","55790.6757785332","59757.50514474","56376.0955468286","48420.7401620823","56194.4443491991","41789.7013313355","13969.384776934","10286.7634402735","9409.43834698595","9495.08920932418","8156.88869503784"
"M59.9295T949.148","216975.708780165","207950.43460642","194311.156093587","171334.308125503","167570.081250015","152620.105393697","264782.792705139","239170.953183428","215178.330192206","180508.374545708","159487.93757422"
"M59.9297T20.959","20898.5640897391","22939.5354470546","21582.3342484049","17651.0703966184","20111.1954215323","14686.6032588079","5420.1000393585","3471.97320225636","4770.63709172986","4025.22359804492","2414.54307589656"
"M60.986T958.844","893275.125989372","751088.785478304","717180.451230238","634722.036734106","655833.157905861","600551.709685821","962924.388851852","943449.145389493","855449.189756811","720032.795618839","643112.699552626"
"M61.0395T26.725","294827.206131579","261133.952435249","233794.34633361","151405.52920444","205768.260434416","179544.274150488","12094.15791442","11352.0810759502","11739.2762925659","11184.0043574295","8348.79528206713"
"M61.9271T948.848","31520.271822465","28326.1024940548","12773.7525378513","25696.9076639723","26148.2418827819","19764.2387081356","40712.3779289532","34314.6181978804","33812.4241606347","26324.5455221193","19843.5142380237"
"M62.9286T955.8145","7393.646523571","6132.54360140115","5223.45856942635","4667.06332219328","5326.6087256808","4902.57502176513","7877.78354754411","8193.97642692006","7185.43236831465","6255.45261348782","5333.99947957351"
"M63.9265T949.148","9955.90351099546","6560.69957984166","7061.36468517628","7217.41096779528","7230.18199574946","5076.16637797617","10033.2920976456","10476.0149773464","7741.85505616029","5811.24915953372","7311.59981884299"
"M66.9961T957.0265","89301.0143768036","70447.8260872993","63211.6028813987","65077.8618499946","62176.3080554504","51530.7469576808","106439.100577002","99981.224485007","82764.8318532241","65196.7200010891","58592.758022784"
"M68.9816T949.152","86548.7868236094","81993.4004542928","78178.6436360754","75625.7857701347","73277.4618680019","70663.5807793944","101514.822184797","87487.7777808956","86846.8762841032","69756.5805559903","58660.758199545"
"M69.9933T954.6055","1026351.42090135","875936.616128267","769188.24421431","696291.0762109","675913.631710908","639234.948858557","1250585.48194388","1125780.31656103","927986.84593394","738115.19562112","673364.319686498"
"M70.065T27.233","3413.4522513376","3742.78738739387","2710.56351295337","2614.70383151791","2884.10746623909","2883.6994651431","34334.9648365332","32983.9538709874","31855.942371073","26137.5937946393","22600.3870937611"
"M70.9418T964.897","793557.867786001","676561.255455703","660314.950974581","637303.666172708","616153.89298918","579720.131027496","898839.759824406","862593.732674524","819118.9273853","654023.030823681","613070.584504396"
"M70.9418T20.959","118195.448822708","126438.629069141","116879.938034156","97566.2726730327","112490.515645185","86504.0505378733","38125.6956021191","31281.4058622234","26204.1837287992","26164.0875219899","22433.0711658575"
"M70.9794T949.151","14444.9480953913","12524.2544470338","10828.7636635116","9827.44138602706","11612.2920980835","12987.0923350238","13300.062647438","14126.9196771157","12227.2752851935","11118.5557754297","10003.2918104267"
"M70.9912T954.6055","490848.32724742","371051.326397597","371843.624061435","314086.856821018","296649.330135369","281476.423066098","536522.933820912","490302.886046069","414155.481360883","382250.457710208","283102.754129064"
"M71.0848T618.477","24875.0612916388","17333.683070528","18023.221794548","12202.6654728732","13631.9185045396","11418.0156308215","120821.566425923","113665.318903889","96268.1844526881","80162.1278884196","61935.1932601207"
"M71.9293T966.113","968922.690878366","868852.830576037","782505.540543078","816927.35620787","773806.70662417","750303.170620281","1084552.02511394","1086361.94315059","924894.613148295","845534.562335357","730767.350523679"
"M71.9294T20.946","154077.68656723","165355.977630664","137291.745160735","119931.307301056","156806.980295135","119990.815238836","44808.2375780555","34263.3066609838","32024.7906981547","28908.3602545707","28607.0534587643"
"M72.0804T29.03","5243.71671234809","3843.07294871556","3617.96863469952","4258.79333608091","3118.13520934825","2856.01560078723","113795.088620196","104837.174042867","96533.5048263835","79854.4063682726","72106.9355648329"
"M72.0885T613.061","1142.33765251882","606.505477271974","639.586661779028","531.038369815257","268.500053520756","519.993764802348","5718.96441123959","5362.73438100504","4005.63806847125","3776.74564998372","2792.25972792858"
"M72.9372T964.8975","10513755.2462695","10552589.6687921","9594006.46448727","11359155.8496595","10876136.2448269","10411493.9265917","14309902.3479006","13167347.5259765","11787630.4066631","11670121.3448019","10453026.3638123"
"M72.937T21.1485","2285514.04237788","1367114.02596307","2091092.75091563","1712457.53481162","1976303.95617566","1432886.73711055","670979.811211484","516185.070971632","465036.186225352","414054.146786047","365650.862117066"
"M73.0642T50.367","24764.9510530828","22446.6928866863","22983.5839363971","21529.4590787399","19192.5265842964","19739.6502113119","9539.58738129429","6104.21791499008","5962.00213294898","5782.80849927351","5269.51313270178"
"M73.9292T948.547","106007.943263342","110973.215705673","91589.1068368965","90121.1455460326","80519.1894328869","77312.9583201359","128732.793680216","108296.826020639","94453.4705972097","86308.8796569377","88774.8548839224"
"M73.9442T20.959","182172.998409162","168188.36444279","156757.388525848","121869.673412084","144736.251218758","106925.900605232","56181.7296304469","44412.0985968466","38601.6369084336","32654.9366458641","27866.8450371691"
"M73.9528T949.153","6331.83828117359","8026.48118449398","6756.09355985156","8854.98604509525","7389.08601894527","7672.44407989386","7169.51313526158","10979.5040696432","7818.50228989248","7042.102142496","6975.34975289477"
"M74.9372T949.152","569203.699353971","507441.077013215","485886.434938996","467077.835212716","451481.724813591","431475.462053798","664868.005386104","623812.291315902","544283.139689318","486372.095864301","444248.475000458"
"M74.9377T21.08","77877.5092734859","81005.3060785354","70863.2945763129","60695.6742388518","67602.9706770203","54248.3013628584","23242.0763432508","19369.2734568137","15972.6579462539","14560.1626871963","12299.6760355702"
"M75.504T957.025","131475.209762421","116468.357380944","100462.316052825","100044.186781754","90448.0698293946","85586.1019264112","160938.348886524","148074.244972534","122558.045887986","107977.195687809","86176.9048199862"
"M75.945T20.959","55593.0493874552","56420.1289700381","54194.8269013928","46278.535356811","47727.9712728602","33379.6476913173","17856.3877658188","12902.023770568","10267.7746366912","11060.1925702274","8690.14915515598"
"M76.9325T949.151","257518.752947284","176461.477798601","206974.86735335","196210.410942743","188623.601386857","179637.151160655","285363.362963084","255462.763208942","246412.946560311","202968.498050093","170950.403068628"
"M76.9329T20.959","33909.9953087582","32303.7536536865","27378.9777530611","27002.4967971112","28123.4437724097","23016.5870902464","9049.25293684131","6370.47085725835","7263.03316693694","5696.50732320396","4304.01257702098"
"M77.9403T949.1495","127948.318150368","112087.210313149","142400.960085902","100011.815151387","97759.1818321227","97866.4709536522","144798.64556488","135719.785723322","122609.047882105","106714.473313535","97617.5810396993"
