"","GD_012_matrix_RPN_RRHD_B1.mzML","GD_014_matrix_RPN_RRHD_B1.mzML","GD_015_matrix_RPN_RRHD_B1.mzML","GD_017_matrix_RPN_RRHD_B1.mzML","GD_018_matrix_RPN_RRHD_B1.mzML","GD_020_matrix_RPN_RRHD_B1.mzML","GD_010_NIST_RPN_RRHD_B1.mzML","GD_011_NIST_RPN_RRHD_B1.mzML","GD_013_NIST_RPN_RRHD_B1.mzML","GD_016_NIST_RPN_RRHD_B1.mzML","GD_019_NIST_RPN_RRHD_B1.mzML"
"group","MN","MN","MN","MN","MN","MN","SN","SN","SN","SN","SN"
"M42.9953T26.4881","14157.894397995","11069.7367477539","13463.6646483765","12735.4013176658","11241.8451148193","9298.95565158316","283.868606460793","787.507974900959","247.295095956357","365.527044593468","304.365574682767"
"M44.9977T942.4715","257597.482329785","234184.425419028","234215.264796753","208917.01803303","202125.872802825","190526.115780957","288149.384141695","276147.368470991","246229.119028104","216305.455679467","192374.513029695"
"M44.9977T22.551","116119.418393903","105489.373318827","97728.460750582","99063.9028546395","93731.3511369103","84043.7026389013","383734.996326793","397241.11676801","333273.989422248","312771.664945236","307948.19321703"
"M57.0345T38.1734","351.418380944843","0","205.410452040544","80.124969259709","64.8057470414496","0","26703.9990350756","27430.7004488189","21926.1338730556","21356.4857912869","16480.5213176431"
"M58.9589T20.7349","14707.2243953417","13786.534630316","9886.85180311168","11010.1296158047","13177.1998848749","11747.4758501229","4850.45633206251","4999.03472984101","2848.59884034323","1671.17386018173","3570.41321355696"
"M59.0137T37.0165","714.322241846198","482.54780776488","461.46802235053","461.660102922459","186.295484891443","448.078257435863","60568.6288619757","43970.644015082","36567.0658375387","26285.7389385127","30178.9081784058"
"M61.9885T24.974","102440.783585347","82007.7069852204","94292.838148376","72583.622269694","90077.7800179896","71764.5123921099","18612.9261912926","15487.1461192175","14222.7360266476","11287.0737024902","11590.426196654"
"M71.0502T63.4428","0","0","0","0","0","0","18297.9687080616","16751.8909421895","13816.8493419138","9927.30319328614","9603.06215101207"
"M73.0296T282.3506","826.205619193441","534.833475321126","922.583774155188","646.652035603806","678.398901982466","675.25785027582","27624.4877886199","24762.8781471039","20154.964153161","19687.7879911663","16773.3296494765"
"M76.9547T25.5182","0","0","0","0","0","88.2912427454721","87387.0534834097","75952.7406195573","68855.0349814506","58861.5500350342","55111.4519724759"
"M77.9506T24.9581","0","0","0","0","0","0","3187.35958863177","3895.1384462204","2368.11509786097","2997.87860776367","3001.56903275553"
"M78.919T26.0948","73.3737838427226","0","0","0","0","0","8192.33405853593","6749.32602517192","8237.48396966457","4668.76913171768","6133.50718722025"
"M78.952T24.9183","0","0","0","0","0","0","49491.7612103516","42447.235221167","37240.2470713867","26104.1435868792","23284.8073493304"
"M79.9572T950.9783","94283.4613207626","119786.498992218","97575.0087438011","65825.8245642471","101049.026895225","90532.1219515018","171319.191997291","107831.233168945","88533.3382842936","96671.8056744831","62945.3342978668"
"M80.9172T26.1238","0","0","0","70.3428358525091","0","0","7681.13349893727","8376.6955951974","6756.5478883558","5296.50106379191","5050.38821519852"
