Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	X1	X10	X11	X12	X13	X14	X15	X2	X3	X4	X5	X6	X7	X8	X9	GD_050_NIST_dda_targeted1_RPP_RRHD_B1.mzML	GD_051_NIST_dda_targeted2_RPP_RRHD_B1.mzML	GD_052_NIST_dda_targeted3_RPP_RRHD_B1.mzML	GD_053_NIST_dda_targeted4_RPP_RRHD_B1.mzML	GD_054_NIST_dda_targeted5_RPP_RRHD_B1.mzML	GD_055_NIST_dda_targeted6_RPP_RRHD_B1.mzML	GD_056_NIST_dda_targeted7_RPP_RRHD_B1.mzML	GD_057_NIST_dda_targeted8_RPP_RRHD_B1.mzML	GD_058_NIST_dda_targeted9_RPP_RRHD_B1.mzML	GD_059_NIST_dda_targeted10_RPP_RRHD_B1.mzML	GD_060_NIST_dda_targeted11_RPP_RRHD_B1.mzML	GD_061_NIST_dda_targeted12_RPP_RRHD_B1.mzML	GD_062_NIST_dda_targeted13_RPP_RRHD_B1.mzML	GD_063_NIST_dda_targeted14_RPP_RRHD_B1.mzML	GD_064_NIST_dda_targeted15_RPP_RRHD_B1.mzML
FT0001	40.4934162192925	40.4933228748317	40.4936177589105	955.155	933.813998657227	1006.53699047852	7	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	4333.76378897264	NA	NA	NA	NA	NA	7199.04989114304	6405.33389556801	NA	NA	3343.99341067395	NA	8402.90751401	8111.60712240605	1509.64755217813
FT0002	40.4934863468123	40.493045946324	40.4936929829313	1057.48400054932	1051.62299047852	1114.22300009918	5	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	NA	NA	227.862453460693	1186.11652069088	1726.85492665743	NA	NA	NA	NA	1958.01480898914	NA	319.173829442806	NA	NA	NA
FT0003	40.493636883335	40.4933951574537	40.4937457942969	78.455000202179	21.7175846099854	104.795999671936	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1014.41176772461	NA	NA	NA	NA	NA	NA	NA	347.069905334472	416.002770441692	NA	NA	NA	NA	NA
FT0004	40.4931342775336	40.4931342775336	40.4931342775336	274.730499267578	274.730499267578	274.730499267578	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	372.983447341912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT0005	40.4931919841631	40.4931919841631	40.4931919841631	635.890990478516	635.890990478516	635.890990478516	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1435.68753206178	NA	NA
FT0006	40.9688823818634	40.9686928922366	40.9694857855226	952.610495239258	933.813998657227	1005.74099047852	16	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	2715.74216341912	9223.86405840914	8145.27593977755	NA	9921.89358078004	NA	6035.70339223564	6088.46699852534	2171.01251663512	10000.1831454835	2584.78332051334	5532.9280227896	7177.38021848789	3455.99239453127	NA
FT0007	40.9599915578935	40.9599915578935	40.9599915578935	27.2335071563721	27.2335071563721	27.2335071563721	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358.969460038272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT0008	40.9685063703879	40.9683390976776	41.0376847523041	622.847490478516	547.290998657227	648.695999671936	4	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	NA	NA	NA	1876.25906591266	NA	171.971423339841	NA	NA	NA	389.051747250368	1265.46179500326	NA	NA	NA	NA
FT0009	41.0378137040491	40.9688486923789	41.0382302244421	279.925990478516	218.251000137329	306.085000137329	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	NA	886.972540374758	172.712005691529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FT0010	41.0368772603155	41.0368772603155	41.0368772603155	431.212990478516	431.212990478516	431.212990478516	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	165.051689257621	NA	NA
FT0011	41.0377665255928	41.0368866681998	41.0380893083291	956.852999898911	892.062	981.158002441406	4	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	330.275179046632	NA	NA	NA	NA	NA	NA	2998.17999811196	NA	NA	NA	NA	NA	1124.27028401184	NA
FT0012	42.0332188487912	42.0326786628107	42.0333339055488	1043.23300009918	919.628003540039	1163.20299047852	83	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	27202.4772836539	7971.42356770843	516281.173324421	99749.8918070479	28929.4243548178	31596.9471695965	55032.3278993058	8948.50805664062	32879.8346337891	26750.1001784106	53394.7950470705	44498.0717888851	37438.3566659547	54827.1574131947
FT0013	42.0332456698724	42.0331867725888	42.03330541882	20.6510066986084	-16.3549999523163	23.6569480895996	7	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	27430.9135659251	NA	NA	70899.4207876099	NA	25479.3041301198	90978.7293546583	25066.2509940147	NA	NA	NA	166727.671514644	37690.3077507227	NA	NA
FT0014	43.0533859541184	43.0163393374574	43.0536784366865	505.732000030518	398.919990478516	706.252000137329	153	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	NA	1830.8601829773	72305.7237641059	34381.2427670068	NA	27629.9263752237	14303.8762231968	8170.28543111159	6866.99738347836	65309.2222914664	NA	NA	72212.1758215332	13186.3533443509	NA
FT0015	43.0533906826036	43.0369453094373	43.0534897022134	316.632495254517	252.791000030518	396.176999797821	86	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	NA	NA	7490.19381638014	11681.9858939413	NA	16543.1447686298	48111.3245785756	NA	NA	44152.7072540006	NA	128910.044097904	NA	6892.26381084195	NA
